"Название товара","Ссылка на продавца","Ссылка на чат"
"Bicicleta en buen estado","https://es.wallapop.com/item/bicicleta-en-buen-estado-871093974","https://es.wallapop.com/app/chat?itemId=pzprxwx1lk63"
"IPad Air 16gb blanco-plata ","https://es.wallapop.com/item/ipad-air-16gb-blanco-plata-871093905","https://es.wallapop.com/app/chat?itemId=qjwpgqgd3qzo"
"Iphone 12 blanco ","https://es.wallapop.com/item/iphone-12-blanco-871095102","https://es.wallapop.com/app/chat?itemId=pzprxwx2nk63"
"HP Pavilion Gaming Desktop 690-0083w","https://es.wallapop.com/item/hp-pavilion-gaming-desktop-690-0083w-871096644","https://es.wallapop.com/app/chat?itemId=wzy5gqgxgvj5"
"Traje flamenca lunares blanco y negro ","https://es.wallapop.com/item/traje-flamenca-lunares-blanco-y-negro-871096557","https://es.wallapop.com/app/chat?itemId=xzorw7w375z9"
"Objetivo canon","https://es.wallapop.com/item/objetivo-canon-871095697","https://es.wallapop.com/app/chat?itemId=mzn87073rgzn"
"PS4 PRO 1TB","https://es.wallapop.com/item/ps4-pro-1tb-871095662","https://es.wallapop.com/app/chat?itemId=4z412q28plzy"
"LUCES DE ESTUDIO PROFESIONAL ","https://es.wallapop.com/item/luces-de-estudio-profesional-871095609","https://es.wallapop.com/app/chat?itemId=xzorw7wg97z9"
"vendo Samsung Galaxy s22 5G Bueno estado ","https://es.wallapop.com/item/vendo-samsung-galaxy-s22-5g-bueno-estado-871093468","https://es.wallapop.com/app/chat?itemId=wzy5gqg7l5j5"
"Coche radio control","https://es.wallapop.com/item/coche-radio-control-871099165","https://es.wallapop.com/app/chat?itemId=wzvndqdvwdjl"
"Lavadora Samsung 8kg","https://es.wallapop.com/item/lavadora-samsung-8kg-871099037","https://es.wallapop.com/app/chat?itemId=pj950v0q2mze"
"Litera + somier + colchones","https://es.wallapop.com/item/litera---somier---colchones-871096195","https://es.wallapop.com/app/chat?itemId=ejkkn5npoyjx"
"GENERADOR ELECTRICO GASOLINA","https://es.wallapop.com/item/generador-electrico-gasolina-871096190","https://es.wallapop.com/app/chat?itemId=x6qd1x1veojy"
"iPhone 11 Blanco 64GB","https://es.wallapop.com/item/iphone-11-blanco-64gb-871096114","https://es.wallapop.com/app/chat?itemId=4z412q204rzy"
"iPhone 13 Pro Max nuevo ","https://es.wallapop.com/item/iphone-13-pro-max-nuevo-871093167","https://es.wallapop.com/app/chat?itemId=vjrrm1mdv8jk"
"Camas articuladas electricas","https://es.wallapop.com/item/camas-articuladas-electricas-871093075","https://es.wallapop.com/app/chat?itemId=nz001y1mwezo"
"cecocet serie a","https://es.wallapop.com/item/cecocet-serie-a-871092993","https://es.wallapop.com/app/chat?itemId=3zl1pnpg8njx"
"MECEDORA ELECTRICA CON MUSICA","https://es.wallapop.com/item/mecedora-electrica-con-musica-871092912","https://es.wallapop.com/app/chat?itemId=9jd21e177d6k"
"pibike 125","https://es.wallapop.com/item/pibike-125-871098671","https://es.wallapop.com/app/chat?itemId=ejkkn5nwx1jx"
"Play Station 4","https://es.wallapop.com/item/play-station-4-871098559","https://es.wallapop.com/app/chat?itemId=0j23oqoepn6y"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-871098550","https://es.wallapop.com/app/chat?itemId=pzprxwx7pl63"
"Guantes Dainese","https://es.wallapop.com/item/guantes-dainese-871094078","https://es.wallapop.com/app/chat?itemId=nzx0gqg05pz2"
"iPhone 11 normal ","https://es.wallapop.com/item/iphone-11-normal-871094034","https://es.wallapop.com/app/chat?itemId=8j3ekrkev1z9"
"Patinete ","https://es.wallapop.com/item/patinete-871093400","https://es.wallapop.com/app/chat?itemId=e65gd9dyxpjo"
"Kit Embrague Seat Altea","https://es.wallapop.com/item/kit-embrague-seat-altea-871093375","https://es.wallapop.com/app/chat?itemId=nz001y1m5rzo"
"silla inglesa ","https://es.wallapop.com/item/silla-inglesa-871093350","https://es.wallapop.com/app/chat?itemId=pzprxwx9pk63"
"Bandolera ","https://es.wallapop.com/item/bandolera-871093280","https://es.wallapop.com/app/chat?itemId=qzmy0p04dozv"
"Pizarra Blanca","https://es.wallapop.com/item/pizarra-blanca-871094822","https://es.wallapop.com/app/chat?itemId=8z84p2pk2l63"
"mesa ","https://es.wallapop.com/item/mesa-871094788","https://es.wallapop.com/app/chat?itemId=v6g23e3g72ze"
