"Название товара","Ссылка на продавца","Ссылка на чат"
"botas ","https://es.wallapop.com/item/botas-870976565","https://es.wallapop.com/app/chat?itemId=wzvndqney4jl"
"vendo cuna de ikea en perfectas condiciones. ","https://es.wallapop.com/item/vendo-cuna-de-ikea-en-perfectas-condiciones-870976555","https://es.wallapop.com/app/chat?itemId=p61ymqy3vg65"
"pecera con todo 100 litros ","https://es.wallapop.com/item/pecera-con-todo-100-litros-870975785","https://es.wallapop.com/app/chat?itemId=pj950v5l22ze"
"Samsung S22 Ultra 256Gb Impecable","https://es.wallapop.com/item/samsung-s22-ultra-256gb-impecable-870975771","https://es.wallapop.com/app/chat?itemId=ejkkn5k039jx"
"silla de escritorio","https://es.wallapop.com/item/silla-de-escritorio-870975848","https://es.wallapop.com/app/chat?itemId=e65gd9gl0pjo"
"Escritorio ","https://es.wallapop.com/item/escritorio-870975633","https://es.wallapop.com/app/chat?itemId=xzorw7r107z9"
"Bidet ROCA","https://es.wallapop.com/item/bidet-roca-870976269","https://es.wallapop.com/app/chat?itemId=3zl1pn1rpqjx"
"Trabajos de electricidad","https://es.wallapop.com/item/trabajos-de-electricidad-870975888","https://es.wallapop.com/app/chat?itemId=v6g23e2rdmze"
"Mini cuna ","https://es.wallapop.com/item/mini-cuna-870976095","https://es.wallapop.com/app/chat?itemId=ejkkn5kqmqjx"
"Jaula de hámster ","https://es.wallapop.com/item/jaula-de-hamster-870976089","https://es.wallapop.com/app/chat?itemId=wzvndqn8gqjl"
"Abrigo Fila","https://es.wallapop.com/item/abrigo-fila-870975528","https://es.wallapop.com/app/chat?itemId=w67ynkylx86x"
"silla coche bebe","https://es.wallapop.com/item/silla-coche-bebe-870975517","https://es.wallapop.com/app/chat?itemId=wzvndqn5gdjl"
"New Nike air force one EU 39","https://es.wallapop.com/item/new-nike-air-force-one-eu-39-870976567","https://es.wallapop.com/app/chat?itemId=vjrrm1r2d4jk"
"Cuadros modernos estilo Bansky","https://es.wallapop.com/item/cuadros-modernos-estilo-bansky-870976181","https://es.wallapop.com/app/chat?itemId=xzorw7rqd2z9"
"Mesa Isla de madera y 2 taburetes ","https://es.wallapop.com/item/mesa-isla-de-madera-y-2-taburetes-870975788","https://es.wallapop.com/app/chat?itemId=v6g23e2rxlze"
"Clases de repaso ","https://es.wallapop.com/item/clases-de-repaso-870976022","https://es.wallapop.com/app/chat?itemId=8z84p240gl63"
"samsung galaxy z flip 4","https://es.wallapop.com/item/samsung-galaxy-z-flip-4-870975717","https://es.wallapop.com/app/chat?itemId=wzvndqn551jl"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-870976468","https://es.wallapop.com/app/chat?itemId=wzy5gq58m5j5"
"Garaje en alquiler calle Xaloc ","https://es.wallapop.com/item/garaje-en-alquiler-calle-xaloc-870976460","https://es.wallapop.com/app/chat?itemId=9jd21e2q3l6k"
"EBOOK KINDLE PAPERWHITE 11 GENERACIÓN 8GB","https://es.wallapop.com/item/ebook-kindle-paperwhite-11-generacion-8gb-870976498","https://es.wallapop.com/app/chat?itemId=pzprxwrqv563"
"liquidación canapé y colchones ","https://es.wallapop.com/item/liquidacion-canape-y-colchones-870975430","https://es.wallapop.com/app/chat?itemId=nzx0gq0p51z2"
"Cargador ordenador acer","https://es.wallapop.com/item/cargador-ordenador-acer-870975417","https://es.wallapop.com/app/chat?itemId=wzvndqn5yqjl"
"Nintendo Swich en perfecto estado","https://es.wallapop.com/item/nintendo-swich-en-perfecto-estado-870975570","https://es.wallapop.com/app/chat?itemId=8z84p24lwd63"
"Mesa TV","https://es.wallapop.com/item/mesa-tv-870975557","https://es.wallapop.com/app/chat?itemId=xzorw7r132z9"
"Nintendo switch","https://es.wallapop.com/item/nintendo-switch-870975537","https://es.wallapop.com/app/chat?itemId=pj950v5lnvze"
"iPhone 6s plus en oro muy bonito buen estado ","https://es.wallapop.com/item/iphone-6s-plus-en-oro-muy-bonito-buen-estado-870976175","https://es.wallapop.com/app/chat?itemId=nz001y03y7zo"
"Lizz te Ayuda en casa","https://es.wallapop.com/item/lizz-te-ayuda-en-casa-870976139","https://es.wallapop.com/app/chat?itemId=36exmexkpvzd"
