"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaquetón impermeable Forecast Azul","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/impermeables/2640352925-chaqueton-impermeable-forecast-azul","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640352925&receiver_id=127809982&ref_url=%2Fitems%2F2640352925%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D127809982%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fimpermeables%252F2640352925-chaqueton-impermeable-forecast-azul%26source%3Dwantit%26subject%3Dwanted%253A%2BChaquet%25C3%25B3n%2Bimpermeable%2BForecast%2BAzul&source=wantit&subject=wanted%3A+Chaquet%C3%B3n+impermeable+Forecast+Azul"
"Conjunto Chándal Trapstar Azul Oscuro ","https://www.vinted.es/hommes/vetements/autres/2640352701-conjunto-chandal-trapstar-azul-oscuro","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640352701&receiver_id=130328164&ref_url=%2Fitems%2F2640352701%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130328164%26ref_url%3D%252Fhombre%252Fropa%252Fotras-prendas%252F2640352701-conjunto-chandal-trapstar-azul-oscuro%26source%3Dwantit%26subject%3Dwanted%253A%2BConjunto%2BCh%25C3%25A1ndal%2BTrapstar%2BAzul%2BOscuro%2B&source=wantit&subject=wanted%3A+Conjunto+Ch%C3%A1ndal+Trapstar+Azul+Oscuro+"
"Chaqueta ","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/parkas/2640353588-chaqueta","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640353588&receiver_id=130259324&ref_url=%2Fitems%2F2640353588%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130259324%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fparkas%252F2640353588-chaqueta%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2B&source=wantit&subject=wanted%3A+Chaqueta+"
"Gabardina DKNY","https://www.vinted.es/kobiety/ubrania/plaszcze-i-kurtki/trencze/2640354859-gabardina-dkny","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640354859&receiver_id=130340986&ref_url=%2Fitems%2F2640354859%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130340986%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fgabardinas%252F2640354859-gabardina-dkny%26source%3Dwantit%26subject%3Dwanted%253A%2BGabardina%2BDKNY&source=wantit&subject=wanted%3A+Gabardina+DKNY"
"Pantalones ","https://www.vinted.es/femmes/vetements/jeans/jeans-skinny/2640354809-pantalones","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640354809&receiver_id=130342368&ref_url=%2Fitems%2F2640354809%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130342368%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-pitillo%252F2640354809-pantalones%26source%3Dwantit%26subject%3Dwanted%253A%2BPantalones%2B&source=wantit&subject=wanted%3A+Pantalones+"
"Camisa Ck","https://www.vinted.es/hombre/ropa/camisetas-y-camisas/camisas/camisas-lisas/2640354891-camisa-ck","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640354891&receiver_id=130334181&ref_url=%2Fitems%2F2640354891%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130334181%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisas%252Fcamisas-lisas%252F2640354891-camisa-ck%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2BCk&source=wantit&subject=wanted%3A+Camisa+Ck"
"Vestido Camisa Blanco","https://www.vinted.es/damen/kleidung/kleider/sommerkleider/2640357507-vestido-camisa-blanco","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640357507&receiver_id=46022074&ref_url=%2Fitems%2F2640357507%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D46022074%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-de-verano%252F2640357507-vestido-camisa-blanco%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2BCamisa%2BBlanco&source=wantit&subject=wanted%3A+Vestido+Camisa+Blanco"
"Mono de cuero Pull and Bear","https://www.vinted.es/femmes/vetements/combinaisons-and-combishorts/autres-combinaisons-and-combishorts/2640357409-mono-de-cuero-pull-and-bear","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640357409&receiver_id=23969577&ref_url=%2Fitems%2F2640357409%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D23969577%26ref_url%3D%252Fmujer%252Fropa%252Fmonos%252Fotros-monos%252F2640357409-mono-de-cuero-pull-and-bear%26source%3Dwantit%26subject%3Dwanted%253A%2BMono%2Bde%2Bcuero%2BPull%2Band%2BBear&source=wantit&subject=wanted%3A+Mono+de+cuero+Pull+and+Bear"
"chaleco Super Light Down Workout","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2640357293-chaleco-super-light-down-workout","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640357293&receiver_id=110660964&ref_url=%2Fitems%2F2640357293%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D110660964%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fchalecos%252F2640357293-chaleco-super-light-down-workout%26source%3Dwantit%26subject%3Dwanted%253A%2Bchaleco%2BSuper%2BLight%2BDown%2BWorkout&source=wantit&subject=wanted%3A+chaleco+Super+Light+Down+Workout"
"Sudadera de niña ","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche-196/2640357121-sudadera-de-nina","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2640357121&receiver_id=129717591&ref_url=%2Fitems%2F2640357121%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129717591%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas%252F2640357121-sudadera-de-nina%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bde%2Bni%25C3%25B1a%2B&source=wantit&subject=wanted%3A+Sudadera+de+ni%C3%B1a+"
