"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta Moncler","https://es.wallapop.com/item/chaqueta-moncler-869000300","https://es.wallapop.com/app/chat?itemId=e65gd381v0jo"
"bolso de mano LOUIS VUITTON","https://es.wallapop.com/item/bolso-de-mano-louis-vuitton-869000290","https://es.wallapop.com/app/chat?itemId=x6qd19mgknjy"
"Vendo zapatillas","https://es.wallapop.com/item/vendo-zapatillas-869000108","https://es.wallapop.com/app/chat?itemId=qzmy03exdlzv"
"cazadora","https://es.wallapop.com/item/cazadora-868999004","https://es.wallapop.com/app/chat?itemId=w67yng4l0w6x"
"chaleco acolchado","https://es.wallapop.com/item/chaleco-acolchado-868998930","https://es.wallapop.com/app/chat?itemId=nzx0gy4pn7z2"
"Chaqueta nike mujer ","https://es.wallapop.com/item/chaqueta-nike-mujer-868998863","https://es.wallapop.com/app/chat?itemId=36exmn1rmqzd"
"CAROLINA HERRERA 212 VIP 80ml ","https://es.wallapop.com/item/carolina-herrera-212-vip-80ml-868999211","https://es.wallapop.com/app/chat?itemId=0j23or4d3e6y"
"mocasines de piel ","https://es.wallapop.com/item/mocasines-de-piel-868999756","https://es.wallapop.com/app/chat?itemId=qzmy03ex3yzv"
"Nike - SB Dunk Low Ben & Jerry's Chunky Dunky","https://es.wallapop.com/item/nike-sb-dunk-low-ben-jerry-s-chunky-dunky-868999665","https://es.wallapop.com/app/chat?itemId=wzvndl48xqjl"
"UGG Classic Mini Antilope 39","https://es.wallapop.com/item/ugg-classic-mini-antilope-39-868999503","https://es.wallapop.com/app/chat?itemId=nz001v43o3zo"
