"Название товара","Ссылка на продавца","Ссылка на чат"
"Rolex Datejust 36mm ","https://es.wallapop.com/item/rolex-datejust-36mm-872659166","https://es.wallapop.com/app/chat?itemId=x6qd1oqxqojy"
"Peluche gatito enamorado de 30 cm","https://es.wallapop.com/item/peluche-gatito-enamorado-de-30-cm-872660051","https://es.wallapop.com/app/chat?itemId=nz001l82edzo"
"botes COUNTRY bon estat","https://es.wallapop.com/item/botes-country-bon-estat-872659579","https://es.wallapop.com/app/chat?itemId=p61yml8qxg65"
"Renault Trucks Mascott 2001","https://es.wallapop.com/item/renault-trucks-mascott-2001-872659623","https://es.wallapop.com/app/chat?itemId=ejkkn0mdxqjx"
"Lampara led ","https://es.wallapop.com/item/lampara-led-872659608","https://es.wallapop.com/app/chat?itemId=qzmy0wmv9gzv"
"Vapor ozono facial profesional ","https://es.wallapop.com/item/vapor-ozono-facial-profesional-872659049","https://es.wallapop.com/app/chat?itemId=mzn87x30gkzn"
"Sofá cama","https://es.wallapop.com/item/sofa-cama-872659253","https://es.wallapop.com/app/chat?itemId=qjwpgnrq14zo"
"Impresora HP Envy 4520 en buenas condiciones","https://es.wallapop.com/item/impresora-hp-envy-4520-en-buenas-condiciones-872659094","https://es.wallapop.com/app/chat?itemId=8z84pl82gl63"
"HONDA FORZA 125 ABS 2022","https://es.wallapop.com/item/honda-forza-125-abs-2022-872659795","https://es.wallapop.com/app/chat?itemId=ejkkn0mdeyjx"
"estanteria galvanizada","https://es.wallapop.com/item/estanteria-galvanizada-872659273","https://es.wallapop.com/app/chat?itemId=mzn87x30pgzn"
"Chrysler Grand Voyager 2006","https://es.wallapop.com/item/chrysler-grand-voyager-2006-872659363","https://es.wallapop.com/app/chat?itemId=36exmr5eryzd"
"ropita nueva","https://es.wallapop.com/item/ropita-nueva-872659860","https://es.wallapop.com/app/chat?itemId=9jd21rwmv46k"
