"Название товара","Ссылка на продавца","Ссылка на чат"
"Pantalon élastique ","https://www.vinted.es/damen/kleidung/hosen-and-leggings/hosen-mit-weitem-bein/2666522586-pantalon-elastique","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666522586&receiver_id=72802665&ref_url=%2Fitems%2F2666522586%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D72802665%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fpantalones-anchos%252F2666522586-pantalon-elastique%26source%3Dwantit%26subject%3Dwanted%253A%2BPantalon%2B%25C3%25A9lastique%2B&source=wantit&subject=wanted%3A+Pantalon+%C3%A9lastique+"
"Mini bolso","https://www.vinted.es/femmes/sacs/sacs-a-bandouliere/2666522496-mini-bolso","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666522496&receiver_id=56627500&ref_url=%2Fitems%2F2666522496%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D56627500%26ref_url%3D%252Fmujer%252Fbolsos%252Fbolsos-de-hombro%252F2666522496-mini-bolso%26source%3Dwantit%26subject%3Dwanted%253A%2BMini%2Bbolso&source=wantit&subject=wanted%3A+Mini+bolso"
"Vestido tirantes fucsia para fiesta","https://www.vinted.es/kobiety/ubrania/sukienki/sukienki-wizytowe/suknie-balowe/2666526623-vestido-tirantes-fucsia-para-fiesta","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666526623&receiver_id=131310482&ref_url=%2Fitems%2F2666526623%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131310482%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Focasiones-especiales%252Fgraduacion%252F2666526623-vestido-tirantes-fucsia-para-fiesta%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Btirantes%2Bfucsia%2Bpara%2Bfiesta&source=wantit&subject=wanted%3A+Vestido+tirantes+fucsia+para+fiesta"
"Camisa sfera","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/blouses/2666526439-camisa-sfera","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666526439&receiver_id=122774559&ref_url=%2Fitems%2F2666526439%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D122774559%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fblusas%252F2666526439-camisa-sfera%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2Bsfera&source=wantit&subject=wanted%3A+Camisa+sfera"
"Blusa Mango","https://www.vinted.es/kobiety/ubrania/topy-koszulki-i-t-shirty/bluzki/2666527141-blusa-mango","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666527141&receiver_id=130446169&ref_url=%2Fitems%2F2666527141%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130446169%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fblusas%252F2666527141-blusa-mango%26source%3Dwantit%26subject%3Dwanted%253A%2BBlusa%2BMango&source=wantit&subject=wanted%3A+Blusa+Mango"
"Botín animal print","https://www.vinted.es/kobiety/obuwie/sztyblety-i-buty-do-kostek/2666530610-botin-animal-print","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666530610&receiver_id=33771472&ref_url=%2Fitems%2F2666530610%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D33771472%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotines%252F2666530610-botin-animal-print%26source%3Dwantit%26subject%3Dwanted%253A%2BBot%25C3%25ADn%2Banimal%2Bprint&source=wantit&subject=wanted%3A+Bot%C3%ADn+animal+print"
"Vestido elegante ","https://www.vinted.es/femmes/vetements/robes/pour-occasions/fetes-and-cocktails/2666531575-vestido-elegante","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666531575&receiver_id=46082204&ref_url=%2Fitems%2F2666531575%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D46082204%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Focasiones-especiales%252Ffiesta-y-coctel%252F2666531575-vestido-elegante%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Belegante%2B&source=wantit&subject=wanted%3A+Vestido+elegante+"
"Chaqueta lotto bomber","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2666531256-chaqueta-lotto-bomber","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666531256&receiver_id=131358790&ref_url=%2Fitems%2F2666531256%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131358790%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-bomber%252F2666531256-chaqueta-lotto-bomber%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Blotto%2Bbomber&source=wantit&subject=wanted%3A+Chaqueta+lotto+bomber"
"Chaqueta Hollister granate de invierno talla L","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2666531122-chaqueta-hollister-granate-de-invierno-talla-l","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666531122&receiver_id=131365825&ref_url=%2Fitems%2F2666531122%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131365825%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-bomber%252F2666531122-chaqueta-hollister-granate-de-invierno-talla-l%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2BHollister%2Bgranate%2Bde%2Binvierno%2Btalla%2BL&source=wantit&subject=wanted%3A+Chaqueta+Hollister+granate+de+invierno+talla+L"
"Sudadera Champion Half Zip up","https://www.vinted.es/hommes/vetements/sweats-and-pulls/pulls-a-capuche-avec-zip/2666535454-sudadera-champion-half-zip-up","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666535454&receiver_id=41814002&ref_url=%2Fitems%2F2666535454%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D41814002%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas-con-cremallera%252F2666535454-sudadera-champion-half-zip-up%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2BChampion%2BHalf%2BZip%2Bup&source=wantit&subject=wanted%3A+Sudadera+Champion+Half+Zip+up"
