"Название товара","Ссылка на продавца","Ссылка на чат"
"Zapatos de tacón ","https://www.vinted.es/mujer/zapatos/tacones/zapatos-de-tacon/2629428850-zapatos-de-tacon","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629428850&receiver_id=129899661&ref_url=%2Fitems%2F2629428850%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129899661%26ref_url%3D%252Fmujer%252Fzapatos%252Ftacones%252Fzapatos-de-tacon%252F2629428850-zapatos-de-tacon%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2Bde%2Btac%25C3%25B3n%2B&source=wantit&subject=wanted%3A+Zapatos+de+tac%C3%B3n+"
"Falda tye dye Mango","https://www.vinted.es/mujer/ropa/faldas/mini/2629427706-falda-tye-dye-mango","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629427706&receiver_id=122272468&ref_url=%2Fitems%2F2629427706%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D122272468%26ref_url%3D%252Fmujer%252Fropa%252Ffaldas%252Fmini%252F2629427706-falda-tye-dye-mango%26source%3Dwantit%26subject%3Dwanted%253A%2BFalda%2Btye%2Bdye%2BMango&source=wantit&subject=wanted%3A+Falda+tye+dye+Mango"
"Vestido oysho ","https://www.vinted.es/femmes/vetements/robes/midi/2629428044-vestido-oysho","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629428044&receiver_id=129938302&ref_url=%2Fitems%2F2629428044%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129938302%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fmidi%252F2629428044-vestido-oysho%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Boysho%2B&source=wantit&subject=wanted%3A+Vestido+oysho+"
"Leggins stradivarius taya M/L ","https://www.vinted.es/mujer/ropa/pantalones-y-leggings/leggings/2629433689-leggins-stradivarius-taya-ml","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629433689&receiver_id=123365736&ref_url=%2Fitems%2F2629433689%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D123365736%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fleggings%252F2629433689-leggins-stradivarius-taya-ml%26source%3Dwantit%26subject%3Dwanted%253A%2BLeggins%2Bstradivarius%2Btaya%2BM%252FL%2B&source=wantit&subject=wanted%3A+Leggins+stradivarius+taya+M%2FL+"
"Sudadera verde","https://www.vinted.es/hommes/vetements/sweats-and-pulls/pulls-et-pulls-a-capuche/2629431556-sudadera-verde","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629431556&receiver_id=32478125&ref_url=%2Fitems%2F2629431556%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D32478125%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas-y-sudaderas-con-capucha%252F2629431556-sudadera-verde%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bverde&source=wantit&subject=wanted%3A+Sudadera+verde"
"Suéter blanco y azul ","https://www.vinted.es/hombre/ropa/jerseis-y-sudaderas/largos/2629429012-sueter-blanco-y-azul","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629429012&receiver_id=122488028&ref_url=%2Fitems%2F2629429012%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D122488028%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Flargos%252F2629429012-sueter-blanco-y-azul%26source%3Dwantit%26subject%3Dwanted%253A%2BSu%25C3%25A9ter%2Bblanco%2By%2Bazul%2B&source=wantit&subject=wanted%3A+Su%C3%A9ter+blanco+y+azul+"
"Traje de gitana ","https://www.vinted.es/zeny/obleceni/specialni-obleceni-masky/2629431117-traje-de-gitana","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629431117&receiver_id=28822076&ref_url=%2Fitems%2F2629431117%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D28822076%26ref_url%3D%252Fmujer%252Fropa%252Fdisfraces-y-trajes-especiales%252F2629431117-traje-de-gitana%26source%3Dwantit%26subject%3Dwanted%253A%2BTraje%2Bde%2Bgitana%2B&source=wantit&subject=wanted%3A+Traje+de+gitana+"
"Adidas Continental 80","https://www.vinted.es/uomo/scarpe/scarpe-da-ginnastica/2629430903-adidas-continental-80","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629430903&receiver_id=122870391&ref_url=%2Fitems%2F2629430903%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D122870391%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2629430903-adidas-continental-80%26source%3Dwantit%26subject%3Dwanted%253A%2BAdidas%2BContinental%2B80&source=wantit&subject=wanted%3A+Adidas+Continental+80"
"Chaqueta Ralph Lauren vintage azul marino","https://www.vinted.es/hombre/ropa/abrigos-y-cazadoras/cazadoras/chaquetas-bomber/2629428454-chaqueta-ralph-lauren-vintage-azul-marino","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629428454&receiver_id=77803433&ref_url=%2Fitems%2F2629428454%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D77803433%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-bomber%252F2629428454-chaqueta-ralph-lauren-vintage-azul-marino%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2BRalph%2BLauren%2Bvintage%2Bazul%2Bmarino&source=wantit&subject=wanted%3A+Chaqueta+Ralph+Lauren+vintage+azul+marino"
"Camisa Emidio Tucci","https://www.vinted.es/hombre/ropa/camisetas-y-camisas/camisas/camisas-de-rayas/2629432474-camisa-emidio-tucci","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629432474&receiver_id=129942477&ref_url=%2Fitems%2F2629432474%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129942477%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisas%252Fcamisas-de-rayas%252F2629432474-camisa-emidio-tucci%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2BEmidio%2BTucci&source=wantit&subject=wanted%3A+Camisa+Emidio+Tucci"
"Jersey Zara talla M","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/pulls-dhiver/2629432344-jersey-zara-talla-m","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629432344&receiver_id=119942602&ref_url=%2Fitems%2F2629432344%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D119942602%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fde-punto%252F2629432344-jersey-zara-talla-m%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2BZara%2Btalla%2BM&source=wantit&subject=wanted%3A+Jersey+Zara+talla+M"
"Sudadera verde ","https://www.vinted.es/moterims/drabuziai/megztiniai-ir-dzemperiai/dzemperiai-ir-megztiniai/2629429380-sudadera-verde","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629429380&receiver_id=129951018&ref_url=%2Fitems%2F2629429380%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129951018%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas%252F2629429380-sudadera-verde%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bverde%2B&source=wantit&subject=wanted%3A+Sudadera+verde+"
