"Название товара","Ссылка на продавца","Ссылка на чат"
"habitex h1200 desumificador","https://es.wallapop.com/item/habitex-h1200-desumificador-870490669","https://es.wallapop.com/app/chat?itemId=3zl1p02xxpjx"
"VOLANTE LOGITECH G29 APTO PARA PS3 PS4","https://es.wallapop.com/item/volante-logitech-g29-apto-para-ps3-ps4-870493560","https://es.wallapop.com/app/chat?itemId=9jd218001d6k"
"Horno electrico","https://es.wallapop.com/item/horno-electrico-870493552","https://es.wallapop.com/app/chat?itemId=w67ynxoo956x"
"Vitrina de madera de cerezo maciza , hecha a mano ","https://es.wallapop.com/item/vitrina-de-madera-de-cerezo-maciza-hecha-a-mano-870494270","https://es.wallapop.com/app/chat?itemId=8z84p53ddl63"
"Audi A4 2006","https://es.wallapop.com/item/audi-a4-2006-870494247","https://es.wallapop.com/app/chat?itemId=ejkknp3o3qjx"
"pantalón diesel ","https://es.wallapop.com/item/pantalon-diesel-870494241","https://es.wallapop.com/app/chat?itemId=wzvnd27p7qjl"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-870493135","https://es.wallapop.com/app/chat?itemId=0j23on72vn6y"
"Muenle baño","https://es.wallapop.com/item/muenle-bano-870494088","https://es.wallapop.com/app/chat?itemId=v6g23oxwvmze"
"se vende por motivos de viaje","https://es.wallapop.com/item/se-vende-por-motivos-de-viaje-870494076","https://es.wallapop.com/app/chat?itemId=w67ynxo2r96x"
"Tarjeta madre impresora 3D Ender 3","https://es.wallapop.com/item/tarjeta-madre-impresora-3d-ender-3-870494050","https://es.wallapop.com/app/chat?itemId=pzprxde4w563"
"Camiseta original Real Madrid ","https://es.wallapop.com/item/camiseta-original-real-madrid-870494033","https://es.wallapop.com/app/chat?itemId=xzorwx4934z9"
"RTX 2070 SUPER","https://es.wallapop.com/item/rtx-2070-super-870494601","https://es.wallapop.com/app/chat?itemId=mzn87wkno0zn"
"Ordenador ASUS","https://es.wallapop.com/item/ordenador-asus-870494560","https://es.wallapop.com/app/chat?itemId=9jd2180yw96k"
"Zapatos OZONE S3 ATMÓSFERA OXÍGENO (Talla 41)","https://es.wallapop.com/item/zapatos-ozone-s3-atmosfera-oxigeno-talla-41-870494552","https://es.wallapop.com/app/chat?itemId=w67ynxo0v76x"
"Philip plein ","https://es.wallapop.com/item/philip-plein-870493869","https://es.wallapop.com/app/chat?itemId=3zl1p0234qjx"
"Faro BMW serie 2 coupe F44","https://es.wallapop.com/item/faro-bmw-serie-2-coupe-f44-870493841","https://es.wallapop.com/app/chat?itemId=wzvnd27p97jl"
"máquina de ejercicio total crunch","https://es.wallapop.com/item/maquina-de-ejercicio-total-crunch-870493822","https://es.wallapop.com/app/chat?itemId=8z84p533yo63"
"Tabla surf","https://es.wallapop.com/item/tabla-surf-870493808","https://es.wallapop.com/app/chat?itemId=qzmy07dd2ozv"
