"Название товара","Ссылка на продавца","Ссылка на чат"
"Camiseta AGZ (Agorazein)","https://es.wallapop.com/item/camiseta-agz-agorazein-870469531","https://es.wallapop.com/app/chat?itemId=p61ym52xgg65"
"dareway","https://es.wallapop.com/item/dareway-870469515","https://es.wallapop.com/app/chat?itemId=36exm8kqynzd"
"abrigo de muton","https://es.wallapop.com/item/abrigo-de-muton-870467500","https://es.wallapop.com/app/chat?itemId=e65gd7507gjo"
"Jordan 4 retro black Cat falsas","https://es.wallapop.com/item/jordan-4-retro-black-cat-falsas-870469623","https://es.wallapop.com/app/chat?itemId=ejkknpq11qjx"
"Casco GES, L","https://es.wallapop.com/item/casco-ges-l-870469592","https://es.wallapop.com/app/chat?itemId=wzy5gy8dmxj5"
"Teléfono móvil nuevo","https://es.wallapop.com/item/telefono-movil-nuevo-870469586","https://es.wallapop.com/app/chat?itemId=4z41204dwvzy"
"Taburetes gris","https://es.wallapop.com/item/taburetes-gris-870469401","https://es.wallapop.com/app/chat?itemId=mzn87wq9x0zn"
"patinete eléctrico ","https://es.wallapop.com/item/patinete-electrico-870469392","https://es.wallapop.com/app/chat?itemId=wzy5gy8d0ej5"
"Xiaomi redmi note 11s","https://es.wallapop.com/item/xiaomi-redmi-note-11s-870469371","https://es.wallapop.com/app/chat?itemId=ejkknpq1n9jx"
"sofá de dos plazas","https://es.wallapop.com/item/sofa-de-dos-plazas-870468930","https://es.wallapop.com/app/chat?itemId=nzx0gr8177z2"
"Air force one mid","https://es.wallapop.com/item/air-force-one-mid-870468914","https://es.wallapop.com/app/chat?itemId=4z41204wmvzy"
"4 llantas tsw imola 15"" sin estrenar","https://es.wallapop.com/item/4-llantas-tsw-imola-15-sin-estrenar-870468798","https://es.wallapop.com/app/chat?itemId=pzprxdqlxk63"
"Polaroid snapchat ","https://es.wallapop.com/item/polaroid-snapchat-870468788","https://es.wallapop.com/app/chat?itemId=v6g23oqdnlze"
"chaiselong","https://es.wallapop.com/item/chaiselong-870468773","https://es.wallapop.com/app/chat?itemId=mzn87wqrm2zn"
"PEDALEADOR ESTÁTICO ","https://es.wallapop.com/item/pedaleador-estatico-870469231","https://es.wallapop.com/app/chat?itemId=p61ym52x5565"
"Zapatos niña","https://es.wallapop.com/item/zapatos-nina-870469223","https://es.wallapop.com/app/chat?itemId=ejkknpq1m1jx"
"LUBRICANTE PROFESIONAL HONDA 4TIEMPOS 15W40","https://es.wallapop.com/item/lubricante-profesional-honda-4tiempos-15w40-870469213","https://es.wallapop.com/app/chat?itemId=pj950n7840ze"
"Camiseta del Iter de Milan","https://es.wallapop.com/item/camiseta-del-iter-de-milan-870468667","https://es.wallapop.com/app/chat?itemId=vjrrm48n4wjk"
"garbanzos pedrosillanos 3.00kgs a 2 €/kg ","https://es.wallapop.com/item/garbanzos-pedrosillanos-3-00kgs-a-2-kg-870469304","https://es.wallapop.com/app/chat?itemId=w67ynxpqr76x"
"Bici niño de 12 años ","https://es.wallapop.com/item/bici-nino-de-12-anos-870469270","https://es.wallapop.com/app/chat?itemId=8z84p50ywo63"
"Jordan Retro 3 Fire/Red - 13","https://es.wallapop.com/item/jordan-retro-3-fire-red-13-870469713","https://es.wallapop.com/app/chat?itemId=pj950npdgvze"
"Nike Uptempo ","https://es.wallapop.com/item/nike-uptempo-870469710","https://es.wallapop.com/app/chat?itemId=8j3ekpdvx8z9"
"Mochilita Tommy Hilfiger Original sin Estrenar ","https://es.wallapop.com/item/mochilita-tommy-hilfiger-original-sin-estrenar-870469711","https://es.wallapop.com/app/chat?itemId=0j23on29rn6y"
"Daelim 125","https://es.wallapop.com/item/daelim-125-870469698","https://es.wallapop.com/app/chat?itemId=pzprxdo89463"
"Venta iPhone 12 ","https://es.wallapop.com/item/venta-iphone-12-870469687","https://es.wallapop.com/app/chat?itemId=36exm849w8zd"
"Paletero falcon ","https://es.wallapop.com/item/paletero-falcon-870469335","https://es.wallapop.com/app/chat?itemId=0j23ondmed6y"
