"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaleco equitación ","https://es.wallapop.com/item/chaleco-equitacion-871723883","https://es.wallapop.com/app/chat?itemId=0j23oeg7ke6y"
"Vestido de comunión ","https://es.wallapop.com/item/vestido-de-comunion-871723881","https://es.wallapop.com/app/chat?itemId=xzorw0d4o7z9"
"vendo dos camas para niñas ","https://es.wallapop.com/item/vendo-dos-camas-para-ninas-871723865","https://es.wallapop.com/app/chat?itemId=wzvnd3k737jl"
"comedero/refugio hamster","https://es.wallapop.com/item/comedero-refugio-hamster-871723856","https://es.wallapop.com/app/chat?itemId=qzmy0nvdnozv"
"chaquetón beig, muy claro.","https://es.wallapop.com/item/chaqueton-beig-muy-claro-871723973","https://es.wallapop.com/app/chat?itemId=mzn87pek12zn"
"SUDADERA CiA talla M","https://es.wallapop.com/item/sudadera-cia-talla-m-871723785","https://es.wallapop.com/app/chat?itemId=pj950er2xvze"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-871723754","https://es.wallapop.com/app/chat?itemId=nzx0g9mxr5z2"
"silla oficina","https://es.wallapop.com/item/silla-oficina-871724870","https://es.wallapop.com/app/chat?itemId=8z84per7kl63"
"se venden libros ","https://es.wallapop.com/item/se-venden-libros-871724170","https://es.wallapop.com/app/chat?itemId=8z84perdvr63"
"Bebé reborn 100%artesanal.","https://es.wallapop.com/item/bebe-reborn-100-artesanal-871724414","https://es.wallapop.com/app/chat?itemId=4z412krmrlzy"
"Vendo bicicleta Scott Spartk 760","https://es.wallapop.com/item/vendo-bicicleta-scott-spartk-760-871724820","https://es.wallapop.com/app/chat?itemId=wzy5g9ok7vj5"
"jaula de conejo","https://es.wallapop.com/item/jaula-de-conejo-871723845","https://es.wallapop.com/app/chat?itemId=3zl1p5d2dqjx"
"camioneta escala 1/18","https://es.wallapop.com/item/camioneta-escala-1-18-871723842","https://es.wallapop.com/app/chat?itemId=x6qd1wngnejy"
"platos porcelana pintados a mano Carmen Muset","https://es.wallapop.com/item/platos-porcelana-pintados-a-mano-carmen-muset-871723834","https://es.wallapop.com/app/chat?itemId=8j3ekg2w22z9"
"Tostadora industrial ","https://es.wallapop.com/item/tostadora-industrial-871723817","https://es.wallapop.com/app/chat?itemId=wzvnd3k7q7jl"
"sillas de oficina","https://es.wallapop.com/item/sillas-de-oficina-871723815","https://es.wallapop.com/app/chat?itemId=36exmvo7ekzd"
"traje de flamenca ","https://es.wallapop.com/item/traje-de-flamenca-871723918","https://es.wallapop.com/app/chat?itemId=x6qd1wng15jy"
"Movil Xiaomi Redmi Note 11 128gb","https://es.wallapop.com/item/movil-xiaomi-redmi-note-11-128gb-871723628","https://es.wallapop.com/app/chat?itemId=w67ynero3w6x"
