"Название товара","Ссылка на продавца","Ссылка на чат"
"se vende","https://es.wallapop.com/item/se-vende-872348421","https://es.wallapop.com/app/chat?itemId=3zl1pp0q3qjx"
"ALTAVOZ JBL","https://es.wallapop.com/item/altavoz-jbl-872355509","https://es.wallapop.com/app/chat?itemId=xzorww3d82z9"
"Plancha GHD","https://es.wallapop.com/item/plancha-ghd-872355431","https://es.wallapop.com/app/chat?itemId=p61ymmkqpx65"
"IPHONE 11 PRO MAX ","https://es.wallapop.com/item/iphone-11-pro-max-872355914","https://es.wallapop.com/app/chat?itemId=4z4122nr5vzy"
"Tabla de surf ","https://es.wallapop.com/item/tabla-de-surf-872355781","https://es.wallapop.com/app/chat?itemId=xzorww3dwwz9"
"Caldera propano","https://es.wallapop.com/item/caldera-propano-872355707","https://es.wallapop.com/app/chat?itemId=p61ymmkeed65"
"lavadora y secadora Bosch","https://es.wallapop.com/item/lavadora-y-secadora-bosch-872354553","https://es.wallapop.com/app/chat?itemId=qjwpgg771qzo"
"Dos lámparas de salón","https://es.wallapop.com/item/dos-lamparas-de-salon-872354520","https://es.wallapop.com/app/chat?itemId=wzy5ggxxqej5"
"escape de Aprilia Sport city 250","https://es.wallapop.com/item/escape-de-aprilia-sport-city-250-872354382","https://es.wallapop.com/app/chat?itemId=8j3ekk55x8z9"
"conjunto de dormitorio.","https://es.wallapop.com/item/conjunto-de-dormitorio-872354290","https://es.wallapop.com/app/chat?itemId=x6qd114vrnjy"
"cafer racer","https://es.wallapop.com/item/cafer-racer-872354796","https://es.wallapop.com/app/chat?itemId=e65gddpp02jo"
"MÓVIL EN OFERTA","https://es.wallapop.com/item/movil-en-oferta-872348611","https://es.wallapop.com/app/chat?itemId=0j23oon0yv6y"
"Las Fichas de la Liga 2004","https://es.wallapop.com/item/las-fichas-de-la-liga-2004-872355130","https://es.wallapop.com/app/chat?itemId=nzx0ggwqmmz2"
"Frigorífico beko ","https://es.wallapop.com/item/frigorifico-beko-872355068","https://es.wallapop.com/app/chat?itemId=wzy5ggxqy2j5"
"Iphone 11","https://es.wallapop.com/item/iphone-11-872354966","https://es.wallapop.com/app/chat?itemId=x6qd114x9ojy"
"Vestido / traje flamenca","https://es.wallapop.com/item/vestido-traje-flamenca-872354944","https://es.wallapop.com/app/chat?itemId=wzy5ggxqnpj5"
"NOX ML10 LUXURY ","https://es.wallapop.com/item/nox-ml10-luxury-872353120","https://es.wallapop.com/app/chat?itemId=wzy5ggx4mpj5"
"Bici MTB Rockrider 340","https://es.wallapop.com/item/bici-mtb-rockrider-340-872354018","https://es.wallapop.com/app/chat?itemId=x6qd114v2yjy"
"televisión 55 Led ultra hd44 55","https://es.wallapop.com/item/television-55-led-ultra-hd44-55-872355400","https://es.wallapop.com/app/chat?itemId=e65gddp9wkjo"
"MUEBLE DORMITORIO","https://es.wallapop.com/item/mueble-dormitorio-872355357","https://es.wallapop.com/app/chat?itemId=xzorww37p5z9"
"LG de 55 Smart tv ","https://es.wallapop.com/item/lg-de-55-872355350","https://es.wallapop.com/app/chat?itemId=pzprxxgw0m63"
"Bicicleta elíptica ","https://es.wallapop.com/item/bicicleta-eliptica-872355341","https://es.wallapop.com/app/chat?itemId=wzvndd0qo4jl"
" ✅ PS4 + 2 mandos ","https://es.wallapop.com/item/ps4---2-mandos-872355344","https://es.wallapop.com/app/chat?itemId=wzy5ggxqkxj5"
"Iphone SE 2020 ","https://es.wallapop.com/item/iphone-se-2020-872355250","https://es.wallapop.com/app/chat?itemId=pzprxxgwq563"
"6 Sillas blancas macizas. Mesa rectangular cristal","https://es.wallapop.com/item/6-sillas-blancas-macizas-mesa-rectangular-cristal-872355181","https://es.wallapop.com/app/chat?itemId=xzorww37owz9"
"Rizador de pelo GHD","https://es.wallapop.com/item/rizador-de-pelo-ghd-872349501","https://es.wallapop.com/app/chat?itemId=mzn877w9qyzn"
"Extractor Industrial diámetro 250mm ","https://es.wallapop.com/item/extractor-industrial-diametro-250mm-872349391","https://es.wallapop.com/app/chat?itemId=vjrrmm4lx4jk"
