"Название товара","Ссылка на продавца","Ссылка на чат"
"Latas de monster (vacías)","https://es.wallapop.com/item/latas-de-monster-vacias-870547742","https://es.wallapop.com/app/chat?itemId=x6qd1vp8oojy"
"mondraker factor ","https://es.wallapop.com/item/mondraker-factor-870547735","https://es.wallapop.com/app/chat?itemId=0j23onpdln6y"
"Clases particulares online de inglés","https://es.wallapop.com/item/clases-particulares-online-de-ingles-870547386","https://es.wallapop.com/app/chat?itemId=4z41207ldmzy"
"Reloj inteligente Apple Watch (NUEVO)","https://es.wallapop.com/item/reloj-inteligente-apple-watch-nuevo-870547146","https://es.wallapop.com/app/chat?itemId=8z84p5mlpd63"
"Maquina de cardio","https://es.wallapop.com/item/maquina-de-cardio-870547147","https://es.wallapop.com/app/chat?itemId=ejkknpv0nyjx"
"nike talla 44 ","https://es.wallapop.com/item/nike-talla-44-870546776","https://es.wallapop.com/app/chat?itemId=w67ynx1nm76x"
"Baliza de Emergencia ","https://es.wallapop.com/item/baliza-de-emergencia-870546761","https://es.wallapop.com/app/chat?itemId=pj950no0o2ze"
"top  stradivarius .","https://es.wallapop.com/item/top-stradivarius-870547244","https://es.wallapop.com/app/chat?itemId=wzy5gy3012j5"
"hojas de olor","https://es.wallapop.com/item/hojas-de-olor-870547227","https://es.wallapop.com/app/chat?itemId=nz001r5lpvzo"
"PS4","https://es.wallapop.com/item/ps4-870547799","https://es.wallapop.com/app/chat?itemId=nz001r53o7zo"
"Mentira","https://es.wallapop.com/item/mentira-870547800","https://es.wallapop.com/app/chat?itemId=e65gd7w51mjo"
"vitrocerámica fagor 2VFT- 330X","https://es.wallapop.com/item/vitroceramica-fagor-2vft-330x-870547796","https://es.wallapop.com/app/chat?itemId=e65gd7w5k0jo"
"Jarron de porcelana fina M. Requena","https://es.wallapop.com/item/jarron-de-porcelana-fina-m-requena-870547790","https://es.wallapop.com/app/chat?itemId=x6qd1vp83ojy"
"Cazadora negra hombre Jack&Jones","https://es.wallapop.com/item/cazadora-negra-hombre-jack-jones-870547779","https://es.wallapop.com/app/chat?itemId=p61ym5n23765"
"SERVICIO A DOMICILIO O DE MANERA PRESENCIAL ","https://es.wallapop.com/item/servicio-a-domicilio-o-de-manera-presencial-870547054","https://es.wallapop.com/app/chat?itemId=nzx0gropq1z2"
"SISTEMA DE FILTRACIÓN DE AGUA POR ÓSMOSIS INVERSA","https://es.wallapop.com/item/sistema-de-filtracion-de-agua-por-osmosis-inversa-870547045","https://es.wallapop.com/app/chat?itemId=3zl1p0q7npjx"
"casco Scorpion exo 1200 ","https://es.wallapop.com/item/casco-scorpion-exo-1200-870547335","https://es.wallapop.com/app/chat?itemId=0j23onplpd6y"
"Chimenea de leña  hergom","https://es.wallapop.com/item/chimenea-de-lena-hergom-870547331","https://es.wallapop.com/app/chat?itemId=p61ym5nlnd65"
"Patines talla 36","https://es.wallapop.com/item/patines-talla-36-870547327","https://es.wallapop.com/app/chat?itemId=nz001r5l5rzo"
"cuadros antiguos ","https://es.wallapop.com/item/cuadros-antiguos-870547324","https://es.wallapop.com/app/chat?itemId=e65gd7wlwgjo"
"Botas UGG","https://es.wallapop.com/item/botas-ugg-870547317","https://es.wallapop.com/app/chat?itemId=wzvnd215m1jl"
"ventanas correderas","https://es.wallapop.com/item/ventanas-correderas-98x1-76-870546734","https://es.wallapop.com/app/chat?itemId=8j3ekp0knlz9"
"Botes de cerámica de Teruel","https://es.wallapop.com/item/botes-de-ceramica-de-teruel-870546720","https://es.wallapop.com/app/chat?itemId=wzy5gy3g2ej5"
"Jersey rosa de HyM. ","https://es.wallapop.com/item/jersey-rosa-de-hym-870547276","https://es.wallapop.com/app/chat?itemId=w67ynx1l0y6x"
"Puff minimalista gris COMO NUEVO ","https://es.wallapop.com/item/puff-minimalista-gris-como-nuevo-870547271","https://es.wallapop.com/app/chat?itemId=ejkknpv0o1jx"
"Camiseta Oficial del Barcelona temp. 2022-23","https://es.wallapop.com/item/camiseta-oficial-del-barcelona-temp-2022-23-870547528","https://es.wallapop.com/app/chat?itemId=w67ynx1p456x"
"Vendo PS4!!","https://es.wallapop.com/item/vendo-ps4-870546828","https://es.wallapop.com/app/chat?itemId=w67ynx1l896x"
"Juego de Dormitorio. Más cama ","https://es.wallapop.com/item/juego-de-dormitorio-mas-cama-870547664","https://es.wallapop.com/app/chat?itemId=v6g23o9qv7ze"
"Vestido ","https://es.wallapop.com/item/vestido-870547577","https://es.wallapop.com/app/chat?itemId=qjwpg2k82wzo"
