"Название товара","Ссылка на продавца","Ссылка на чат"
"ALBUM ADRENALYN XL 2023","https://es.wallapop.com/item/album-adrenalyn-xl-2023-871714546","https://es.wallapop.com/app/chat?itemId=8z84perq5r63"
"ProDigi II libro de música ESO","https://es.wallapop.com/item/prodigi-ii-libro-de-musica-eso-871715264","https://es.wallapop.com/app/chat?itemId=v6g23vk437ze"
"Adidas predator sala","https://es.wallapop.com/item/adidas-predator-sala-871715257","https://es.wallapop.com/app/chat?itemId=xzorw0d8wlz9"
"Iphone 11 128g  para piezas ","https://es.wallapop.com/item/iphone-11-128g-para-piezas-871715463","https://es.wallapop.com/app/chat?itemId=36exmvow2kzd"
"Bolso Zadig&Voltaire","https://es.wallapop.com/item/bolso-zadig-voltaire-871715365","https://es.wallapop.com/app/chat?itemId=wzvnd3ky7djl"
"LIBROS GEOGRAFÍA E HISTORIA UNED","https://es.wallapop.com/item/libros-geografia-e-historia-uned-871715306","https://es.wallapop.com/app/chat?itemId=nzx0g9m585z2"
"Charizard Vastro","https://es.wallapop.com/item/charizard-vastro-871714775","https://es.wallapop.com/app/chat?itemId=nz001d2go7zo"
"Sillón 1900. En perfecto estado ","https://es.wallapop.com/item/sillon-1900-en-perfecto-estado-871714481","https://es.wallapop.com/app/chat?itemId=xzorw0dlr4z9"
"Piso en venta","https://es.wallapop.com/item/piso-en-venta-871714460","https://es.wallapop.com/app/chat?itemId=9jd21vmx5l6k"
"Audi S3 2001","https://es.wallapop.com/item/audi-s3-2001-871715136","https://es.wallapop.com/app/chat?itemId=9jd21vm7nd6k"
"Bicicleta Canyon roadlite 5 del 2022 talla L","https://es.wallapop.com/item/bicicleta-canyon-roadlite-5-del-2022-talla-l-871715129","https://es.wallapop.com/app/chat?itemId=qjwpg91y2wzo"
"chaqueta vintage Nike ","https://es.wallapop.com/item/chaqueta-vintage-nike-871715122","https://es.wallapop.com/app/chat?itemId=8z84per15r63"
"Mando negro totalmente nuevo","https://es.wallapop.com/item/mando-negro-totalmente-nuevo-871715101","https://es.wallapop.com/app/chat?itemId=mzn87pel37zn"
"Disfraz Indio ","https://es.wallapop.com/item/disfraz-indio-871714909","https://es.wallapop.com/app/chat?itemId=xzorw0dlywz9"
"tele ","https://es.wallapop.com/item/tele-871714913","https://es.wallapop.com/app/chat?itemId=pj950erk32ze"
"Carro de Mulas Antiguo","https://es.wallapop.com/item/carro-de-mulas-antiguo-871714905","https://es.wallapop.com/app/chat?itemId=qjwpg91exqzo"
"sin marca","https://es.wallapop.com/item/sin-marca-871714896","https://es.wallapop.com/app/chat?itemId=e65gdervxmjo"
"Zapato de pico nuevo","https://es.wallapop.com/item/zapato-de-pico-nuevo-871714820","https://es.wallapop.com/app/chat?itemId=wzy5g9olw2j5"
"Cochecito Bugaboo Bee5 edición limitada Coral ","https://es.wallapop.com/item/cochecito-bugaboo-bee5-edicion-limitada-coral-871715036","https://es.wallapop.com/app/chat?itemId=9jd21vm75l6k"
"mascara payday 2","https://es.wallapop.com/item/mascara-payday-2-871715034","https://es.wallapop.com/app/chat?itemId=8j3ekg2yx1z9"
"Una moto","https://es.wallapop.com/item/una-moto-871715409","https://es.wallapop.com/app/chat?itemId=xzorw0d8p7z9"
"Bici andador","https://es.wallapop.com/item/bici-andador-871715389","https://es.wallapop.com/app/chat?itemId=wzvnd3kypdjl"
"zapatillas talla 43","https://es.wallapop.com/item/zapatillas-talla-43-871714425","https://es.wallapop.com/app/chat?itemId=mzn87pegl0zn"
"Alfombra de rayas ","https://es.wallapop.com/item/alfombra-de-rayas-871714422","https://es.wallapop.com/app/chat?itemId=8z84perq1863"
"Máscara Oni de Samurai impresa en Resina","https://es.wallapop.com/item/mascara-oni-de-samurai-impresa-en-resina-871715167","https://es.wallapop.com/app/chat?itemId=vjrrmxpd14jk"
"Cromos película encanto ","https://es.wallapop.com/item/cromos-pelicula-encanto-871715151","https://es.wallapop.com/app/chat?itemId=nz001d2mw3zo"
"Libros adaptación ","https://es.wallapop.com/item/libros-adaptacion-871714941","https://es.wallapop.com/app/chat?itemId=wzvnd3krx1jl"
"PARKING ","https://es.wallapop.com/item/parking-871714926","https://es.wallapop.com/app/chat?itemId=pzprx75yvk63"
"Recibidor Rustico","https://es.wallapop.com/item/recibidor-rustico-871714689","https://es.wallapop.com/app/chat?itemId=wzvnd3krdqjl"
"Toyota Corolla 2007","https://es.wallapop.com/item/toyota-corolla-2007-871714695","https://es.wallapop.com/app/chat?itemId=ejkknrdxnqjx"
"Dormitorio de matrimonio ","https://es.wallapop.com/item/dormitorio-de-matrimonio-871714671","https://es.wallapop.com/app/chat?itemId=ejkknrdxwqjx"
"limpieza de oficinas ","https://es.wallapop.com/item/limpieza-de-oficinas-871714861","https://es.wallapop.com/app/chat?itemId=pj950erk10ze"
"FIFA 23 PS5","https://es.wallapop.com/item/fifa-23-ps5-871714862","https://es.wallapop.com/app/chat?itemId=4z412kryplzy"
"iphone  14 pro mazx","https://es.wallapop.com/item/iphone-14-pro-mazx-871714852","https://es.wallapop.com/app/chat?itemId=w67yner3wy6x"
"Estuche 168 colores","https://es.wallapop.com/item/estuche-168-colores-871714376","https://es.wallapop.com/app/chat?itemId=w67yner3876x"
