"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta de pana de zara ","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/vestes/vestes-en-jean/2646315842-chaqueta-de-pana-de-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646315842&receiver_id=85975914&ref_url=%2Fitems%2F2646315842%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D85975914%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fcazadoras-vaqueras%252F2646315842-chaqueta-de-pana-de-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bde%2Bpana%2Bde%2Bzara%2B&source=wantit&subject=wanted%3A+Chaqueta+de+pana+de+zara+"
"Zapatos tacón ","https://www.vinted.es/femmes/chaussures/chaussures-a-talons/talons-hauts-and-escarpins/2646317983-zapatos-tacon","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646317983&receiver_id=47918544&ref_url=%2Fitems%2F2646317983%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D47918544%26ref_url%3D%252Fmujer%252Fzapatos%252Ftacones%252Fzapatos-de-tacon%252F2646317983-zapatos-tacon%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2Btac%25C3%25B3n%2B&source=wantit&subject=wanted%3A+Zapatos+tac%C3%B3n+"
"Abrigo piel","https://www.vinted.es/dames/kleding/buitenkleding/jassen/overjassen-en-lange-jassen/2646317805-abrigo-piel","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646317805&receiver_id=46401765&ref_url=%2Fitems%2F2646317805%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D46401765%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fabrigos%252Fsobretodos-y-abrigos-largos%252F2646317805-abrigo-piel%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bpiel&source=wantit&subject=wanted%3A+Abrigo+piel"
"Jersey punto Nicole ","https://www.vinted.es/mujer/ropa/jerseis-y-sudaderas/otros-jerseis-y-sudaderas/2646314857-jersey-punto-nicole","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646314857&receiver_id=129064625&ref_url=%2Fitems%2F2646314857%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129064625%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fotros-jerseis-y-sudaderas%252F2646314857-jersey-punto-nicole%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bpunto%2BNicole%2B&source=wantit&subject=wanted%3A+Jersey+punto+Nicole+"
"Cojines Pufa’s Handmade","https://www.vinted.es/maison/textiles/coussins-decoratifs/2646316174-cojines-pufas-handmade","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646316174&receiver_id=130550156&ref_url=%2Fitems%2F2646316174%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130550156%26ref_url%3D%252Fhogar%252Ftextiles%252Fcojines%252F2646316174-cojines-pufas-handmade%26source%3Dwantit%26subject%3Dwanted%253A%2BCojines%2BPufa%25E2%2580%2599s%2BHandmade&source=wantit&subject=wanted%3A+Cojines+Pufa%E2%80%99s+Handmade"
"Vestido lencero con encaje de Zara","https://www.vinted.es/femmes/vetements/robes/autres-robes/2646316961-vestido-lencero-con-encaje-de-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646316961&receiver_id=130562016&ref_url=%2Fitems%2F2646316961%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130562016%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fotros-vestidos%252F2646316961-vestido-lencero-con-encaje-de-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Blencero%2Bcon%2Bencaje%2Bde%2BZara&source=wantit&subject=wanted%3A+Vestido+lencero+con+encaje+de+Zara"
"Zapatillas Artengo talla 37","https://www.vinted.es/hommes/chaussures/chaussures-de-sport/chaussures-de-course/2646316750-zapatillas-artengo-talla-37","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646316750&receiver_id=130513640&ref_url=%2Fitems%2F2646316750%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130513640%26ref_url%3D%252Fhombre%252Fcalzado%252Fzapatillas-de-deporte%252Fzapatillas-de-correr%252F2646316750-zapatillas-artengo-talla-37%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatillas%2BArtengo%2Btalla%2B37&source=wantit&subject=wanted%3A+Zapatillas+Artengo+talla+37"
"Pantalón nike","https://www.vinted.es/hommes/vetements/pantalons/jogging/2646314199-pantalon-nike","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646314199&receiver_id=129782725&ref_url=%2Fitems%2F2646314199%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129782725%26ref_url%3D%252Fhombre%252Fropa%252Fpantalones%252Fjoggers%252F2646314199-pantalon-nike%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bnike&source=wantit&subject=wanted%3A+Pantal%C3%B3n+nike"
"Jersey beige de Springfield","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/pulls-col-v/2646316797-jersey-beige-de-springfield","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646316797&receiver_id=69355440&ref_url=%2Fitems%2F2646316797%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D69355440%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fcuello-de-pico%252F2646316797-jersey-beige-de-springfield%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bbeige%2Bde%2BSpringfield&source=wantit&subject=wanted%3A+Jersey+beige+de+Springfield"
"Sudadera Snipes","https://www.vinted.es/hombre/ropa/jerseis-y-sudaderas/sudaderas-y-sudaderas-con-capucha/2646312679-sudadera-snipes","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646312679&receiver_id=130571773&ref_url=%2Fitems%2F2646312679%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130571773%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas-y-sudaderas-con-capucha%252F2646312679-sudadera-snipes%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2BSnipes&source=wantit&subject=wanted%3A+Sudadera+Snipes"
