"Название товара","Ссылка на продавца","Ссылка на чат"
"Reloj Diésel Dz7435 (original)","https://es.wallapop.com/item/reloj-diesel-dz7435-872566887","https://es.wallapop.com/app/chat?itemId=36exmmq7dkzd"
"Zapatillas deportivas GG","https://es.wallapop.com/item/zapatillas-deportivas-gg-872636708","https://es.wallapop.com/app/chat?itemId=qzmy0wykmlzv"
"Buzón natural ","https://es.wallapop.com/item/buzon-natural-872628075","https://es.wallapop.com/app/chat?itemId=nz001l0vrvzo"
"nike air force x supreme Eu 45","https://es.wallapop.com/item/nike-air-force-x-supreme-eu-45-872612282","https://es.wallapop.com/app/chat?itemId=8j3ekly30yz9"
"reloj touch Titanium ","https://es.wallapop.com/item/reloj-touch-titanium-872600457","https://es.wallapop.com/app/chat?itemId=xzorw18v37z9"
"Versace Mini Vanity reloj","https://es.wallapop.com/item/versace-mini-vanity-reloj-872593212","https://es.wallapop.com/app/chat?itemId=9jd21rxrp46k"
"Reloj Oyster perpetuado Datejust _ nuevo","https://es.wallapop.com/item/reloj-oyster-perpetuado-datejust-_-nuevo-872652934","https://es.wallapop.com/app/chat?itemId=8j3ekl4727z9"
"Abrigo ","https://es.wallapop.com/item/abrigo-872652765","https://es.wallapop.com/app/chat?itemId=wzvnd54wl1jl"
"Nike Air Jordan 1 Low Travis Scott","https://es.wallapop.com/item/nike-air-jordan-1-low-travis-scott-872652257","https://es.wallapop.com/app/chat?itemId=xzorw125g4z9"
"Vestido fiesta ,(boda)","https://es.wallapop.com/item/vestido-fiesta-boda-872651468","https://es.wallapop.com/app/chat?itemId=wzy5g04k32j5"
"Relojes","https://es.wallapop.com/item/relojes-872651399","https://es.wallapop.com/app/chat?itemId=nz001l4ek7zo"
"Traje de fallera","https://es.wallapop.com/item/traje-de-fallera-872651387","https://es.wallapop.com/app/chat?itemId=36exmr1y0vzd"
"COLLAR Y PENDIENTES","https://es.wallapop.com/item/collar-y-pendientes-872648025","https://es.wallapop.com/app/chat?itemId=mzn87x27r0zn"
"Bolso Loewe Amazona","https://es.wallapop.com/item/bolso-loewe-amazona-872647343","https://es.wallapop.com/app/chat?itemId=vjrrm3qv5ljk"
"Adidas Adi2000","https://es.wallapop.com/item/adidas-adi2000-872643228","https://es.wallapop.com/app/chat?itemId=w67ynl44l96x"
