"Название товара","Ссылка на продавца","Ссылка на чат"
"pie mármol ,90cm","https://es.wallapop.com/item/pie-marmol-90cm-869827969","https://es.wallapop.com/app/chat?itemId=3zl1p827e4jx"
"casco moto","https://es.wallapop.com/item/casco-moto-869827949","https://es.wallapop.com/app/chat?itemId=mzn872k792zn"
"Máquina de coser alfa antigua","https://es.wallapop.com/item/maquina-de-coser-alfa-antigua-869828686","https://es.wallapop.com/app/chat?itemId=4z412ex4ewzy"
"Bicicleta Eliptica","https://es.wallapop.com/item/bicicleta-eliptica-869828316","https://es.wallapop.com/app/chat?itemId=v6g23gxrrnze"
"vehículo deber niño a bateria","https://es.wallapop.com/item/vehiculo-deber-nino-a-bateria-869828242","https://es.wallapop.com/app/chat?itemId=x6qd1mgownjy"
"portatil asus i7","https://es.wallapop.com/item/portatil-asus-i7-869828233","https://es.wallapop.com/app/chat?itemId=xzorw2410lz9"
"iPhone XR amarillo 64 GB","https://es.wallapop.com/item/iphone-xr-amarillo-64-gb-869828222","https://es.wallapop.com/app/chat?itemId=8z84pk3lrl63"
"Montador de Parquet laminado","https://es.wallapop.com/item/montador-de-parquet-laminado-869828217","https://es.wallapop.com/app/chat?itemId=wzvnd475kqjl"
"silla rosa","https://es.wallapop.com/item/silla-rosa-869828426","https://es.wallapop.com/app/chat?itemId=pzprx2em0963"
"Accesorios para el pelo","https://es.wallapop.com/item/accesorios-para-el-pelo-869828408","https://es.wallapop.com/app/chat?itemId=qzmy0edwkozv"
"Redmi note 8 pro","https://es.wallapop.com/item/redmi-note-8-pro-869828406","https://es.wallapop.com/app/chat?itemId=nzx0g4xp7ez2"
"SE VENDE ESTUFA DE LEÑA EN PERFECTO ESTADO ","https://es.wallapop.com/item/se-vende-estufa-de-lena-en-perfecto-estado-869827831","https://es.wallapop.com/app/chat?itemId=p61ym40mw565"
"inpods 12","https://es.wallapop.com/item/inpods-12-869827828","https://es.wallapop.com/app/chat?itemId=w67yn4on2y6x"
"Cazadora borrego hombre negra ","https://es.wallapop.com/item/cazadora-borrego-hombre-negra-869827826","https://es.wallapop.com/app/chat?itemId=pzprx2ex4963"
"Estufa de gas","https://es.wallapop.com/item/estufa-de-gas-869827815","https://es.wallapop.com/app/chat?itemId=36exm17m7kzd"
"Botas Levi's T42","https://es.wallapop.com/item/botas-levi-s-t42-869828537","https://es.wallapop.com/app/chat?itemId=pj950m2l82ze"
"moneda ","https://es.wallapop.com/item/moneda-869827920","https://es.wallapop.com/app/chat?itemId=wzy5g41gmej5"
"Chaqueta ataque a los titanes.","https://es.wallapop.com/item/chaqueta-ataque-a-los-titanes-869828058","https://es.wallapop.com/app/chat?itemId=8j3ek4wlx1z9"
"Armario antiguo siglo XIX ","https://es.wallapop.com/item/armario-antiguo-siglo-xix-869828036","https://es.wallapop.com/app/chat?itemId=9jd21k0r7l6k"
"Mario kart 8 deluxe","https://es.wallapop.com/item/mario-kart-8-deluxe-869828027","https://es.wallapop.com/app/chat?itemId=nz0014plmdzo"
"Mono Quechua  para Nieve ","https://es.wallapop.com/item/mono-quechua-para-nieve-869827786","https://es.wallapop.com/app/chat?itemId=4z412ex29rzy"
"lámpara de diseño","https://es.wallapop.com/item/lampara-de-diseno-869827775","https://es.wallapop.com/app/chat?itemId=nz0014p137zo"
"Zapatos Para Dama de Stradivarius ","https://es.wallapop.com/item/zapatos-para-dama-de-stradivarius-869827884","https://es.wallapop.com/app/chat?itemId=9jd21k01l46k"
"Peluca Cosplay Bnha todoroki mujer","https://es.wallapop.com/item/peluca-cosplay-bnha-todoroki-mujer-869827853","https://es.wallapop.com/app/chat?itemId=qjwpg4wg34zo"
"Encimera 800 roble africa","https://es.wallapop.com/item/encimera-800-roble-africa-869828359","https://es.wallapop.com/app/chat?itemId=0j23o47l2n6y"
"Colección j.j Benítez ","https://es.wallapop.com/item/coleccion-j-j-benitez-869828748","https://es.wallapop.com/app/chat?itemId=e65gd815p2jo"
"BUSCO TRABAJO","https://es.wallapop.com/item/busco-trabajo-869828160","https://es.wallapop.com/app/chat?itemId=9jd21k0rnd6k"
"bebé niña realista ","https://es.wallapop.com/item/bebe-nina-realista-869828163","https://es.wallapop.com/app/chat?itemId=36exm17rpnzd"
"jordan 1","https://es.wallapop.com/item/jordan-1-869828023","https://es.wallapop.com/app/chat?itemId=ejkkn8304pjx"
"Estantería metálicas ","https://es.wallapop.com/item/estanteria-metalicas-869828005","https://es.wallapop.com/app/chat?itemId=qjwpg4wnegzo"
"GTX 1650 4GB","https://es.wallapop.com/item/gtx-1650-4gb-869827740","https://es.wallapop.com/app/chat?itemId=v6g23gx3rnze"
"Ferrari 456 gt colección ","https://es.wallapop.com/item/ferrari-456-gt-coleccion-869828152","https://es.wallapop.com/app/chat?itemId=w67yn4olx56x"
"Jersey the north face ","https://es.wallapop.com/item/jersey-the-north-face-869828142","https://es.wallapop.com/app/chat?itemId=x6qd1mgovqjy"
"lapierre 27,5""","https://es.wallapop.com/item/lapierre-27-5-869827680","https://es.wallapop.com/app/chat?itemId=qzmy0ed01gzv"
"cuidadora","https://es.wallapop.com/item/cuidadora-869827659","https://es.wallapop.com/app/chat?itemId=0j23o47oer6y"
