"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta de pelitos.","https://www.vinted.es/donna/vestiti/abbigliamento-da-esterno/gilet/2646625718-chaqueta-de-pelitos","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646625718&receiver_id=130585794&ref_url=%2Fitems%2F2646625718%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130585794%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fchalecos%252F2646625718-chaqueta-de-pelitos%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bde%2Bpelitos.&source=wantit&subject=wanted%3A+Chaqueta+de+pelitos."
"Zapatos de tacón ","https://www.vinted.es/femmes/chaussures/chaussures-a-talons/talons-hauts-and-escarpins/2646621642-zapatos-de-tacon","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646621642&receiver_id=110477760&ref_url=%2Fitems%2F2646621642%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D110477760%26ref_url%3D%252Fmujer%252Fzapatos%252Ftacones%252Fzapatos-de-tacon%252F2646621642-zapatos-de-tacon%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2Bde%2Btac%25C3%25B3n%2B&source=wantit&subject=wanted%3A+Zapatos+de+tac%C3%B3n+"
"Bolso Rock Zadig et Voltaire negro con tachuelas","https://www.vinted.es/kobiety/torby/torby-do-reki/2646615435-bolso-rock-zadig-et-voltaire-negro-con-tachuelas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646615435&receiver_id=53140169&ref_url=%2Fitems%2F2646615435%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D53140169%26ref_url%3D%252Fmujer%252Fbolsos%252Fbolsos-de-mano%252F2646615435-bolso-rock-zadig-et-voltaire-negro-con-tachuelas%26source%3Dwantit%26subject%3Dwanted%253A%2BBolso%2BRock%2BZadig%2Bet%2BVoltaire%2Bnegro%2Bcon%2Btachuelas&source=wantit&subject=wanted%3A+Bolso+Rock+Zadig+et+Voltaire+negro+con+tachuelas"
"Camiseta supply y demand","https://www.vinted.es/hommes/vetements/hauts-and-tee-shirts/tee-shirts/t-shirts-unis/2646630597-camiseta-supply-y-demand","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646630597&receiver_id=128396290&ref_url=%2Fitems%2F2646630597%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D128396290%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-lisas%252F2646630597-camiseta-supply-y-demand%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bsupply%2By%2Bdemand&source=wantit&subject=wanted%3A+Camiseta+supply+y+demand"
"Forro polar quechua","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/vestes/vestes-matelassees/2646627479-forro-polar-quechua","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646627479&receiver_id=130516201&ref_url=%2Fitems%2F2646627479%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130516201%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-chaquetas%252Fchaquetas%252Fchaquetas-acolchadas%252F2646627479-forro-polar-quechua%26source%3Dwantit%26subject%3Dwanted%253A%2BForro%2Bpolar%2Bquechua&source=wantit&subject=wanted%3A+Forro+polar+quechua"
"Adidas ","https://www.vinted.es/hommes/chaussures/baskets/2646632961-adidas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646632961&receiver_id=130358542&ref_url=%2Fitems%2F2646632961%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130358542%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2646632961-adidas%26source%3Dwantit%26subject%3Dwanted%253A%2BAdidas%2B&source=wantit&subject=wanted%3A+Adidas+"
"Gorra Red Bull","https://www.vinted.es/mezczyzni/akcesoria-dodatki/kapelusze-i-czapki/czapki-z-daszkiem/2646632652-gorra-red-bull","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646632652&receiver_id=130457205&ref_url=%2Fitems%2F2646632652%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130457205%26ref_url%3D%252Fhombre%252Faccesorios%252Fsombreros-y-gorros%252Fgorras%252F2646632652-gorra-red-bull%26source%3Dwantit%26subject%3Dwanted%253A%2BGorra%2BRed%2BBull&source=wantit&subject=wanted%3A+Gorra+Red+Bull"
"Chaqueta biker fucsia ","https://www.vinted.es/kobiety/ubrania/okrycia-wierzchnie/kurtki/motocyklowki-i-kurtki-wyscigowe/2646631772-chaqueta-biker-fucsia","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646631772&receiver_id=81303229&ref_url=%2Fitems%2F2646631772%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D81303229%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fchaquetas%252Fcazadoras-biker%252F2646631772-chaqueta-biker-fucsia%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bbiker%2Bfucsia%2B&source=wantit&subject=wanted%3A+Chaqueta+biker+fucsia+"
"Vestido bautizo niña","https://www.vinted.es/mujer/ropa/vestidos/otros-vestidos/2646627959-vestido-bautizo-nina","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646627959&receiver_id=50480988&ref_url=%2Fitems%2F2646627959%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D50480988%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fotros-vestidos%252F2646627959-vestido-bautizo-nina%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bbautizo%2Bni%25C3%25B1a&source=wantit&subject=wanted%3A+Vestido+bautizo+ni%C3%B1a"
"Conjunto pink shein","https://www.vinted.es/femmes/vetements/blazers-and-tailleurs/ensembles-tailleur-slash-pantalon/2646627807-conjunto-pink-shein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646627807&receiver_id=46232087&ref_url=%2Fitems%2F2646627807%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D46232087%26ref_url%3D%252Fmujer%252Fropa%252Ftrajes-y-blazers%252Ftrajes-de-pantalon%252F2646627807-conjunto-pink-shein%26source%3Dwantit%26subject%3Dwanted%253A%2BConjunto%2Bpink%2Bshein&source=wantit&subject=wanted%3A+Conjunto+pink+shein"
