"Название товара","Ссылка на продавца","Ссылка на чат"
"Casa en venta","https://es.wallapop.com/item/casa-en-venta-870911556","https://es.wallapop.com/app/chat?itemId=qzmy0o22e1zv"
"Puzzle 1000 piezas Café Terrace Van Gogh","https://es.wallapop.com/item/puzzle-1000-piezas-cafe-terrace-van-gogh-870911460","https://es.wallapop.com/app/chat?itemId=9jd21nggx46k"
"Venta de sofá nuevo","https://es.wallapop.com/item/venta-de-sofa-nuevo-870910806","https://es.wallapop.com/app/chat?itemId=nzx0gw3o1ez2"
"Botellero Apilable Plástico","https://es.wallapop.com/item/botellero-apilable-plastico-870910804","https://es.wallapop.com/app/chat?itemId=w67yn7q1my6x"
"cintas vhs","https://es.wallapop.com/item/cintas-vhs-870911337","https://es.wallapop.com/app/chat?itemId=pj950x831vze"
"chaqueton","https://es.wallapop.com/item/chaqueton-870911401","https://es.wallapop.com/app/chat?itemId=mzn87o9r9gzn"
"Mesas de noche en buen estado ","https://es.wallapop.com/item/mesas-de-noche-en-buen-estado-870910938","https://es.wallapop.com/app/chat?itemId=4z412ndwgmzy"
"MONOSEM NGplus 2 ","https://es.wallapop.com/item/monosem-ngplus-2-870910919","https://es.wallapop.com/app/chat?itemId=vjrrmolndljk"
"vestido de novia ","https://es.wallapop.com/item/vestido-de-novia-870910869","https://es.wallapop.com/app/chat?itemId=3zl1pkoveqjx"
"Sofa dos plazas ","https://es.wallapop.com/item/sofa-dos-plazas-870910862","https://es.wallapop.com/app/chat?itemId=4z412ndwolzy"
"Piso en venta","https://es.wallapop.com/item/casa-en-venta-870910847","https://es.wallapop.com/app/chat?itemId=ejkkne1v11jx"
"SAMSUNG A33","https://es.wallapop.com/item/samsung-a33-870911166","https://es.wallapop.com/app/chat?itemId=x6qd14r51qjy"
"Play 4","https://es.wallapop.com/item/play-5-870910688","https://es.wallapop.com/app/chat?itemId=v6g23789x7ze"
