"Название товара","Ссылка на продавца","Ссылка на чат"
"Baùl E300NT2 GIVI 30L","https://es.wallapop.com/item/baul-e300nt2-givi-30l-871228092","https://es.wallapop.com/app/chat?itemId=wzy5gqm2wvj5"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-871228086","https://es.wallapop.com/app/chat?itemId=4z412qwpm8zy"
"Escritorio IKEA perfecto estado <3","https://es.wallapop.com/item/escritorio-ikea-perfecto-estado-3-871228048","https://es.wallapop.com/app/chat?itemId=e65gd9x0kkjo"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-871227339","https://es.wallapop.com/app/chat?itemId=36exme3yvnzd"
"mostrador y mobiliario comercio","https://es.wallapop.com/item/mostrador-y-mobiliario-comercio-871227229","https://es.wallapop.com/app/chat?itemId=qjwpgqx3rgzo"
"Samsung Galaxy Note 20 Ultra","https://es.wallapop.com/item/samsung-galaxy-note-20-ultra-871228894","https://es.wallapop.com/app/chat?itemId=8z84p2oogo63"
"FAROS MERCEDES CLASE C (W203) 2004-2007 ","https://es.wallapop.com/item/faros-mercedes-clase-c-w203-2004-2007-871228886","https://es.wallapop.com/app/chat?itemId=4z412qwwglzy"
"LongBoard Nkx Feather Bambú","https://es.wallapop.com/item/longboard-nkx-feather-bambu-871228875","https://es.wallapop.com/app/chat?itemId=nz001ynnvvzo"
"Barco 7,50","https://es.wallapop.com/item/barco-7-50-871228868","https://es.wallapop.com/app/chat?itemId=wzy5gqmmn2j5"
"Tabla de surf 6,0","https://es.wallapop.com/item/tabla-de-surf-6-0-871227072","https://es.wallapop.com/app/chat?itemId=e65gd9xnmmjo"
"Se vernde termo electrico 150 L","https://es.wallapop.com/item/se-vernde-termo-electrico-150-l-871227887","https://es.wallapop.com/app/chat?itemId=36exme3leqzd"
"Bañera con guardarropa armario. ","https://es.wallapop.com/item/banera-con-guardarropa-armario-871227847","https://es.wallapop.com/app/chat?itemId=ejkkn5glepjx"
"ROLEX ","https://es.wallapop.com/item/rolex-871227448","https://es.wallapop.com/app/chat?itemId=e65gd9xn5kjo"
"Cama Brimnes Diván","https://es.wallapop.com/item/cama-brimnes-divan-871227419","https://es.wallapop.com/app/chat?itemId=vjrrm1nw3xjk"
"Juego trivial pursuit genus edición master","https://es.wallapop.com/item/juego-trivial-pursuit-genus-edicion-master-871227417","https://es.wallapop.com/app/chat?itemId=wzvndqwo5qjl"
"SINFONIER DE SEIS CAJONERAS ","https://es.wallapop.com/item/sinfonier-de-seis-cajoneras-871227395","https://es.wallapop.com/app/chat?itemId=ejkkn5gynrjx"
" Monedas 5 pesetas mundial 82","https://es.wallapop.com/item/monedas-5-pesetas-mundial-82-871228757","https://es.wallapop.com/app/chat?itemId=xzorw7y5y2z9"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871228635","https://es.wallapop.com/app/chat?itemId=0j23oq0p7r6y"
"cama articulada eléctrica ","https://es.wallapop.com/item/cama-articulada-electrica-871228577","https://es.wallapop.com/app/chat?itemId=qjwpgqxknwzo"
"iPhones para piezas","https://es.wallapop.com/item/iphones-para-piezas-871228565","https://es.wallapop.com/app/chat?itemId=wzvndqw154jl"
"Symjoymax 300i abs año 2016","https://es.wallapop.com/item/symjoymax-300i-abs-ano-2016-871226953","https://es.wallapop.com/app/chat?itemId=qjwpgqx03ezo"
"SEAT Alhambra 2005","https://es.wallapop.com/item/seat-alhambra-2005-871226872","https://es.wallapop.com/app/chat?itemId=e65gd9xo5kjo"
"iphone SE 32gb","https://es.wallapop.com/item/iphone-se-32gb-871227712","https://es.wallapop.com/app/chat?itemId=9jd21eol796k"
"Sillas de comedor","https://es.wallapop.com/item/sillas-de-comedor-871227709","https://es.wallapop.com/app/chat?itemId=xzorw7yn8wz9"
"Ford Focus 2005","https://es.wallapop.com/item/ford-focus-2005-871227666","https://es.wallapop.com/app/chat?itemId=x6qd1x50lejy"
"Jobe Lunar Funtube 3P","https://es.wallapop.com/item/jobe-lunar-funtube-3p-871228349","https://es.wallapop.com/app/chat?itemId=mzn870ry22zn"
"canape","https://es.wallapop.com/item/canape-871228316","https://es.wallapop.com/app/chat?itemId=v6g23ed91lze"
"Piano digital yamaha PSR E353","https://es.wallapop.com/item/piano-digital-yamaha-psr-e353-871228289","https://es.wallapop.com/app/chat?itemId=wzvndqw1y7jl"
"reloj digital","https://es.wallapop.com/item/reloj-digital-871228279","https://es.wallapop.com/app/chat?itemId=p61ymqpno565"
"APPLE PENCIL 1 GENERACIÓN ","https://es.wallapop.com/item/apple-pencil-1-generacion-871228254","https://es.wallapop.com/app/chat?itemId=nzx0gq1olez2"
"CEPILLO DE VOLUMEN GHD RISE VOLUMISING HOT BRUSH ","https://es.wallapop.com/item/cepillo-de-volumen-ghd-rise-volumising-hot-brush-871228184","https://es.wallapop.com/app/chat?itemId=9jd21eolon6k"
"Mueble bañera cambiador cunitas","https://es.wallapop.com/item/mueble-banera-cambiador-cunitas-871228147","https://es.wallapop.com/app/chat?itemId=ejkkn5gllyjx"
"Consola Steam Deck de 512gb","https://es.wallapop.com/item/consola-steam-deck-de-512gb-871226096","https://es.wallapop.com/app/chat?itemId=e65gd9x17pjo"
"BMW X1 2012","https://es.wallapop.com/item/bmw-x1-2012-871229041","https://es.wallapop.com/app/chat?itemId=wzvndqwwkrjl"
"Smart Watch Amazfit GTS 4 Mini ","https://es.wallapop.com/item/smart-watch-amazfit-gts-4-mini-871229018","https://es.wallapop.com/app/chat?itemId=x6qd1x55xyjy"
"iPhone 11 Pro ","https://es.wallapop.com/item/iphone-11-pro-871229005","https://es.wallapop.com/app/chat?itemId=qjwpgqxx7gzo"
"LAVADORA BEKO","https://es.wallapop.com/item/lavadora-beko-871228924","https://es.wallapop.com/app/chat?itemId=e65gd9xx8gjo"
"ps5 digital +God of war","https://es.wallapop.com/item/ps5-digital--god-of-war-871228909","https://es.wallapop.com/app/chat?itemId=xzorw7yyrwz9"
"Máquina escuadradora","https://es.wallapop.com/item/maquina-escuadradora-871228535","https://es.wallapop.com/app/chat?itemId=0j23oq0pkm6y"
