"Название товара","Ссылка на продавца","Ссылка на чат"
"Gorra AMIRI","https://es.wallapop.com/item/gorra-amiri-869381822","https://es.wallapop.com/app/chat?itemId=8z84p425rl63"
"iPhone 7 ","https://es.wallapop.com/item/iphone-7-869382006","https://es.wallapop.com/app/chat?itemId=nzx0g0qr7ez2"
"Chaqueta levis","https://es.wallapop.com/item/chaqueta-levis-869381987","https://es.wallapop.com/app/chat?itemId=36exmxe87vzd"
"TELEVISOR SMART.TV LG DE 50"" CON WIFI TE LO LLEVO","https://es.wallapop.com/item/televisor-smart-tv-lg-de-50-con-wifi-te-lo-llevo-869381468","https://es.wallapop.com/app/chat?itemId=wzy5g5qrk2j5"
"Deck The Seven Worlds of the Sea Super Pre-Relese","https://es.wallapop.com/item/deck-the-seven-worlds-of-the-sea-super-pre-relese-869381461","https://es.wallapop.com/app/chat?itemId=pj9505v4w0ze"
"Minicuna de colecho marca chicco ","https://es.wallapop.com/item/minicuna-de-colecho-marca-chicco-869381456","https://es.wallapop.com/app/chat?itemId=qzmy0ypm5ozv"
"Una corte de niebla y furia ","https://es.wallapop.com/item/una-corte-de-niebla-y-furia-869381243","https://es.wallapop.com/app/chat?itemId=vjrrmr1epxjk"
"Bmx ","https://es.wallapop.com/item/bmx-869381211","https://es.wallapop.com/app/chat?itemId=0j23o3q8qr6y"
"Saco de dormir ","https://es.wallapop.com/item/saco-de-dormir-869381606","https://es.wallapop.com/app/chat?itemId=nzx0g0qrlpz2"
"NEYMAR Y MBAPPE LEGENDS","https://es.wallapop.com/item/neymar-y-mbappe-legends-869381611","https://es.wallapop.com/app/chat?itemId=0j23o3qnwv6y"
"Zapatos Converse Chuck Taylor Crafted Boot Hi","https://es.wallapop.com/item/zapatos-converse-chuck-taylor-crafted-boot-hi-869381857","https://es.wallapop.com/app/chat?itemId=xzorwr7xolz9"
"umidigi a7pro","https://es.wallapop.com/item/umidigi-a7pro-869381842","https://es.wallapop.com/app/chat?itemId=x6qd1dxvwnjy"
"Se Vende Cygnus 125 X","https://es.wallapop.com/item/se-vende-cygnus-125-x-869381893","https://es.wallapop.com/app/chat?itemId=3zl1p1n0ppjx"
"Abrigo sra.","https://es.wallapop.com/item/abrigo-sra-869381886","https://es.wallapop.com/app/chat?itemId=4z4121q028zy"
"Matemáticas Aplicadas Ciencias sociales Anaya1Bach","https://es.wallapop.com/item/matematicas-aplicadas-ciencias-sociales-anaya1bach-869381879","https://es.wallapop.com/app/chat?itemId=p61ymyq51x65"
"botas niño/a marrones talla 28","https://es.wallapop.com/item/botas-nino-a-marrones-talla-28-869381692","https://es.wallapop.com/app/chat?itemId=wzy5g5qy45j5"
"neumático patin xiaomi","https://es.wallapop.com/item/neumatico-patin-xiaomi-869381653","https://es.wallapop.com/app/chat?itemId=qjwpgpq2dgzo"
"Se vende banco antiguo","https://es.wallapop.com/item/se-vende-banco-869380975","https://es.wallapop.com/app/chat?itemId=nz0010y47rzo"
"iPhone XR","https://es.wallapop.com/item/iphone-xr-869380961","https://es.wallapop.com/app/chat?itemId=pj9505vm32ze"
"gafas dolce gabana ","https://es.wallapop.com/item/gafas-dolce-gabana-869381038","https://es.wallapop.com/app/chat?itemId=4z4121q8ywzy"
"El tractat d'almisra","https://es.wallapop.com/item/el-tractat-d-almisra-869381320","https://es.wallapop.com/app/chat?itemId=wzy5g5qrgpj5"
"se vende cadenas coche","https://es.wallapop.com/item/se-vende-cadenas-coche-869381291","https://es.wallapop.com/app/chat?itemId=vjrrmr1evxjk"
"Chaquetón ","https://es.wallapop.com/item/chaqueton-869381602","https://es.wallapop.com/app/chat?itemId=pzprxrwdy563"
"Mueble de Salón para Tv","https://es.wallapop.com/item/mueble-de-salon-para-tv-869381573","https://es.wallapop.com/app/chat?itemId=mzn8780w42zn"
"Bombillas led 6000K H7.","https://es.wallapop.com/item/bombillas-led-6000k-h7-869381738","https://es.wallapop.com/app/chat?itemId=4z4121q00vzy"
"Zapatos de futbol Puma Future naranjas talla 44","https://es.wallapop.com/item/zapatos-de-futbol-puma-future-naranjas-talla-44-869381712","https://es.wallapop.com/app/chat?itemId=9jd212e8wd6k"
"anorak FC Barcelona xxl","https://es.wallapop.com/item/anorak-fc-barcelona-xxl-869381706","https://es.wallapop.com/app/chat?itemId=nzx0g0qr47z2"
"Baúl ","https://es.wallapop.com/item/baul-869381549","https://es.wallapop.com/app/chat?itemId=mzn8780392zn"
"La tejedora de la muerte ","https://es.wallapop.com/item/la-tejedora-de-la-muerte-869381543","https://es.wallapop.com/app/chat?itemId=vjrrmr1enljk"
"Conjunto de cómoda, mesita de noche y zapatero.","https://es.wallapop.com/item/conjunto-de-comoda-mesita-de-noche-y-zapatero-869381535","https://es.wallapop.com/app/chat?itemId=0j23o3q80d6y"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-869381514","https://es.wallapop.com/app/chat?itemId=4z4121q87mzy"
"bota de nieve ","https://es.wallapop.com/item/bota-de-nieve-869381178","https://es.wallapop.com/app/chat?itemId=nzx0g0qer7z2"
"Camiseta Jordan 15 aniversario","https://es.wallapop.com/item/camiseta-jordan-15-aniversario-869381146","https://es.wallapop.com/app/chat?itemId=8z84p4288r63"
"Ventilador/Climatizador con hielo ","https://es.wallapop.com/item/ventilador-climatizador-con-hielo-869381410","https://es.wallapop.com/app/chat?itemId=8j3eker8w2z9"
"Armarios con estanteria","https://es.wallapop.com/item/armarios-con-estanteria-869381395","https://es.wallapop.com/app/chat?itemId=ejkknk5m7yjx"
"Fagor Nevera Nofrost A+. Garantía. Envío","https://es.wallapop.com/item/fagor-nevera-nofrost-a--garantia-envio-869381390","https://es.wallapop.com/app/chat?itemId=x6qd1dxq3ojy"
"La Mansión Embrujada","https://es.wallapop.com/item/la-mansion-embrujada-869381392","https://es.wallapop.com/app/chat?itemId=wzy5g5qrppj5"
"mueble bar","https://es.wallapop.com/item/mueble-bar-869381382","https://es.wallapop.com/app/chat?itemId=8j3eker8d8z9"
"Zapatillas semi nuevas ","https://es.wallapop.com/item/zapatillas-semi-nuevas-869381117","https://es.wallapop.com/app/chat?itemId=wzvndnqg44jl"
"MTB - Bicicleta - Rockrider","https://es.wallapop.com/item/mtb-bicicleta-rocketrider-869381118","https://es.wallapop.com/app/chat?itemId=x6qd1dxqmqjy"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-869381107","https://es.wallapop.com/app/chat?itemId=p61ymyq8yg65"
"carretes hidráulicos ","https://es.wallapop.com/item/carretes-hidraulicos-869381094","https://es.wallapop.com/app/chat?itemId=8z84p4284863"
"Se vende 2 sillas de cocina","https://es.wallapop.com/item/se-vende-2-sillas-de-cocina-869381089","https://es.wallapop.com/app/chat?itemId=wzvndnqgnrjl"
"Lote de ropa de bebé","https://es.wallapop.com/item/lote-de-ropa-de-bebe-869381082","https://es.wallapop.com/app/chat?itemId=8j3eker8x1z9"
"NIKE AIR JORDAN ZOOM 92","https://es.wallapop.com/item/nike-air-jordan-zoom-92-869381083","https://es.wallapop.com/app/chat?itemId=0j23o3q8rv6y"
"Guantes moto mujer BERING","https://es.wallapop.com/item/guantes-moto-mujer-bering-869381072","https://es.wallapop.com/app/chat?itemId=e65gdg9q3pjo"
"no le utilice ","https://es.wallapop.com/item/no-le-utilice-869381060","https://es.wallapop.com/app/chat?itemId=9jd212ew7l6k"
"Habitación","https://es.wallapop.com/item/habitacion-869381745","https://es.wallapop.com/app/chat?itemId=3zl1p1n00njx"
"iphone 7 ","https://es.wallapop.com/item/iphone-7-869381743","https://es.wallapop.com/app/chat?itemId=vjrrmr1444jk"
