"Название товара","Ссылка на продавца","Ссылка на чат"
"Traspaso en el Mercado Municipal de Vinaròs","https://es.wallapop.com/item/traspaso-en-el-mercado-municipal-de-vinaros-872697696","https://es.wallapop.com/app/chat?itemId=e65gdl9ggmjo"
"Mochila koala bebe","https://es.wallapop.com/item/mochila-koala-bebe-872698489","https://es.wallapop.com/app/chat?itemId=wzvnd5q4drjl"
"Vaqueros Tintoretto bordados","https://es.wallapop.com/item/vaqueros-tintoretto-bordados-872698482","https://es.wallapop.com/app/chat?itemId=8j3eklr4o1z9"
"Elíptica","https://es.wallapop.com/item/eliptica-872698478","https://es.wallapop.com/app/chat?itemId=nzx0gpq4vpz2"
"lo vendo ","https://es.wallapop.com/item/lo-vendo-872698583","https://es.wallapop.com/app/chat?itemId=0j23olq42m6y"
"audi 100 200 escape silenciador","https://es.wallapop.com/item/audi-100-200-escape-silenciador-872698573","https://es.wallapop.com/app/chat?itemId=mzn87x0217zn"
"Vestido zara","https://es.wallapop.com/item/vestido-zara-872698569","https://es.wallapop.com/app/chat?itemId=3zl1p7n8wnjx"
"lavavasos barra","https://es.wallapop.com/item/lavavasos-barra-872697756","https://es.wallapop.com/app/chat?itemId=qzmy0wpym1zv"
"Culata xmax 125","https://es.wallapop.com/item/culata-xmax-125-872698541","https://es.wallapop.com/app/chat?itemId=wzvnd5q484jl"
"Maleta ","https://es.wallapop.com/item/maleta-872697046","https://es.wallapop.com/app/chat?itemId=8z84pl2gvo63"
"decoración Boda","https://es.wallapop.com/item/decoracion-boda-872698075","https://es.wallapop.com/app/chat?itemId=nz001ly0eezo"
"Chaqueta NASA Pull & Bear","https://es.wallapop.com/item/chaqueta-nasa-pull-bear-872698724","https://es.wallapop.com/app/chat?itemId=e65gdl98x0jo"
"se vende sofá ","https://es.wallapop.com/item/se-vende-sofa-872698692","https://es.wallapop.com/app/chat?itemId=wzy5g0q43vj5"
"camiseta lakers","https://es.wallapop.com/item/camiseta-lakers-872698274","https://es.wallapop.com/app/chat?itemId=pzprxmw2r963"
"decathlon 3.1 ","https://es.wallapop.com/item/decathlon-3-1-872698263","https://es.wallapop.com/app/chat?itemId=36exmre1nkzd"
"Polo vintage","https://es.wallapop.com/item/polo-vintage-872698266","https://es.wallapop.com/app/chat?itemId=x6qd1oxm9ejy"
"MESA Y SIILLAS PARA CLÍNICA O SIMILAR","https://es.wallapop.com/item/mesa-y-siillas-para-clinica-o-similar-872698257","https://es.wallapop.com/app/chat?itemId=xzorw172v7z9"
"Marcapáginas de resina personalizable","https://es.wallapop.com/item/marcapaginas-de-resina-personalizable-872696950","https://es.wallapop.com/app/chat?itemId=pzprxmw9pl63"
"excalectric Le Mans","https://es.wallapop.com/item/excalectric-le-mans-872696919","https://es.wallapop.com/app/chat?itemId=vjrrm31dw8jk"
"huawei mate 20 lite ","https://es.wallapop.com/item/huawei-mate-20-lite-872696916","https://es.wallapop.com/app/chat?itemId=v6g23re4ynze"
"cascos inalámbricos con luz LED Bluetooth","https://es.wallapop.com/item/cascos-inalambricos-con-luz-led-bluetooth-872698183","https://es.wallapop.com/app/chat?itemId=0j23olq49n6y"
"Discos CD´s","https://es.wallapop.com/item/discos-cds-872698164","https://es.wallapop.com/app/chat?itemId=v6g23re28nze"
"Chrysler Voyager 1998","https://es.wallapop.com/item/chrysler-voyager-1998-872697213","https://es.wallapop.com/app/chat?itemId=pj950lvgnoze"
"peeling ultrasonico","https://es.wallapop.com/item/peeling-ultrasonico-872697215","https://es.wallapop.com/app/chat?itemId=36exmren8qzd"
"Ofrezco servicios de transporte","https://es.wallapop.com/item/ofrezco-servicios-de-transporte-872697204","https://es.wallapop.com/app/chat?itemId=w67ynlkgx96x"
"cama Ikea ","https://es.wallapop.com/item/cama-ikea-872697206","https://es.wallapop.com/app/chat?itemId=nzx0gpqyrpz2"
"Pendientes de apodemia margaritas","https://es.wallapop.com/item/pendientes-de-apodemia-margaritas-872697341","https://es.wallapop.com/app/chat?itemId=wzvnd5qld4jl"
"internacional Superstar soccer 98","https://es.wallapop.com/item/internacional-superstar-soccer-98-872697336","https://es.wallapop.com/app/chat?itemId=9jd21re51d6k"
"sillas para  coche ","https://es.wallapop.com/item/sillas-para-coche-872696906","https://es.wallapop.com/app/chat?itemId=nzx0gpq525z2"
"ruedas de carretera","https://es.wallapop.com/item/ruedas-de-carretera-872696898","https://es.wallapop.com/app/chat?itemId=pzprxmw94463"
"Patines de Linea","https://es.wallapop.com/item/patines-de-linea-872696870","https://es.wallapop.com/app/chat?itemId=8z84pl213l63"
"Mochila EMEi baby","https://es.wallapop.com/item/mochila-emei-baby-872697850","https://es.wallapop.com/app/chat?itemId=pzprxmwr5563"
"MMR Rakish ","https://es.wallapop.com/item/mmr-rakish-872697821","https://es.wallapop.com/app/chat?itemId=3zl1p7n1n8jx"
"Remo","https://es.wallapop.com/item/remo-872697822","https://es.wallapop.com/app/chat?itemId=8z84pl242863"
"bañera con patas ( olmitos) ","https://es.wallapop.com/item/banera-con-patas-olmitos-872698680","https://es.wallapop.com/app/chat?itemId=qzmy0wpergzv"
"Taladro AEG SB2 550 ","https://es.wallapop.com/item/taladro-aeg-sb2-550-872698664","https://es.wallapop.com/app/chat?itemId=v6g23regl7ze"
