"Название товара","Ссылка на продавца","Ссылка на чат"
"Carro Gemelar ","https://es.wallapop.com/item/carro-gemelar-869244200","https://es.wallapop.com/app/chat?itemId=e65gd34p2pjo"
"Extractor leche Bellababy","https://es.wallapop.com/item/extractor-leche-bellababy-869242649","https://es.wallapop.com/app/chat?itemId=mzn87v92nkzn"
"Bañera,cambiador","https://es.wallapop.com/item/banera-cambiador-869235887","https://es.wallapop.com/app/chat?itemId=36exmn30dqzd"
"Mecedora balancín","https://es.wallapop.com/item/mecedora-balancin-869238249","https://es.wallapop.com/app/chat?itemId=mzn87vrr80zn"
"4 in 1 chicho","https://es.wallapop.com/item/4-in-1-chicho-869237292","https://es.wallapop.com/app/chat?itemId=wzy5g7m2vvj5"
"carrito gemelar de mumecas","https://es.wallapop.com/item/carrito-gemelar-de-mumecas-869237199","https://es.wallapop.com/app/chat?itemId=nz001vnqw3zo"
"Capazo UPPAbaby Cruz y Vista","https://es.wallapop.com/item/capazo-uppababy-cruz-y-vista-869237187","https://es.wallapop.com/app/chat?itemId=36exmn3lpnzd"
"cuna colecho","https://es.wallapop.com/item/cuna-colecho-869237031","https://es.wallapop.com/app/chat?itemId=p61ym7prv265"
"Capazo gemelar Babymonster con capota incluida ","https://es.wallapop.com/item/capazo-gemelar-babymonster-con-capota-incluida-869232871","https://es.wallapop.com/app/chat?itemId=ejkkn9gwlpjx"
"Sillitas coche Britax Romer","https://es.wallapop.com/item/sillitas-coche-britax-romer-869232333","https://es.wallapop.com/app/chat?itemId=xzorwvy055z9"
"Triciclo evolutivo","https://es.wallapop.com/item/triciclo-evolutivo-869232006","https://es.wallapop.com/app/chat?itemId=nzx0gy19wez2"
"Silla paseo 3en1","https://es.wallapop.com/item/silla-paseo-3en1-869231868","https://es.wallapop.com/app/chat?itemId=wzy5g7m9nvj5"
"cuna de viaje","https://es.wallapop.com/item/cuna-de-viaje-869240472","https://es.wallapop.com/app/chat?itemId=e65gd34yvmjo"
"Parque y columpio","https://es.wallapop.com/item/parque-y-columpio-869240414","https://es.wallapop.com/app/chat?itemId=4z412gdywlzy"
