"Название товара","Ссылка на продавца","Ссылка на чат"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871019454","https://es.wallapop.com/app/chat?itemId=nzx0gqr7gez2"
"Bandeja trasera extraible para audi Q7","https://es.wallapop.com/item/bandeja-trasera-extraible-para-audi-q7-871019447","https://es.wallapop.com/app/chat?itemId=ejkkn5pow1jx"
"SFX POWER SUPPLY","https://es.wallapop.com/item/sfx-power-supply-871019940","https://es.wallapop.com/app/chat?itemId=v6g23eoyenze"
"C.P.COMPANY HAT","https://es.wallapop.com/item/c-p-company-hat-871019936","https://es.wallapop.com/app/chat?itemId=9jd21e8yen6k"
"Xbox one sin uso y dos mandos ","https://es.wallapop.com/item/xbox-one-sin-uso-y-dos-mandos-871019080","https://es.wallapop.com/app/chat?itemId=qzmy0p7drxzv"
"Tumbonas jardin","https://es.wallapop.com/item/tumbonas-jardin-871019056","https://es.wallapop.com/app/chat?itemId=qzmy0p7dlxzv"
"THE CREW 2 y GRAN TURISMO SPORT para PS4 en disco","https://es.wallapop.com/item/the-crew-2-y-gran-turismo-sport-para-ps4-en-disco-871021285","https://es.wallapop.com/app/chat?itemId=pj950vno20ze"
"Silla de escritorio","https://es.wallapop.com/item/silla-de-escritorio-871021259","https://es.wallapop.com/app/chat?itemId=0j23oqnp2e6y"
"canape","https://es.wallapop.com/item/canape-871020020","https://es.wallapop.com/app/chat?itemId=wzy5gqykv2j5"
"chaqueta ","https://es.wallapop.com/item/chaqueta-871020022","https://es.wallapop.com/app/chat?itemId=8z84p2579o63"
"Tripod for IPhone ","https://es.wallapop.com/item/tripod-for-iphone-871020805","https://es.wallapop.com/app/chat?itemId=qjwpgq2okgzo"
"Diván Modelo Fyresdal","https://es.wallapop.com/item/divan-modelo-fyresdal-871020800","https://es.wallapop.com/app/chat?itemId=e65gd970wpjo"
"Carpintería a medida. Cocinas, armarios, puertas.","https://es.wallapop.com/item/carpinteria-a-medida-cocinas-armarios-puertas-871020795","https://es.wallapop.com/app/chat?itemId=ejkkn5plv9jx"
"Iphone 11 64GB","https://es.wallapop.com/item/iphone-11-64gb-871020745","https://es.wallapop.com/app/chat?itemId=3zl1pn0ly4jx"
"hydra 64 hd y hydra 32 hd","https://es.wallapop.com/item/hydra-64-hd-y-hydra-32-hd-871020729","https://es.wallapop.com/app/chat?itemId=qjwpgq2o0qzo"
"pista de carreras ","https://es.wallapop.com/item/pista-de-carreras-871019224","https://es.wallapop.com/app/chat?itemId=e65gd97o3kjo"
"somier ","https://es.wallapop.com/item/somier-871020975","https://es.wallapop.com/app/chat?itemId=nz001yr503zo"
"silla de despacho ","https://es.wallapop.com/item/silla-de-despacho-871019841","https://es.wallapop.com/app/chat?itemId=wzvndq2o4qjl"
"Nami ver. Blue limited edition sin abrir ","https://es.wallapop.com/item/nami-ver-blue-limited-edition-sin-abrir-871019815","https://es.wallapop.com/app/chat?itemId=36exme8yx8zd"
"Sudadera Calvin klein gris","https://es.wallapop.com/item/sudadera-calvin-klein-gris-871019817","https://es.wallapop.com/app/chat?itemId=wzvndq2onqjl"
"Camisa flores","https://es.wallapop.com/item/camisa-flores-871021146","https://es.wallapop.com/app/chat?itemId=8z84p25med63"
"Ford Mondeo 1998","https://es.wallapop.com/item/ford-mondeo-1998-871021482","https://es.wallapop.com/app/chat?itemId=8j3ekrp7m1z9"
"Máquina de escribir Olivetti lettera 25","https://es.wallapop.com/item/maquina-de-escribir-olivetti-lettera-25-871021474","https://es.wallapop.com/app/chat?itemId=pzprxwdly563"
"Jersey azul mayoral ","https://es.wallapop.com/item/jersey-azul-mayoral-871021447","https://es.wallapop.com/app/chat?itemId=ejkkn5pg2pjx"
