"Название товара","Ссылка на продавца","Ссылка на чат"
"SEAGATE Expansion Desktop 6TB, Disco duro externo","https://es.wallapop.com/item/seagate-expansion-desktop-6tb-disco-duro-externo-871555150","https://es.wallapop.com/app/chat?itemId=pzprx5l3xl63"
"Moneda pesetas","https://es.wallapop.com/item/moneda-pesetas-871557878","https://es.wallapop.com/app/chat?itemId=nzx0gm1xrpz2"
"Smart TV LG 4k 55 pulgadas","https://es.wallapop.com/item/smart-tv-lg-4k-55-pulgadas-871562740","https://es.wallapop.com/app/chat?itemId=v6g23k80w2ze"
"vendo móvil OPPO Reno8 lite ","https://es.wallapop.com/item/vendo-movil-oppo-reno8-lite-871561955","https://es.wallapop.com/app/chat?itemId=p61ymex9qd65"
"Mesa de despacho con y mueble madera roble .","https://es.wallapop.com/item/mesa-de-despacho-con-y-mueble-madera-roble-871561328","https://es.wallapop.com/app/chat?itemId=w67ynrmqx76x"
"Vendo cama niño ","https://es.wallapop.com/item/vendo-cama-nino-871561675","https://es.wallapop.com/app/chat?itemId=nz0012n75ezo"
"Hoverboard ","https://es.wallapop.com/item/hoverboard-871561636","https://es.wallapop.com/app/chat?itemId=9jd21mogl26k"
"piano portátil Yamaha ","https://es.wallapop.com/item/piano-portatil-yamaha-871557311","https://es.wallapop.com/app/chat?itemId=0j23og02nm6y"
"vendo colchón con base","https://es.wallapop.com/item/vendo-colchon-con-base-871556060","https://es.wallapop.com/app/chat?itemId=9jd21mor5l6k"
"Solitario Suarez","https://es.wallapop.com/item/solitario-suarez-871560112","https://es.wallapop.com/app/chat?itemId=9jd21mo3296k"
"iphone 13 pro max","https://es.wallapop.com/item/iphone-13-pro-max-871562849","https://es.wallapop.com/app/chat?itemId=mzn87e9grkzn"
"Acer Swift X","https://es.wallapop.com/item/acer-swift-x-871556318","https://es.wallapop.com/app/chat?itemId=x6qd1n5ooojy"
"HYUNDAI SANTA FE SET 4 WHEELS","https://es.wallapop.com/item/hyundai-santa-fe-set-4-wheels-871556277","https://es.wallapop.com/app/chat?itemId=qjwpg1xnvkzo"
"máquina de cortar molduras en inglete","https://es.wallapop.com/item/maquina-de-cortar-molduras-en-inglete-871556131","https://es.wallapop.com/app/chat?itemId=p61ymepl8g65"
