"Название товара","Ссылка на продавца","Ссылка на чат"
"Samsung NEO QLED 55"" QN93B 2022","https://es.wallapop.com/item/samsung-neo-qled-55-qn93b-872096879","https://es.wallapop.com/app/chat?itemId=p61ym1m0vx65"
"Estufa de pellet","https://es.wallapop.com/item/estufa-de-pellet-872108552","https://es.wallapop.com/app/chat?itemId=w67yn9ln776x"
"Botella de aire (Scuba)","https://es.wallapop.com/item/botella-de-aire-scuba-872108544","https://es.wallapop.com/app/chat?itemId=wzy5gv0gxej5"
"Reloj Guess","https://es.wallapop.com/item/reloj-guess-872098097","https://es.wallapop.com/app/chat?itemId=mzn87m7n8kzn"
"Caja fuerte Cobra grado IV","https://es.wallapop.com/item/caja-fuerte-cobra-grado-iv-872098069","https://es.wallapop.com/app/chat?itemId=3zl1pxpy9pjx"
"Mesa Bo concept","https://es.wallapop.com/item/mesa-bo-concept-872097996","https://es.wallapop.com/app/chat?itemId=e65gd2dnm2jo"
"Carro bebé Nuna Mixx y saco","https://es.wallapop.com/item/carro-bebe-nuna-mixx-y-saco-872095399","https://es.wallapop.com/app/chat?itemId=nz001x1lxrzo"
"Carretilla Expresso","https://es.wallapop.com/item/carretilla-expresso-872095307","https://es.wallapop.com/app/chat?itemId=p61ym1mlkd65"
"Monitor HP Omen 165hz","https://es.wallapop.com/item/monitor-hp-omen-165hz-872101254","https://es.wallapop.com/app/chat?itemId=nzx0gvpdnez2"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872099654","https://es.wallapop.com/app/chat?itemId=nzx0gvgoopz2"
"Frigorífico Samsung combi 2 metros.","https://es.wallapop.com/item/frigorifico-samsung-combi-2-metros-872099641","https://es.wallapop.com/app/chat?itemId=wzvndvd11rjl"
"vendo patinete electrico xiaomi con accesorios","https://es.wallapop.com/item/vendo-patinete-electrico-xiaomi-con-accesorios-872099629","https://es.wallapop.com/app/chat?itemId=qjwpgvgkogzo"
"Moneda","https://es.wallapop.com/item/moneda-872099514","https://es.wallapop.com/app/chat?itemId=4z4123274mzy"
"muebles de cocina ","https://es.wallapop.com/item/muebles-de-cocina-872107505","https://es.wallapop.com/app/chat?itemId=qjwpgvn9vwzo"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872107455","https://es.wallapop.com/app/chat?itemId=p61ym1lde265"
"sofá con chest long","https://es.wallapop.com/item/sofa-con-chest-long-872107461","https://es.wallapop.com/app/chat?itemId=pj950qleroze"
"cultivador","https://es.wallapop.com/item/cultivador-872103958","https://es.wallapop.com/app/chat?itemId=8j3ekol457z9"
"pareja de altavoces 12 pulgadas. marca Das. ","https://es.wallapop.com/item/pareja-de-altavoces-12-pulgadas-marca-das-872105325","https://es.wallapop.com/app/chat?itemId=mzn87mxwkyzn"
"cuna bebé y colchón ","https://es.wallapop.com/item/cuna-bebe-y-colchon-872104923","https://es.wallapop.com/app/chat?itemId=ejkknw0px9jx"
"Colección Mortadelo y Filemón ","https://es.wallapop.com/item/coleccion-mortadelo-y-filemon-872102353","https://es.wallapop.com/app/chat?itemId=qjwpgvnynezo"
"Moneda 2€ valiosa ","https://es.wallapop.com/item/moneda-2-valiosa-872102322","https://es.wallapop.com/app/chat?itemId=8z84p9l19d63"
