"Название товара","Ссылка на продавца","Ссылка на чат"
"Reloj de piedra","https://es.wallapop.com/item/reloj-de-piedra-868391463","https://es.wallapop.com/app/chat?itemId=36exmde4dkzd"
"Colección 800 sellos ","https://es.wallapop.com/item/coleccion-800-sellos-868391594","https://es.wallapop.com/app/chat?itemId=8z84pq2n5163"
"Vendo Papelería-Librería","https://es.wallapop.com/item/vendo-papeleria-libreria-868391284","https://es.wallapop.com/app/chat?itemId=9jd21xeqp26k"
"Pack iniciales Kanto Pokemon Escudo/Espada","https://es.wallapop.com/item/pack-iniciales-kanto-pokemon-escudo-espada-868391963","https://es.wallapop.com/app/chat?itemId=36exmde43vzd"
"Funda para iPhone 11/12/13/Pro/Max","https://es.wallapop.com/item/funda-para-iphone-11-12-13-pro-max-868391876","https://es.wallapop.com/app/chat?itemId=w67yn3k52w6x"
"Cartera Pitón Sendra ","https://es.wallapop.com/item/cartera-piton-sendra-868391779","https://es.wallapop.com/app/chat?itemId=p61ymvq3lg65"
"chaquetón Negro ","https://es.wallapop.com/item/chaqueton-negro-868391414","https://es.wallapop.com/app/chat?itemId=4z412yq4dlzy"
"Cama, armario y estantería","https://es.wallapop.com/item/cama-armario-y-estanteria-868391047","https://es.wallapop.com/app/chat?itemId=ejkknx5qepjx"
"litera","https://es.wallapop.com/item/litera-868391277","https://es.wallapop.com/app/chat?itemId=qjwpgeq8wkzo"
"Fular elástico de porteo","https://es.wallapop.com/item/fular-elastico-de-porteo-868391625","https://es.wallapop.com/app/chat?itemId=mzn87g01o0zn"
"Abrigo de paño Studio Clasic de El Corte Inglés ","https://es.wallapop.com/item/abrigo-de-pano-studio-clasic-de-el-corte-ingles-868391582","https://es.wallapop.com/app/chat?itemId=8j3ekmrd8lz9"
"Terreno en alquiler","https://es.wallapop.com/item/terreno-en-alquiler-868391042","https://es.wallapop.com/app/chat?itemId=x6qd1kx84yjy"
"Camiseta Grizzlies Ja Morant","https://es.wallapop.com/item/camiseta-grizzlies-ja-morant-868391451","https://es.wallapop.com/app/chat?itemId=nz001gyogvzo"
"Camisa Geométricos","https://es.wallapop.com/item/camisa-geometricos-868391957","https://es.wallapop.com/app/chat?itemId=xzorwl7my2z9"
"niño malo","https://es.wallapop.com/item/nino-malo-868391225","https://es.wallapop.com/app/chat?itemId=mzn87g0qqkzn"
"EQUILIBRADOR DE RUEDAS","https://es.wallapop.com/item/equilibrador-de-ruedas-868391763","https://es.wallapop.com/app/chat?itemId=36exmde4rnzd"
"Se vende ordenador portátil en perfecto estado","https://es.wallapop.com/item/se-vende-ordenador-portatil-en-perfecto-estado-868391905","https://es.wallapop.com/app/chat?itemId=qjwpgeq5oezo"
"Base Tapizada Emma","https://es.wallapop.com/item/base-tapizada-emma-868391713","https://es.wallapop.com/app/chat?itemId=pj950kvpqkze"
"urge vender","https://es.wallapop.com/item/urge-vender-868391448","https://es.wallapop.com/app/chat?itemId=e65gdv9kvmjo"
"Reloj The One","https://es.wallapop.com/item/reloj-the-one-868391409","https://es.wallapop.com/app/chat?itemId=xzorwl7qe7z9"
"Silla Perro","https://es.wallapop.com/item/silla-perro-868391811","https://es.wallapop.com/app/chat?itemId=0j23owq22r6y"
