"Название товара","Ссылка на продавца","Ссылка на чат"
"Grohe Rainshower smartcontrol","https://es.wallapop.com/item/grohe-rainshower-smartcontrol-870647594","https://es.wallapop.com/app/chat?itemId=8z84pw4xy163"
"Limpieza","https://es.wallapop.com/item/limpieza-870648389","https://es.wallapop.com/app/chat?itemId=wzvnd0nw04jl"
"Proyector LG PH30N","https://es.wallapop.com/item/proyector-lg-ph30n-870648242","https://es.wallapop.com/app/chat?itemId=x6qd14d5yyjy"
"Saco universal Maclaren","https://es.wallapop.com/item/saco-universal-maclaren-870648070","https://es.wallapop.com/app/chat?itemId=8z84pw4mdo63"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-870648589","https://es.wallapop.com/app/chat?itemId=wzvnd0nwedjl"
"Iveco Daily 2004","https://es.wallapop.com/item/iveco-daily-2004-870648224","https://es.wallapop.com/app/chat?itemId=e65gdpgxvpjo"
"Faro led ","https://es.wallapop.com/item/faro-led-870648221","https://es.wallapop.com/app/chat?itemId=3zl1pk1v48jx"
"pluma estilográfica ' montblanc '","https://es.wallapop.com/item/pluma-estilografica-montblanc-870648188","https://es.wallapop.com/app/chat?itemId=v6g237298lze"
"Patinete para carros niños","https://es.wallapop.com/item/patinete-para-carros-ninos-870647949","https://es.wallapop.com/app/chat?itemId=mzn87o8y7yzn"
"vendo","https://es.wallapop.com/item/vendo-870647943","https://es.wallapop.com/app/chat?itemId=vjrrmor0m8jk"
"Toldos verticales ","https://es.wallapop.com/item/toldos-verticales-870647939","https://es.wallapop.com/app/chat?itemId=36exmpx2mvzd"
"Vendo mineros ASIC nuevos y económicos","https://es.wallapop.com/item/vendo-mineros-asic-nuevos-y-economicos-870647851","https://es.wallapop.com/app/chat?itemId=nz001w05yezo"
"Casco en buena condiciónes","https://es.wallapop.com/item/casco-en-buena-condiciones-870648346","https://es.wallapop.com/app/chat?itemId=8z84pw4o8r63"
"bañera de hidromasaje roca","https://es.wallapop.com/item/banera-de-hidromasaje-roca-870647765","https://es.wallapop.com/app/chat?itemId=wzvnd0n1g4jl"
"Piso en zona Reyes","https://es.wallapop.com/item/piso-en-zona-reyes-870647735","https://es.wallapop.com/app/chat?itemId=0j23o13p3m6y"
"colchón viscoelástico cuna bebé ","https://es.wallapop.com/item/colchon-viscoelastico-cuna-bebe-870647669","https://es.wallapop.com/app/chat?itemId=3zl1pk1qg8jx"
"Neveras","https://es.wallapop.com/item/neveras-870647664","https://es.wallapop.com/app/chat?itemId=v6g237294mze"
"raqueta de pádel ( drop shot)","https://es.wallapop.com/item/raqueta-de-padel-drop-shot-870648527","https://es.wallapop.com/app/chat?itemId=nz001w0n17zo"
"Riñonera Carolina Herrera ","https://es.wallapop.com/item/rinonera-carolina-herrera-870648498","https://es.wallapop.com/app/chat?itemId=pzprxgrl3463"
"Casa en venta","https://es.wallapop.com/item/casa-en-venta-870647909","https://es.wallapop.com/app/chat?itemId=xzorw3r5o2z9"
"Sofá ","https://es.wallapop.com/item/sofa-870648133","https://es.wallapop.com/app/chat?itemId=xzorw3r55wz9"
"FIFA 23 ","https://es.wallapop.com/item/fifa-23-870648110","https://es.wallapop.com/app/chat?itemId=8j3ek5e0nlz9"
"COMPRO PALETS","https://es.wallapop.com/item/compro-palets-870648453","https://es.wallapop.com/app/chat?itemId=qjwpg7px1kzo"
