"Название товара","Ссылка на продавца","Ссылка на чат"
"Abrigo borrego sintético ","https://www.vinted.es/kobiety/ubrania/okrycia-wierzchnie/plaszcze/klasyczne-i-dlugie-plaszcze/2628990821-abrigo-borrego-sintetico","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628990821&receiver_id=72188421&ref_url=%2Fitems%2F2628990821%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D72188421%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fabrigos%252Fsobretodos-y-abrigos-largos%252F2628990821-abrigo-borrego-sintetico%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bborrego%2Bsint%25C3%25A9tico%2B&source=wantit&subject=wanted%3A+Abrigo+borrego+sint%C3%A9tico+"
"Camiseta de manga larga Hollister ","https://www.vinted.es/mujer/ropa/camisetas-y-tops/manga-larga/2628990784-camiseta-de-manga-larga-hollister","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628990784&receiver_id=129933025&ref_url=%2Fitems%2F2628990784%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129933025%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fmanga-larga%252F2628990784-camiseta-de-manga-larga-hollister%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bde%2Bmanga%2Blarga%2BHollister%2B&source=wantit&subject=wanted%3A+Camiseta+de+manga+larga+Hollister+"
"Americana imitación piel ","https://www.vinted.es/hommes/vetements/autres/2628990012-americana-imitacion-piel","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628990012&receiver_id=79608224&ref_url=%2Fitems%2F2628990012%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D79608224%26ref_url%3D%252Fhombre%252Fropa%252Fotras-prendas%252F2628990012-americana-imitacion-piel%26source%3Dwantit%26subject%3Dwanted%253A%2BAmericana%2Bimitaci%25C3%25B3n%2Bpiel%2B&source=wantit&subject=wanted%3A+Americana+imitaci%C3%B3n+piel+"
"Bicicleta eléctrica ","https://www.vinted.es/hommes/accessoires/autres/2628989859-bicicleta-electrica","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628989859&receiver_id=120977186&ref_url=%2Fitems%2F2628989859%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D120977186%26ref_url%3D%252Fhombre%252Faccesorios%252Fotros%252F2628989859-bicicleta-electrica%26source%3Dwantit%26subject%3Dwanted%253A%2BBicicleta%2Bel%25C3%25A9ctrica%2B&source=wantit&subject=wanted%3A+Bicicleta+el%C3%A9ctrica+"
"Polo Puma","https://www.vinted.es/hommes/vetements/hauts-and-tee-shirts/tee-shirts/t-shirts-unis/2628989770-polo-puma","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628989770&receiver_id=76985652&ref_url=%2Fitems%2F2628989770%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D76985652%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-lisas%252F2628989770-polo-puma%26source%3Dwantit%26subject%3Dwanted%253A%2BPolo%2BPuma&source=wantit&subject=wanted%3A+Polo+Puma"
"Jersey invierno","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/pulls-dhiver/2628988974-jersey-invierno","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628988974&receiver_id=129912376&ref_url=%2Fitems%2F2628988974%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129912376%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fde-punto%252F2628988974-jersey-invierno%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Binvierno&source=wantit&subject=wanted%3A+Jersey+invierno"
"Bolso pequeño azul marino","https://www.vinted.es/mujer/bolsos/bolsos-de-mano/2628990363-bolso-pequeno-azul-marino","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628990363&receiver_id=127044833&ref_url=%2Fitems%2F2628990363%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D127044833%26ref_url%3D%252Fmujer%252Fbolsos%252Fbolsos-de-mano%252F2628990363-bolso-pequeno-azul-marino%26source%3Dwantit%26subject%3Dwanted%253A%2BBolso%2Bpeque%25C3%25B1o%2Bazul%2Bmarino&source=wantit&subject=wanted%3A+Bolso+peque%C3%B1o+azul+marino"
"pantalón cuero de shein","https://www.vinted.es/dames/kleding/broeken-en-leggings/leren-broeken/2628989546-pantalon-cuero-de-shein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628989546&receiver_id=94222132&ref_url=%2Fitems%2F2628989546%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D94222132%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fpantalones-de-cuero%252F2628989546-pantalon-cuero-de-shein%26source%3Dwantit%26subject%3Dwanted%253A%2Bpantal%25C3%25B3n%2Bcuero%2Bde%2Bshein&source=wantit&subject=wanted%3A+pantal%C3%B3n+cuero+de+shein"
"Poncho rojo teja de microfibra","https://www.vinted.es/mujer/ropa/abrigos-y-cazadoras/capas-y-ponchos/2628991454-poncho-rojo-teja-de-microfibra","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628991454&receiver_id=129931158&ref_url=%2Fitems%2F2628991454%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129931158%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcapas-y-ponchos%252F2628991454-poncho-rojo-teja-de-microfibra%26source%3Dwantit%26subject%3Dwanted%253A%2BPoncho%2Brojo%2Bteja%2Bde%2Bmicrofibra&source=wantit&subject=wanted%3A+Poncho+rojo+teja+de+microfibra"
"Abrigo de vestir","https://www.vinted.es/hombre/ropa/abrigos-y-chaquetas/abrigos/sobretodos-y-abrigos-largos/2628992276-abrigo-de-vestir","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628992276&receiver_id=129933250&ref_url=%2Fitems%2F2628992276%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129933250%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-chaquetas%252Fabrigos%252Fsobretodos-y-abrigos-largos%252F2628992276-abrigo-de-vestir%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bde%2Bvestir&source=wantit&subject=wanted%3A+Abrigo+de+vestir"
"Pantalones de cuero","https://www.vinted.es/femmes/vetements/pantalons-and-leggings/pantalons-en-cuir/2628992073-pantalones-de-cuero","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628992073&receiver_id=129931391&ref_url=%2Fitems%2F2628992073%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129931391%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fpantalones-de-cuero%252F2628992073-pantalones-de-cuero%26source%3Dwantit%26subject%3Dwanted%253A%2BPantalones%2Bde%2Bcuero&source=wantit&subject=wanted%3A+Pantalones+de+cuero"
"Camiseta Jack and Jones","https://www.vinted.es/hombre/ropa/camisetas-y-camisas/camisetas-estampadas/2628991927-camiseta-jack-and-jones","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628991927&receiver_id=115125100&ref_url=%2Fitems%2F2628991927%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D115125100%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-estampadas%252F2628991927-camiseta-jack-and-jones%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2BJack%2Band%2BJones&source=wantit&subject=wanted%3A+Camiseta+Jack+and+Jones"
"Camiseta","https://www.vinted.es/femmes/vetements/hauts-and-t-shirts/t-shirts/2628988186-camiseta","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628988186&receiver_id=54223912&ref_url=%2Fitems%2F2628988186%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D54223912%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops-221%252F2628988186-camiseta%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta&source=wantit&subject=wanted%3A+Camiseta"
"Cardigan mujer H&M","https://www.vinted.es/kobiety/ubrania/bluzy-i-swetry/kardigany/2628988158-cardigan-mujer-hm","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2628988158&receiver_id=21931202&ref_url=%2Fitems%2F2628988158%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D21931202%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fcardigan%252F2628988158-cardigan-mujer-hm%26source%3Dwantit%26subject%3Dwanted%253A%2BCardigan%2Bmujer%2BH%2526M&source=wantit&subject=wanted%3A+Cardigan+mujer+H%26M"
