"Название товара","Ссылка на продавца","Ссылка на чат"
"Ratón gaming Razer","https://es.wallapop.com/item/raton-gaming-razer-869070154","https://es.wallapop.com/app/chat?itemId=nzx0gym7wmz2"
"reparación de encimeras ","https://es.wallapop.com/item/reparacion-de-encimeras-869070160","https://es.wallapop.com/app/chat?itemId=9jd215mpn96k"
"Bolso carro Skip Hop","https://es.wallapop.com/item/bolso-carro-skip-hop-869070115","https://es.wallapop.com/app/chat?itemId=36exmno05yzd"
"botas ski de fondo","https://es.wallapop.com/item/botas-ski-de-fondo-869070311","https://es.wallapop.com/app/chat?itemId=0j23orgxlm6y"
"Horno de pan FM","https://es.wallapop.com/item/horno-de-pan-fm-869070308","https://es.wallapop.com/app/chat?itemId=qzmy03vkwlzv"
"Chichonera, protector de cuna","https://es.wallapop.com/item/chichonera-protector-de-cuna-869070293","https://es.wallapop.com/app/chat?itemId=3zl1p9d378jx"
"Baldas dormitorio","https://es.wallapop.com/item/baldas-dormitorio-869070284","https://es.wallapop.com/app/chat?itemId=9jd215mp1l6k"
"Llibre de les Meravelles ","https://es.wallapop.com/item/llibre-de-les-meravelles-869070461","https://es.wallapop.com/app/chat?itemId=pj950gr9omze"
"REDMI NOTE 11 PRO","https://es.wallapop.com/item/redmi-note-11-pro-869068867","https://es.wallapop.com/app/chat?itemId=vjrrm9p2dwjk"
"clarabolla de hierro fundido","https://es.wallapop.com/item/clarabolla-de-hierro-fundido-869068862","https://es.wallapop.com/app/chat?itemId=4z412gr9vlzy"
"Señuelo pesca spinner bait","https://es.wallapop.com/item/senuelo-pesca-spinner-bait-869068863","https://es.wallapop.com/app/chat?itemId=36exmno4wkzd"
"scooter bestial wolf 12 usado ","https://es.wallapop.com/item/scooter-bestial-wolf-12-usado-869068850","https://es.wallapop.com/app/chat?itemId=pzprx15o9963"
"Libros Bachillerato","https://es.wallapop.com/item/libros-bachillerato-869068846","https://es.wallapop.com/app/chat?itemId=8z84pgrnqo63"
"Cojín de silla ergonómico","https://es.wallapop.com/item/cojin-de-silla-ergonomico-869070678","https://es.wallapop.com/app/chat?itemId=nzx0gym2eez2"
"COSMÉTICOS DONNA","https://es.wallapop.com/item/cosmeticos-donna-869069816","https://es.wallapop.com/app/chat?itemId=v6g231kxw7ze"
"se vende leña de encina y de olivo por sacas 80 €","https://es.wallapop.com/item/se-vende-lena-de-encina-y-de-olivo-por-sacas-80-869069800","https://es.wallapop.com/app/chat?itemId=e65gd3r11kjo"
"bolso de hombre  ","https://es.wallapop.com/item/bolso-de-hombre-869069805","https://es.wallapop.com/app/chat?itemId=qjwpgd1wwkzo"
"artículos de bebe ","https://es.wallapop.com/item/articulos-de-bebe-869070617","https://es.wallapop.com/app/chat?itemId=wzvndlkol7jl"
"Intel Core I5 7500/Placa base/240GB","https://es.wallapop.com/item/intel-core-i5-7500-placa-base-240gb-869070615","https://es.wallapop.com/app/chat?itemId=36exmnoynkzd"
"caña howk hot spot 100","https://es.wallapop.com/item/cana-howk-hot-spot-100-869070605","https://es.wallapop.com/app/chat?itemId=qjwpgd13d4zo"
"Piezas varias bicicleta de montaña ","https://es.wallapop.com/item/piezas-varias-bicicleta-de-montana-869070219","https://es.wallapop.com/app/chat?itemId=vjrrm9pgx9jk"
"Venta sofá chaiselonge color chocolate ","https://es.wallapop.com/item/venta-sofa-chaiselonge-color-chocolate-869070200","https://es.wallapop.com/app/chat?itemId=e65gd3rorpjo"
"Desbrozadora tiene poco uso ","https://es.wallapop.com/item/desbrozadora-tiene-poco-uso-869069705","https://es.wallapop.com/app/chat?itemId=qjwpgd1wgwzo"
"Garmin Forerunner 235","https://es.wallapop.com/item/garmin-forerunner-235-869068782","https://es.wallapop.com/app/chat?itemId=8j3ekx2938z9"
"chaleco para deportes acuáticos a estrenar ","https://es.wallapop.com/item/chaleco-para-deportes-acuaticos-a-estrenar-869068776","https://es.wallapop.com/app/chat?itemId=w67yngrpq86x"
"Juego de torre de madera ","https://es.wallapop.com/item/juego-de-torre-de-madera-869068759","https://es.wallapop.com/app/chat?itemId=0j23orgd0n6y"
