"Название товара","Ссылка на продавца","Ссылка на чат"
"Camiseta new era los Angeles Dodgers","https://es.wallapop.com/item/camiseta-new-era-los-angeles-dodgers-872792168","https://es.wallapop.com/app/chat?itemId=wzy5g0pe5xj5"
"El perfum de les llimones","https://es.wallapop.com/item/el-perfum-de-les-llimones-872792389","https://es.wallapop.com/app/chat?itemId=wzvnd5e9ddjl"
"Alfombrilla ","https://es.wallapop.com/item/alfombrilla-872790261","https://es.wallapop.com/app/chat?itemId=pj950l711oze"
"hamaca de varias posiciones","https://es.wallapop.com/item/hamaca-de-varias-posiciones-872792796","https://es.wallapop.com/app/chat?itemId=e65gdlkvq2jo"
"Cámara EOS 700D","https://es.wallapop.com/item/camara-eos-700d-872790485","https://es.wallapop.com/app/chat?itemId=pj950l7o4mze"
"Sandalias negras ZARA","https://es.wallapop.com/item/sandalias-negras-zara-872791637","https://es.wallapop.com/app/chat?itemId=pj950l784mze"
"Mangas variados","https://es.wallapop.com/item/mangas-variados-872791475","https://es.wallapop.com/app/chat?itemId=nz001l3n7dzo"
"Pantalón Dustin","https://es.wallapop.com/item/pantalon-dustin-872791071","https://es.wallapop.com/app/chat?itemId=ejkkn0qgmqjx"
"Gafas con camara HD","https://es.wallapop.com/item/gafas-con-camara-hd-872792942","https://es.wallapop.com/app/chat?itemId=x6qd1o3k2ojy"
"Videojuegos PS4: 45 € - 10 €","https://es.wallapop.com/item/videojuegos-ps4-45-10-872792932","https://es.wallapop.com/app/chat?itemId=qzmy0wx91yzv"
"Plumífero Pepe Jeans ","https://es.wallapop.com/item/plumifero-pepe-jeans-872793148","https://es.wallapop.com/app/chat?itemId=e65gdlkvwgjo"
"servicio de limpieza ","https://es.wallapop.com/item/servicio-de-limpieza-872793137","https://es.wallapop.com/app/chat?itemId=pj950lpk12ze"
"Mochila Camelback ","https://es.wallapop.com/item/mochila-camelback-872791005","https://es.wallapop.com/app/chat?itemId=qjwpgn8xdkzo"
"Abrigo negro","https://es.wallapop.com/item/abrigo-negro-872790632","https://es.wallapop.com/app/chat?itemId=qzmy0w8r1ozv"
"auriculares bose","https://es.wallapop.com/item/auriculares-bose-872790305","https://es.wallapop.com/app/chat?itemId=qjwpgn8oxwzo"
"Mochila Camuflaje Caza Pesca Senderismo","https://es.wallapop.com/item/mochila-camuflaje-caza-pesca-senderismo-872790781","https://es.wallapop.com/app/chat?itemId=xzorw1q59wz9"
"Influence workbook sin estrenar, completamente new","https://es.wallapop.com/item/influence-workbook-sin-estrenar-completamente-new-872790773","https://es.wallapop.com/app/chat?itemId=mzn87xqyd2zn"
"Traje de comunión niño.","https://es.wallapop.com/item/traje-de-comunion-nino-872790927","https://es.wallapop.com/app/chat?itemId=nz001l3n93zo"
"Jarrón Limoges","https://es.wallapop.com/item/jarron-limoges-872790910","https://es.wallapop.com/app/chat?itemId=8j3ekl9037z9"
"Bici B-Pro 14""","https://es.wallapop.com/item/bici-b-pro-14-872790913","https://es.wallapop.com/app/chat?itemId=pj950l73dkze"
"air pods de apple 2ªgeneracion ","https://es.wallapop.com/item/air-pods-de-apple-2generacion-872792661","https://es.wallapop.com/app/chat?itemId=pj950lpkdoze"
"Cuadro grandes dimensiones ","https://es.wallapop.com/item/cuadro-grandes-dimensiones-872792658","https://es.wallapop.com/app/chat?itemId=8j3ekldmv1z9"
"Robot movil - cabeza movil","https://es.wallapop.com/item/robot-movil-cabeza-movil-872792634","https://es.wallapop.com/app/chat?itemId=8j3ekldv31z9"
"Consola Ps Vita","https://es.wallapop.com/item/consola-ps-vita-872792640","https://es.wallapop.com/app/chat?itemId=v6g23r50mmze"
"cafetera de capsulas","https://es.wallapop.com/item/cafetera-de-capsulas-872792628","https://es.wallapop.com/app/chat?itemId=w67ynl58q96x"
"Juego de cuna completo","https://es.wallapop.com/item/juego-de-cuna-completo-872790612","https://es.wallapop.com/app/chat?itemId=9jd21rq3v46k"
"Figura antigua","https://es.wallapop.com/item/figura-antigua-872790580","https://es.wallapop.com/app/chat?itemId=qzmy0w8rvyzv"
