"Название товара","Ссылка на продавца","Ссылка на чат"
"Libro Lazarillo de Tormes 5a edición","https://es.wallapop.com/item/libro-lazarillo-de-tormes-5a-edicion-869302472","https://es.wallapop.com/app/chat?itemId=e65gdg3dkpjo"
"iPad 7th generación 128gb ","https://es.wallapop.com/item/ipad-7th-generacion-128gb-869302451","https://es.wallapop.com/app/chat?itemId=nz0010v13dzo"
"Pasador pesas automático alto rendimiento ","https://es.wallapop.com/item/pasador-pesas-automatico-alto-rendimiento-869302061","https://es.wallapop.com/app/chat?itemId=pj9505gq8mze"
"Resistencia vitrocerámica. 16,5cm","https://es.wallapop.com/item/resistencia-vitroceramica-16-5cm-869302485","https://es.wallapop.com/app/chat?itemId=pj9505g0poze"
"Mueble estante","https://es.wallapop.com/item/mueble-estante-869302479","https://es.wallapop.com/app/chat?itemId=p61ymy7m3265"
"Traje de comunión niño","https://es.wallapop.com/item/traje-de-comunion-nino-869301793","https://es.wallapop.com/app/chat?itemId=3zl1p19xx4jx"
"Baul nuevo","https://es.wallapop.com/item/baul-nuevo-869301780","https://es.wallapop.com/app/chat?itemId=qzmy0y31n1zv"
"lavabo 6 meses de uso","https://es.wallapop.com/item/lavabo-6-meses-de-uso-869301773","https://es.wallapop.com/app/chat?itemId=mzn878vmp2zn"
"Sofá ","https://es.wallapop.com/item/sofa-869302240","https://es.wallapop.com/app/chat?itemId=v6g23213p5ze"
"en bien estado ","https://es.wallapop.com/item/en-bien-estado-869302238","https://es.wallapop.com/app/chat?itemId=4z4121g28lzy"
"Desigual Jeans","https://es.wallapop.com/item/desigual-jeans-869302224","https://es.wallapop.com/app/chat?itemId=e65gdg3dqmjo"
"pc gaming","https://es.wallapop.com/item/pc-gaming-869301708","https://es.wallapop.com/app/chat?itemId=qzmy0y31o1zv"
"patinete ","https://es.wallapop.com/item/patinete-869301702","https://es.wallapop.com/app/chat?itemId=pzprxr13gk63"
"Varane ","https://es.wallapop.com/item/varane-869301680","https://es.wallapop.com/app/chat?itemId=qzmy0y317ozv"
"Radiador ","https://es.wallapop.com/item/radiador-869301547","https://es.wallapop.com/app/chat?itemId=ejkknk9wxyjx"
"la cocina dulce de Paco Torreblanca","https://es.wallapop.com/item/la-cocina-dulce-de-paco-torreblanca-869302558","https://es.wallapop.com/app/chat?itemId=8j3ekexkq7z9"
"Trilogía Dolores Redondo","https://es.wallapop.com/item/trilogia-dolores-redondo-869302533","https://es.wallapop.com/app/chat?itemId=xzorwrvw95z9"
"Fox Transfer Kashima 31.6 - 175mm Tija Nueva","https://es.wallapop.com/item/fox-transfer-kashima-31-6-175mm-tija-869302535","https://es.wallapop.com/app/chat?itemId=0j23o3roxm6y"
"Algún día cuando pueda llevarte a Varsovia ","https://es.wallapop.com/item/algun-dia-cuando-pueda-llevarte-a-varsovia-869302013","https://es.wallapop.com/app/chat?itemId=pj9505gqomze"
"Clases Particulares Bilingües ","https://es.wallapop.com/item/clases-particulares-bilingues-869302005","https://es.wallapop.com/app/chat?itemId=qjwpgpdvokzo"
"Polo Tommy Hilfiger","https://es.wallapop.com/item/polo-tommy-hilfiger-869301925","https://es.wallapop.com/app/chat?itemId=mzn878vmk7zn"
"Mesa comedor ","https://es.wallapop.com/item/mesa-comedor-869302328","https://es.wallapop.com/app/chat?itemId=w67ynygnr76x"
"Figuras de escayola","https://es.wallapop.com/item/figuras-de-escayola-869302320","https://es.wallapop.com/app/chat?itemId=wzy5g57goej5"
"Libros Gerónimo Stilton ","https://es.wallapop.com/item/libros-geronimo-stilton-869302312","https://es.wallapop.com/app/chat?itemId=9jd21251e96k"
"Set gaming, silla, pc, monitor y périfericos.","https://es.wallapop.com/item/set-gaming-silla-pc-monitor-y-perifericos-869301754","https://es.wallapop.com/app/chat?itemId=nzx0g0yvmmz2"
"radiador","https://es.wallapop.com/item/radiador-869301740","https://es.wallapop.com/app/chat?itemId=v6g2321nelze"
"Play Station 4 + 2 mandos ","https://es.wallapop.com/item/play-station-4---2-mandos-869301738","https://es.wallapop.com/app/chat?itemId=4z4121g3qmzy"
"Cargador rápido tipo C + cable","https://es.wallapop.com/item/cargador-rapido-tipo-c---cable-869301733","https://es.wallapop.com/app/chat?itemId=xzorwrvo7wz9"
"Libro de biología 2 bachi","https://es.wallapop.com/item/libro-de-biologia-2-bachi-869301727","https://es.wallapop.com/app/chat?itemId=nz0010vxyrzo"
"tijeras ","https://es.wallapop.com/item/tijeras-869301730","https://es.wallapop.com/app/chat?itemId=nzx0g0yvqmz2"
"GTA 5","https://es.wallapop.com/item/gta-5-869302153","https://es.wallapop.com/app/chat?itemId=qjwpgpdgdezo"
"Radiocasset para coche","https://es.wallapop.com/item/radiocasset-para-coche-869302156","https://es.wallapop.com/app/chat?itemId=qzmy0y303yzv"
"caseta de coche ","https://es.wallapop.com/item/caseta-de-coche-869302146","https://es.wallapop.com/app/chat?itemId=8z84p4gp1d63"
