"Название товара","Ссылка на продавца","Ссылка на чат"
"TV Marca OKI ","https://es.wallapop.com/item/tv-marca-oki-868143274","https://es.wallapop.com/app/chat?itemId=pzprx8qer563"
"pantalón vaquero","https://es.wallapop.com/item/pantalon-vaquero-868143473","https://es.wallapop.com/app/chat?itemId=mzn874qkmkzn"
"Zapatos puma edición Softride Rift Breeze Lux Wns","https://es.wallapop.com/item/zapatos-puma-edicion-softride-rift-breeze-lux-wns-868144138","https://es.wallapop.com/app/chat?itemId=4z412o4m9rzy"
"TV funciona perfecto ","https://es.wallapop.com/item/tv-funciona-perfecto-868143466","https://es.wallapop.com/app/chat?itemId=x6qd1l8g2njy"
"mueble de baño","https://es.wallapop.com/item/mueble-de-bano-868143230","https://es.wallapop.com/app/chat?itemId=nzx0gd8x5pz2"
"Moneda de 25 pesetas ","https://es.wallapop.com/item/moneda-de-25-pesetas-868143329","https://es.wallapop.com/app/chat?itemId=qjwpgl8wrwzo"
"Chandal Brazil ","https://es.wallapop.com/item/chandal-brazil-868143467","https://es.wallapop.com/app/chat?itemId=vjrrmy85vxjk"
"limpieza","https://es.wallapop.com/item/limpieza-868143905","https://es.wallapop.com/app/chat?itemId=qjwpgl80rwzo"
"Lechuza detective 3 ","https://es.wallapop.com/item/lechuza-detective-3-868143862","https://es.wallapop.com/app/chat?itemId=4z412o4m1wzy"
"Bureau IKEA ","https://es.wallapop.com/item/bureau-ikea-868143469","https://es.wallapop.com/app/chat?itemId=3zl1per2xpjx"
"Bolso piel Purificación Garcia ","https://es.wallapop.com/item/bolso-piel-purificacion-garcia-868143502","https://es.wallapop.com/app/chat?itemId=pzprx8qexl63"
"EQUIPO FITNESS Y MUSCULACIÓN","https://es.wallapop.com/item/equipo-fitness-y-musculacion-868143952","https://es.wallapop.com/app/chat?itemId=w67yn8p2756x"
"SAMSUNG A53 5G ","https://es.wallapop.com/item/samsung-a53-5g-868143680","https://es.wallapop.com/app/chat?itemId=qzmy0g8drozv"
"Pantalón Levi'S","https://es.wallapop.com/item/pantalon-levi-s-868143854","https://es.wallapop.com/app/chat?itemId=nzx0gd870pz2"
"HP PAVILION Intel(R) Core(TM) Notebook i7","https://es.wallapop.com/item/hp-pavilion-intel-r-core-tm-notebook-i7-868143504","https://es.wallapop.com/app/chat?itemId=w67yn8pol86x"
"Silla gamer ","https://es.wallapop.com/item/silla-gamer-868143373","https://es.wallapop.com/app/chat?itemId=mzn874qko7zn"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-868143583","https://es.wallapop.com/app/chat?itemId=0j23o9d77n6y"
