"Название товара","Ссылка на продавца","Ссылка на чат"
"jersey noruego ","https://es.wallapop.com/item/jersey-noruego-871560148","https://es.wallapop.com/app/chat?itemId=e65gdrxwqgjo"
"RELOJ HOMBRE MASERATI R8821108036","https://es.wallapop.com/item/reloj-hombre-maserati-r8821108036-871477799","https://es.wallapop.com/app/chat?itemId=nz0012on87zo"
"Bolso Lanvin ","https://es.wallapop.com/item/bolso-lanvin-871592502","https://es.wallapop.com/app/chat?itemId=pzprx7y25k63"
"Jordan 4 Black Cat","https://es.wallapop.com/item/jordan-4-black-cat-871591544","https://es.wallapop.com/app/chat?itemId=wzy5g9l7wxj5"
"Bolso con bandolera Louis Vuitton ","https://es.wallapop.com/item/bolso-con-bandolera-louis-vuitton-871591140","https://es.wallapop.com/app/chat?itemId=v6g23v010nze"
"Pulsera completa Pandora","https://es.wallapop.com/item/pulsera-completa-pandora-871588677","https://es.wallapop.com/app/chat?itemId=qjwpg9lx0kzo"
"sudadera balenciaga ","https://es.wallapop.com/item/sudadera-balenciaga-871585556","https://es.wallapop.com/app/chat?itemId=qzmy0ngdolzv"
"CHAQUETÓN RALPH LAUREN","https://es.wallapop.com/item/chaqueton-ralph-lauren-871578208","https://es.wallapop.com/app/chat?itemId=qzmy0ngywxzv"
"Vestido novia Rosa Clara y Chaqueta ","https://es.wallapop.com/item/vestido-novia-rosa-clara-871575075","https://es.wallapop.com/app/chat?itemId=nz0012770vzo"
"Nike dunk low Sb why so sad","https://es.wallapop.com/item/nike-dunk-low-sb-why-so-sad-871574313","https://es.wallapop.com/app/chat?itemId=pj950r8o1vze"
" chaqueta tres cuartos","https://es.wallapop.com/item/chaqueta-tres-cuartos-871572868","https://es.wallapop.com/app/chat?itemId=wzy5godkx5j5"
"Trajes fallera","https://es.wallapop.com/item/trajes-fallera-871571624","https://es.wallapop.com/app/chat?itemId=e65gdr41gpjo"
"Abrigo de zorro canadiense","https://es.wallapop.com/item/abrigo-de-zorro-canadiense-871570877","https://es.wallapop.com/app/chat?itemId=qjwpg1m8k4zo"
"vendo pulsera Pandora con sus charms","https://es.wallapop.com/item/vendo-pulsera-pandora-con-sus-charms-871569359","https://es.wallapop.com/app/chat?itemId=0j23ogmo4m6y"
