"Название товара","Ссылка на продавца","Ссылка на чат"
"Edredones","https://es.wallapop.com/item/edredones-869289889","https://es.wallapop.com/app/chat?itemId=wzvndny8mrjl"
"Ropa de tienda con etiquetas ","https://es.wallapop.com/item/ropa-de-tienda-con-etiquetas-869290084","https://es.wallapop.com/app/chat?itemId=9jd21279226k"
"Sudadera OverSize de Pier One sin estrenar.","https://es.wallapop.com/item/sudadera-oversize-de-pier-one-sin-estrenar-869289680","https://es.wallapop.com/app/chat?itemId=qzmy0y48nozv"
"Generador de gasolina","https://es.wallapop.com/item/generador-de-gasolina-869289254","https://es.wallapop.com/app/chat?itemId=nzx0g05pxpz2"
"Puertas Roble","https://es.wallapop.com/item/puertas-roble-869289730","https://es.wallapop.com/app/chat?itemId=nzx0g058gmz2"
"Huawei FreeBuds Studio ","https://es.wallapop.com/item/huawei-freebuds-studio-869289733","https://es.wallapop.com/app/chat?itemId=xzorwr8qwwz9"
"Z900 ","https://es.wallapop.com/item/z900-869289546","https://es.wallapop.com/app/chat?itemId=8z84p410kd63"
"Busco empleo ","https://es.wallapop.com/item/busco-empleo-869289758","https://es.wallapop.com/app/chat?itemId=8j3ekey9llz9"
"Blazer Nike negras ","https://es.wallapop.com/item/blazer-nike-negras-869289620","https://es.wallapop.com/app/chat?itemId=wzy5g5n8x2j5"
"tractor","https://es.wallapop.com/item/tractor-869289602","https://es.wallapop.com/app/chat?itemId=pzprxr9qg963"
"bicicleta niño hasta 3 años","https://es.wallapop.com/item/bicicleta-nino-hasta-3-anos-869290253","https://es.wallapop.com/app/chat?itemId=qjwpgpy594zo"
"Sofá  de madera ","https://es.wallapop.com/item/sofa-de-madera-869289436","https://es.wallapop.com/app/chat?itemId=9jd2127qx26k"
"PLEX HD ","https://es.wallapop.com/item/plex-hd-869289996","https://es.wallapop.com/app/chat?itemId=e65gdgykm2jo"
"Traje fallera","https://es.wallapop.com/item/traje-fallera-869290192","https://es.wallapop.com/app/chat?itemId=wzy5g5npxpj5"
"jaula de pájaros (ninfas) perfecto estado","https://es.wallapop.com/item/jaula-de-pajaros-ninfas-perfecto-estado-869289879","https://es.wallapop.com/app/chat?itemId=p61ymyo2g265"
"Libro de ingles Burlington International English A","https://es.wallapop.com/item/libro-de-ingles-burlington-international-english-a-869289862","https://es.wallapop.com/app/chat?itemId=4z4121v4mwzy"
"Samsung 32 Pulgadas Samtr TV","https://es.wallapop.com/item/samsung-32-pulgadas-samtr-tv-869289219","https://es.wallapop.com/app/chat?itemId=vjrrmrd329jk"
"Butaca","https://es.wallapop.com/item/butaca-869289218","https://es.wallapop.com/app/chat?itemId=x6qd1dyo3yjy"
