"Название товара","Ссылка на продавца","Ссылка на чат"
"Pantalón blanco","https://es.wallapop.com/item/pantalon-blanco-872096919","https://es.wallapop.com/app/chat?itemId=vjrrmvm598jk"
"Cargador y cable de Apple tipo C","https://es.wallapop.com/item/cargador-y-cable-de-apple-tipo-c-872096909","https://es.wallapop.com/app/chat?itemId=xzorwow4v2z9"
"pulsera/reloj inteligente ","https://es.wallapop.com/item/pulsera-reloj-inteligente-872096908","https://es.wallapop.com/app/chat?itemId=qzmy010d3yzv"
"Moneda 1 euro valiosa","https://es.wallapop.com/item/moneda-1-euro-valiosa-872096659","https://es.wallapop.com/app/chat?itemId=0j23oko22v6y"
"Zapatillas Adidas clavos velocidad","https://es.wallapop.com/item/zapatillas-adidas-clavos-velocidad-872096873","https://es.wallapop.com/app/chat?itemId=mzn87m7kgkzn"
"
TALADRO PERCUTOR 780 W SDS PLUS","https://es.wallapop.com/item/taladro-percutor-780-w-sds-plus-872096453","https://es.wallapop.com/app/chat?itemId=qjwpgvg574zo"
"scooter ","https://es.wallapop.com/item/scooter-872096428","https://es.wallapop.com/app/chat?itemId=w67yn9n5xy6x"
"Pack: Discos ATX-Mancuernas Domyos-Barra 2m","https://es.wallapop.com/item/pack-discos-atx-mancuernas-domyos-barra-2m-872096701","https://es.wallapop.com/app/chat?itemId=mzn87m71d7zn"
"Falda pantalón polipiel talla 38","https://es.wallapop.com/item/falda-pantalon-polipiel-talla-38-872097072","https://es.wallapop.com/app/chat?itemId=e65gd2d1rmjo"
"Mesa de comedor ","https://es.wallapop.com/item/mesa-de-comedor-872096207","https://es.wallapop.com/app/chat?itemId=p61ym1m2nx65"
"Armero","https://es.wallapop.com/item/armero-872096210","https://es.wallapop.com/app/chat?itemId=8j3ekok97yz9"
"La caligrafía secreta (libro)","https://es.wallapop.com/item/la-caligrafia-secreta-libro-872096196","https://es.wallapop.com/app/chat?itemId=e65gd2d5w2jo"
"Vestido de madrina diseñado por Manila","https://es.wallapop.com/item/vestido-de-madrina-disenado-por-manila-872096492","https://es.wallapop.com/app/chat?itemId=wzy5gvgpq2j5"
"LG Smart tv 42 pulgada ","https://es.wallapop.com/item/lg-smart-tv-42-pulgada-872096475","https://es.wallapop.com/app/chat?itemId=nz001x1oyvzo"
"Fabricación de celosía interior de madera","https://es.wallapop.com/item/fabricacion-de-celosia-interior-de-madera-872096468","https://es.wallapop.com/app/chat?itemId=wzy5gvgpx2j5"
"DISCO DURO M.2 2280 DE VELOCIDAD/500GB + CARCASA","https://es.wallapop.com/item/disco-duro-m-2-2280-de-velocidad-500gb---carcasa-872096294","https://es.wallapop.com/app/chat?itemId=8z84p9pnql63"
"Sandalias Vialis","https://es.wallapop.com/item/sandalias-vialis-872096282","https://es.wallapop.com/app/chat?itemId=8j3ekokdmyz9"
"Botas de fútbol Adidas","https://es.wallapop.com/item/botas-de-futbol-adidas-872096325","https://es.wallapop.com/app/chat?itemId=mzn87m71lyzn"
"Converse","https://es.wallapop.com/item/converse-872095389","https://es.wallapop.com/app/chat?itemId=wzvndvd531jl"
"disfraz de unicornio ","https://es.wallapop.com/item/disfraz-de-unicornio-872095369","https://es.wallapop.com/app/chat?itemId=3zl1pxp754jx"
"G-Star Raw Mujer","https://es.wallapop.com/item/g-star-raw-mujer-872096050","https://es.wallapop.com/app/chat?itemId=pzprx3xqq563"
"se hacen reformas integrales","https://es.wallapop.com/item/se-hacen-reformas-integrales-872097004","https://es.wallapop.com/app/chat?itemId=w67yn9noxy6x"
"Empresa de Mudanzas ","https://es.wallapop.com/item/empresa-de-mudanzas-872096635","https://es.wallapop.com/app/chat?itemId=0j23oko2dv6y"
"Botas altas","https://es.wallapop.com/item/botas-altas-872096599","https://es.wallapop.com/app/chat?itemId=nz001x1olrzo"
"Centro de planchado","https://es.wallapop.com/item/centro-de-planchado-872096958","https://es.wallapop.com/app/chat?itemId=8j3ekokw48z9"
"Oposición Auxiliar de Control e Información Madrid","https://es.wallapop.com/item/oposicion-auxiliar-de-control-e-informacion-madrid-872096112","https://es.wallapop.com/app/chat?itemId=9jd2141qpd6k"
"Muchos superheroes 🫶","https://es.wallapop.com/item/muchos-superheroes-872096795","https://es.wallapop.com/app/chat?itemId=ejkknwn7grjx"
"Bolso grande piel negro","https://es.wallapop.com/item/bolso-grande-piel-negro-872096775","https://es.wallapop.com/app/chat?itemId=nz001x1o53zo"
