"Название товара","Ссылка на продавца","Ссылка на чат"
"ps4 pro con dos mandos","https://es.wallapop.com/item/ps4-pro-con-dos-mandos-870951934","https://es.wallapop.com/app/chat?itemId=8j3ekry0p7z9"
"Mini frigorífico ","https://es.wallapop.com/item/mini-frigorifico-870951598","https://es.wallapop.com/app/chat?itemId=pzprxw9pel63"
"Bobcat A300","https://es.wallapop.com/item/bobcat-a300-870952201","https://es.wallapop.com/app/chat?itemId=mzn870lyngzn"
"Dyson Airwrap","https://es.wallapop.com/item/dyson-airwrap-870952350","https://es.wallapop.com/app/chat?itemId=pzprxw9lyk63"
"Air tag apple","https://es.wallapop.com/item/air-tag-apple-870951726","https://es.wallapop.com/app/chat?itemId=pzprxw9pvk63"
"bici ","https://es.wallapop.com/item/bici-870951709","https://es.wallapop.com/app/chat?itemId=xzorw78nywz9"
"2 entradas portimao","https://es.wallapop.com/item/2-entradas-portimao-870951868","https://es.wallapop.com/app/chat?itemId=wzy5gqn345j5"
"CHALECO CALEFACTABLE","https://es.wallapop.com/item/chaleco-calefactable-870951861","https://es.wallapop.com/app/chat?itemId=pj950vyo5oze"
"Sofa cama","https://es.wallapop.com/item/sofa-cama-870951837","https://es.wallapop.com/app/chat?itemId=pj950vyogoze"
"muebles ","https://es.wallapop.com/item/muebles-870951783","https://es.wallapop.com/app/chat?itemId=0j23oqypwd6y"
"Cabecero de cama y mesitas de noche","https://es.wallapop.com/item/cabecero-de-cama-y-mesitas-de-noche-870951766","https://es.wallapop.com/app/chat?itemId=x6qd1xypl5jy"
"PS4 1000GB + 2 mandos + 2 juegos + cable HDMI","https://es.wallapop.com/item/ps4-1000gb---2-mandos---2-juegos---cable-hdmi-870952649","https://es.wallapop.com/app/chat?itemId=mzn870lr7kzn"
"Botines ","https://es.wallapop.com/item/botines-870952638","https://es.wallapop.com/app/chat?itemId=4z412qvw28zy"
"pantalón jean negro talla 10","https://es.wallapop.com/item/pantalon-jean-negro-talla-10-870951807","https://es.wallapop.com/app/chat?itemId=p61ymqono265"
"Clases de refuerzo de Física y Matemáticas ","https://es.wallapop.com/item/clases-de-refuerzo-de-fisica-y-matematicas-870951985","https://es.wallapop.com/app/chat?itemId=pj950vyorkze"
"Vendo carrete Glow 165 FD","https://es.wallapop.com/item/vendo-carrete-glow-165-fd-870952168","https://es.wallapop.com/app/chat?itemId=wzy5gqn31pj5"
"Suspensión-amortiguardores bilstein Mazda mx-5nc","https://es.wallapop.com/item/suspension-amortiguardores-bilstein-mazda-mx-5nc-870952301","https://es.wallapop.com/app/chat?itemId=mzn870ly92zn"
"Monitor Lg","https://es.wallapop.com/item/monitor-lg-870952289","https://es.wallapop.com/app/chat?itemId=wzvndqy1w7jl"
"Reloj ","https://es.wallapop.com/item/reloj-870952290","https://es.wallapop.com/app/chat?itemId=x6qd1xyp5ejy"
"Mesa i 4 sillas","https://es.wallapop.com/item/mesa-i-4-sillas-870952247","https://es.wallapop.com/app/chat?itemId=ejkkn54vl1jx"
"Televisión LG ","https://es.wallapop.com/item/television-lg-870952384","https://es.wallapop.com/app/chat?itemId=9jd21e7o796k"
"El caso de Francis Blake, Norma Editorial ","https://es.wallapop.com/item/el-caso-de-francis-blake-norma-editorial-870952380","https://es.wallapop.com/app/chat?itemId=qzmy0p4q41zv"
"Alquiler de piso particular ","https://es.wallapop.com/item/alquiler-de-piso-particular-870952364","https://es.wallapop.com/app/chat?itemId=v6g23e4d0lze"
"SEAT Leon 2005","https://es.wallapop.com/item/seat-leon-2005-870951639","https://es.wallapop.com/app/chat?itemId=36exmewlykzd"
"Estuche rotuladores finos STABILO","https://es.wallapop.com/item/rotuladores-finos-stabilo-870951620","https://es.wallapop.com/app/chat?itemId=wzy5gqn2w2j5"
"Se vende platos muy bien calidad","https://es.wallapop.com/item/se-vende-platos-muy-bien-calidad-870952613","https://es.wallapop.com/app/chat?itemId=pj950vy3qmze"
"camisetas abanderado","https://es.wallapop.com/item/camisetas-abanderado-870952538","https://es.wallapop.com/app/chat?itemId=4z412qvwqvzy"
"Pato pesca sonda","https://es.wallapop.com/item/pato-pesca-sonda-870952001","https://es.wallapop.com/app/chat?itemId=mzn870lyekzn"
"se venden airpods pro","https://es.wallapop.com/item/se-venden-airpods-pro-870952583","https://es.wallapop.com/app/chat?itemId=0j23oqy0gm6y"
"Chándal trapstar","https://es.wallapop.com/item/chandal-trapstar-870952579","https://es.wallapop.com/app/chat?itemId=p61ymqopeg65"
"volante momo corse","https://es.wallapop.com/item/volante-momo-corse-870952565","https://es.wallapop.com/app/chat?itemId=wzvndqywk4jl"
