"Название товара","Ссылка на продавца","Ссылка на чат"
"Top de Ganchillo ","https://es.wallapop.com/item/top-de-ganchillo-870735761","https://es.wallapop.com/app/chat?itemId=pj950xe4d2ze"
"zapatillas nike","https://es.wallapop.com/item/zapatillas-nike-870736779","https://es.wallapop.com/app/chat?itemId=p61ymkd5g765"
"Polo de Adidas Real Oviedo","https://es.wallapop.com/item/polo-de-adidas-real-oviedo-870736685","https://es.wallapop.com/app/chat?itemId=pj950xen7mze"
"Pantalón cargo Pull&Bear","https://es.wallapop.com/item/pantalon-cargo-pull-bear-870736534","https://es.wallapop.com/app/chat?itemId=8j3ek5gp57z9"
"Bambas le coq sportif","https://es.wallapop.com/item/bambas-le-coq-sportif-870736127","https://es.wallapop.com/app/chat?itemId=nz001wd837zo"
"Camisa de cuadros","https://es.wallapop.com/item/camisa-de-cuadros-870736002","https://es.wallapop.com/app/chat?itemId=pzprxg7k5463"
"Camisetas informales ","https://es.wallapop.com/item/camisetas-informales-870736983","https://es.wallapop.com/app/chat?itemId=0j23o1e1rd6y"
"zapatillas nike court royale talla 42","https://es.wallapop.com/item/zapatillas-nike-court-royale-talla-42-870736975","https://es.wallapop.com/app/chat?itemId=nz001wdwvrzo"
"chaqueta de peluquería ","https://es.wallapop.com/item/chaqueta-de-peluqueria-870736927","https://es.wallapop.com/app/chat?itemId=nz001wdwgrzo"
"Cartera monedero ","https://es.wallapop.com/item/cartera-monedero-870736324","https://es.wallapop.com/app/chat?itemId=e65gdpe7mgjo"
"Vesta Samaritana ","https://es.wallapop.com/item/vesta-samaritana-870736278","https://es.wallapop.com/app/chat?itemId=nzx0gw9e1ez2"
"jaqueta mujer de piel ","https://es.wallapop.com/item/jaqueta-mujer-de-piel-870736233","https://es.wallapop.com/app/chat?itemId=xzorw30gn7z9"
