"Название товара","Ссылка на продавца","Ссылка на чат"
"Nike Air Max 97 gs","https://es.wallapop.com/item/nike-air-max-97-gs-869576909","https://es.wallapop.com/app/chat?itemId=xzorwredv2z9"
"Zapatillas plein sport negras","https://es.wallapop.com/item/zapatillas-plein-sport-negras-869576872","https://es.wallapop.com/app/chat?itemId=e65gdg4rvkjo"
"Vendo vestido de comunión ","https://es.wallapop.com/item/vendo-vestido-de-comunion-869576329","https://es.wallapop.com/app/chat?itemId=qjwpgpmqdezo"
"chándal Real Madrid centenary 2001 2002","https://es.wallapop.com/item/chandal-real-madrid-centenary-2001-2002-869576168","https://es.wallapop.com/app/chat?itemId=wzy5g5dx2xj5"
"plancha del pelo ","https://es.wallapop.com/item/plancha-del-pelo-869576130","https://es.wallapop.com/app/chat?itemId=nzx0g03w77z2"
"ray.Ban","https://es.wallapop.com/item/ray-ban-869576067","https://es.wallapop.com/app/chat?itemId=vjrrmrlo29jk"
"Gafas Ray Ban ERIKA color mix (negras)","https://es.wallapop.com/item/gafas-ray-ban-erika-color-mix-negras-869575988","https://es.wallapop.com/app/chat?itemId=v6g23287nlze"
"poncho de Zara","https://es.wallapop.com/item/poncho-de-zara-869576833","https://es.wallapop.com/app/chat?itemId=xzorwredklz9"
"Abrigo bovino ","https://es.wallapop.com/item/abrigo-bovino-869576786","https://es.wallapop.com/app/chat?itemId=4z4121dqwvzy"
"Louis vuttion ","https://es.wallapop.com/item/louis-vuttion-869576784","https://es.wallapop.com/app/chat?itemId=9jd212geod6k"
"Tenis, Adidas ","https://es.wallapop.com/item/tenis-adidas-869576716","https://es.wallapop.com/app/chat?itemId=v6g2328ey2ze"
"Abrigo ","https://es.wallapop.com/item/abrigo-869576557","https://es.wallapop.com/app/chat?itemId=xzorwre7owz9"
"deportivas","https://es.wallapop.com/item/deportivas-869576561","https://es.wallapop.com/app/chat?itemId=pj95058vq2ze"
"Abrigo gris de Zara","https://es.wallapop.com/item/abrigo-gris-de-zara-869576381","https://es.wallapop.com/app/chat?itemId=xzorwre722z9"
"Zapatos cuña negros","https://es.wallapop.com/item/zapatos-cuna-negros-869575898","https://es.wallapop.com/app/chat?itemId=pzprxrvgw963"
"chandal niña","https://es.wallapop.com/item/chandal-nina-869575861","https://es.wallapop.com/app/chat?itemId=pj95058xn0ze"
