"Название товара","Ссылка на продавца","Ссылка на чат"
"estuche fortnite","https://es.wallapop.com/item/estuche-fortnite-869293277","https://es.wallapop.com/app/chat?itemId=qjwpgpykw4zo"
"carro de gemelos","https://es.wallapop.com/item/carro-de-gemelos-869293271","https://es.wallapop.com/app/chat?itemId=ejkknk4v71jx"
"Camiseta LEVI'S vintage","https://es.wallapop.com/item/camiseta-levi-s-vintage-869293264","https://es.wallapop.com/app/chat?itemId=v6g2324955ze"
"Botas Caterpillar 43","https://es.wallapop.com/item/botas-caterpillar-43-869294217","https://es.wallapop.com/app/chat?itemId=wzvndnyx0qjl"
"Zapatillas fila estilo Jordan ","https://es.wallapop.com/item/zapatillas-fila-estilo-jordan-869294216","https://es.wallapop.com/app/chat?itemId=v6g2324877ze"
"Gargantilla  Luna de Ágata Musgosa","https://es.wallapop.com/item/gargantilla-luna-de-agata-musgosa-869294218","https://es.wallapop.com/app/chat?itemId=x6qd1dyr4njy"
"play 4 ","https://es.wallapop.com/item/play-4-869294088","https://es.wallapop.com/app/chat?itemId=v6g232481mze"
"Habitación juvenil ","https://es.wallapop.com/item/habitacion-juvenil-869294077","https://es.wallapop.com/app/chat?itemId=qjwpgpymygzo"
"mesa y sillas madera","https://es.wallapop.com/item/mesa-y-sillas-madera-869294076","https://es.wallapop.com/app/chat?itemId=w67ynydqd96x"
"Pantalla acuario marino maxspect RSX200 ","https://es.wallapop.com/item/pantalla-acuario-marino-maxspect-rsx200-869293487","https://es.wallapop.com/app/chat?itemId=36exmxw3dqzd"
"iPhone x","https://es.wallapop.com/item/iphone-x-869294137","https://es.wallapop.com/app/chat?itemId=pj9505y8mkze"
"Nike Sb Dunk Low White Gum","https://es.wallapop.com/item/nike-sb-dunk-low-white-gum-869294125","https://es.wallapop.com/app/chat?itemId=mzn878l987zn"
"Carretilla de acero inoxidable robusta ","https://es.wallapop.com/item/carretilla-de-acero-inoxidable-robusta-869294116","https://es.wallapop.com/app/chat?itemId=v6g2324822ze"
"Ps4 Pro 1 Tb ","https://es.wallapop.com/item/ps4-pro-1-tb-869293379","https://es.wallapop.com/app/chat?itemId=p61ymyonnd65"
"Citroen Xsara 2003","https://es.wallapop.com/item/citroen-xsara-2003-869293381","https://es.wallapop.com/app/chat?itemId=xzorwr855wz9"
"Mesa de centro","https://es.wallapop.com/item/mesa-de-centro-869293364","https://es.wallapop.com/app/chat?itemId=v6g23249llze"
"Mano fuc..you deadpool","https://es.wallapop.com/item/mano-fuc-you-deadpool-869293353","https://es.wallapop.com/app/chat?itemId=qjwpgpykoqzo"
"LEGOS Star-Wars","https://es.wallapop.com/item/legos-star-wars-869293688","https://es.wallapop.com/app/chat?itemId=v6g2324dk7ze"
"prehistoria ll las sociedades metalurgicas","https://es.wallapop.com/item/prehistoria-ll-las-sociedades-metalurgicas-869293819","https://es.wallapop.com/app/chat?itemId=vjrrmrdn8wjk"
"Mesa teletrabajo ","https://es.wallapop.com/item/mesa-teletrabajo-869293846","https://es.wallapop.com/app/chat?itemId=8z84p41ono63"
"Local/Oficina en alquiler","https://es.wallapop.com/item/local-oficina-en-alquiler-869293837","https://es.wallapop.com/app/chat?itemId=pj9505y3p0ze"
"Libro Noel et busca","https://es.wallapop.com/item/libro-noel-et-busca-869294047","https://es.wallapop.com/app/chat?itemId=ejkknk41xpjx"
"Guantes de malla ","https://es.wallapop.com/item/guantes-de-malla-869294157","https://es.wallapop.com/app/chat?itemId=xzorwr8e25z9"
"Smart TV Panasonic 32'","https://es.wallapop.com/item/smart-tv-panasonic-32-869294154","https://es.wallapop.com/app/chat?itemId=nzx0g05347z2"
"Plancha pelo","https://es.wallapop.com/item/plancha-pelo-869293899","https://es.wallapop.com/app/chat?itemId=nz0010mnevzo"
"pitbike con am6","https://es.wallapop.com/item/pitbike-con-am6-869293319","https://es.wallapop.com/app/chat?itemId=vjrrmrd0gljk"
"Silla de coche Britax Romer 1-2-3 ","https://es.wallapop.com/item/silla-de-coche-britax-romer-1-2-3-869293311","https://es.wallapop.com/app/chat?itemId=0j23o3ypxd6y"
"Bicileta montaña","https://es.wallapop.com/item/bicileta-montana-869293409","https://es.wallapop.com/app/chat?itemId=xzorwr85y4z9"
"Taca taca","https://es.wallapop.com/item/taca-taca-869293395","https://es.wallapop.com/app/chat?itemId=ejkknk4vg9jx"
"2 camisas","https://es.wallapop.com/item/2-camisas-869293945","https://es.wallapop.com/app/chat?itemId=3zl1p1gvq4jx"
"Botas de fútbol Adidas Predator ","https://es.wallapop.com/item/botas-de-futbol-adidas-predator-869293552","https://es.wallapop.com/app/chat?itemId=w67ynydmy56x"
"Cubo juegos Hace ","https://es.wallapop.com/item/cubo-juegos-hace-869293538","https://es.wallapop.com/app/chat?itemId=4z4121vw1vzy"
"Audi A4 2009","https://es.wallapop.com/item/audi-a4-2009-869293466","https://es.wallapop.com/app/chat?itemId=x6qd1dy5kyjy"
"vitrocerámica de inducción marca TEKA ","https://es.wallapop.com/item/vitroceramica-de-induccion-marca-teka-869293457","https://es.wallapop.com/app/chat?itemId=xzorwr8yk4z9"
"Silla oficina ikea ","https://es.wallapop.com/item/silla-oficina-ikea-869293454","https://es.wallapop.com/app/chat?itemId=nzx0g051dpz2"
"JUEGOS FÍSICOS DE LOS SIMS ","https://es.wallapop.com/item/juegos-fisicos-de-los-sims-869293231","https://es.wallapop.com/app/chat?itemId=p61ymyon2565"
"Diccionario hablado español ingles chino","https://es.wallapop.com/item/diccionario-hablado-espanol-ingles-chino-869293232","https://es.wallapop.com/app/chat?itemId=qzmy0y4r8ozv"
"Estantería de cocina ","https://es.wallapop.com/item/estanteria-de-cocina-869294299","https://es.wallapop.com/app/chat?itemId=nz0010m7dezo"
"Adidas Súper Stars personalizadas 100% oficiales","https://es.wallapop.com/item/adidas-super-stars-personalizadas-100-oficiales-869294294","https://es.wallapop.com/app/chat?itemId=8z84p41yel63"
"Moto cbr","https://es.wallapop.com/item/moto-cbr-869293768","https://es.wallapop.com/app/chat?itemId=wzy5g5nmgpj5"
"Cabecero de cama forja ","https://es.wallapop.com/item/cabecero-de-cama-forja-869293757","https://es.wallapop.com/app/chat?itemId=xzorwr8yw2z9"
"saco de boxeo ","https://es.wallapop.com/item/saco-de-boxeo-869293993","https://es.wallapop.com/app/chat?itemId=3zl1p1gvo4jx"
"Polo Lacoste Turquesa","https://es.wallapop.com/item/polo-lacoste-turquesa-869293987","https://es.wallapop.com/app/chat?itemId=36exmxw33yzd"
"shoes for men","https://es.wallapop.com/item/shoes-for-men-869293995","https://es.wallapop.com/app/chat?itemId=ejkknk4g19jx"
"cartera Guess ","https://es.wallapop.com/item/cartera-guess-869293720","https://es.wallapop.com/app/chat?itemId=wzy5g5nm9pj5"
"Traje fallera","https://es.wallapop.com/item/traje-fallera-869293708","https://es.wallapop.com/app/chat?itemId=qzmy0y4qnyzv"
"Libro *En tus zapatos - Beth O'Leary*","https://es.wallapop.com/item/libro-en-tus-zapatos-beth-o-leary-869294261","https://es.wallapop.com/app/chat?itemId=pj9505y8rmze"
"PS4 + Mando","https://es.wallapop.com/item/ps4---mando-869293592","https://es.wallapop.com/app/chat?itemId=wzy5g5nmrxj5"
"Libros el club de las zapatillas rojas","https://es.wallapop.com/item/libros-el-club-de-las-zapatillas-rojas-869293591","https://es.wallapop.com/app/chat?itemId=vjrrmrdne4jk"
"LITERA IKEA 90CM×190CM","https://es.wallapop.com/item/litera-ikea-90cm190cm-869293581","https://es.wallapop.com/app/chat?itemId=xzorwr8y25z9"
"lote surtido ","https://es.wallapop.com/item/lote-surtido-869293566","https://es.wallapop.com/app/chat?itemId=x6qd1dy5mqjy"
