"Название товара","Ссылка на продавца","Ссылка на чат"
"Patinete SHAUN WHITE","https://es.wallapop.com/item/patinete-shaun-white-872759035","https://es.wallapop.com/app/chat?itemId=0j23ololdv6y"
"vendo tabla sur","https://es.wallapop.com/item/vendo-tabla-sur-872759033","https://es.wallapop.com/app/chat?itemId=xzorw1w1q4z9"
"BMW Serie 3 1994","https://es.wallapop.com/item/bmw-serie-3-1994-872758716","https://es.wallapop.com/app/chat?itemId=v6g23r3r4nze"
"Vestido comunión ","https://es.wallapop.com/item/vestido-comunion-872758667","https://es.wallapop.com/app/chat?itemId=vjrrm3m3yxjk"
"Armario","https://es.wallapop.com/item/armario-872758592","https://es.wallapop.com/app/chat?itemId=wzy5g0gg3xj5"
"Carro de té","https://es.wallapop.com/item/carro-de-te-872757785","https://es.wallapop.com/app/chat?itemId=pj950l0qe2ze"
"libros y DVD, aventuras de aprender","https://es.wallapop.com/item/libros-y-dvd-aventuras-de-aprender-872757783","https://es.wallapop.com/app/chat?itemId=0j23oloked6y"
"ruedas cada una 25€","https://es.wallapop.com/item/ruedas-cada-una-25-872757912","https://es.wallapop.com/app/chat?itemId=9jd21r140d6k"
"Kirby y la tierra olvidada , venta en persona ","https://es.wallapop.com/item/kirby-y-la-tierra-olvidada-venta-en-persona-872757907","https://es.wallapop.com/app/chat?itemId=p61ymlm13g65"
"robot coupe R211","https://es.wallapop.com/item/robot-coupe-872757900","https://es.wallapop.com/app/chat?itemId=e65gdld2k2jo"
"Sommier y colchón ","https://es.wallapop.com/item/sommier-y-colchon-872757892","https://es.wallapop.com/app/chat?itemId=wzy5g0gvp5j5"
"40€ ","https://es.wallapop.com/item/40-872757883","https://es.wallapop.com/app/chat?itemId=0j23olokdv6y"
"Cms bicicleta eléctrica ","https://es.wallapop.com/item/cms-bicicleta-electrica-872758053","https://es.wallapop.com/app/chat?itemId=qjwpgngvxkzo"
"Fol ilerna ","https://es.wallapop.com/item/fol-ilerna-872758016","https://es.wallapop.com/app/chat?itemId=v6g23r3n97ze"
"Llavero de Tortuga marina ","https://es.wallapop.com/item/llavero-de-tortuga-marina-872757815","https://es.wallapop.com/app/chat?itemId=36exmrmggqzd"
"Lámpara colgante forma de ~ de 6 luces","https://es.wallapop.com/item/lampara-colgante-forma-de-de-6-luces-872757809","https://es.wallapop.com/app/chat?itemId=xzorw1woo4z9"
"Reebok club C talle 42","https://es.wallapop.com/item/reebok-club-c-talle-42-872757800","https://es.wallapop.com/app/chat?itemId=e65gdld22pjo"
"Cartilla de Racionamiento , 1951 ","https://es.wallapop.com/item/cartilla-de-racionamiento-1951-872758174","https://es.wallapop.com/app/chat?itemId=pzprxmxx1l63"
"4 ruedas con llantas 205/55 R16 91V ","https://es.wallapop.com/item/4-ruedas-con-llantas-205-55-r16-91v-872758168","https://es.wallapop.com/app/chat?itemId=wzy5g0gg7pj5"
"MMR GRIP aluminio talla M","https://es.wallapop.com/item/mmr-grip-aluminio-talla-m-872758170","https://es.wallapop.com/app/chat?itemId=8z84plppgd63"
"Remolque","https://es.wallapop.com/item/remolque-872758164","https://es.wallapop.com/app/chat?itemId=v6g23r331nze"
