"Название товара","Ссылка на продавца","Ссылка на чат"
"vendo guantes de futbol","https://es.wallapop.com/item/vendo-guantes-de-futbol-870682711","https://es.wallapop.com/app/chat?itemId=0j23o1nq0n6y"
"Honda CRF 450 2018","https://es.wallapop.com/item/honda-crf-450-2018-870683108","https://es.wallapop.com/app/chat?itemId=qzmy0o7vwlzv"
"Termo de leche ","https://es.wallapop.com/item/termo-de-leche-870683104","https://es.wallapop.com/app/chat?itemId=w67yn7xrl56x"
"Cadalso de los vidrios ","https://es.wallapop.com/item/cadalso-de-los-vidrios-870683086","https://es.wallapop.com/app/chat?itemId=4z412n0r2wzy"
"Ford Focus 2008","https://es.wallapop.com/item/ford-focus-2008-870683075","https://es.wallapop.com/app/chat?itemId=nz001wr21dzo"
"Sofá gris","https://es.wallapop.com/item/sofa-gris-870683058","https://es.wallapop.com/app/chat?itemId=8j3ek5p2o1z9"
"semi nuevamente","https://es.wallapop.com/item/semi-nuevamente-870683328","https://es.wallapop.com/app/chat?itemId=w67yn7xe886x"
"Colinia","https://es.wallapop.com/item/colinia-870683323","https://es.wallapop.com/app/chat?itemId=ejkknepd1yjx"
"HomePod mini","https://es.wallapop.com/item/homepod-mini-870683312","https://es.wallapop.com/app/chat?itemId=9jd21n8mgn6k"
"Lavabo","https://es.wallapop.com/item/lavabo-870683284","https://es.wallapop.com/app/chat?itemId=9jd21n8mo26k"
"Tenis Gucci","https://es.wallapop.com/item/tenis-gucci-870683265","https://es.wallapop.com/app/chat?itemId=wzvnd02k1qjl"
"mueble antiguo ","https://es.wallapop.com/item/mueble-antiguo-870683268","https://es.wallapop.com/app/chat?itemId=wzy5gxyo3vj5"
"fuente de alimentación de 1800 w ","https://es.wallapop.com/item/fuente-de-alimentacion-de-1800-w-870683234","https://es.wallapop.com/app/chat?itemId=8j3ek5p2nyz9"
"Abrigo ","https://es.wallapop.com/item/abrigo-870683228","https://es.wallapop.com/app/chat?itemId=w67yn7xr0w6x"
"Nike Air sportswear","https://es.wallapop.com/item/nike-air-sportswear-870683211","https://es.wallapop.com/app/chat?itemId=0j23o1ngvr6y"
"Nevera, lavadora y lavaplatos ","https://es.wallapop.com/item/nevera-lavadora-y-lavaplatos-870683210","https://es.wallapop.com/app/chat?itemId=8j3ek5p2qyz9"
"SAI 600va","https://es.wallapop.com/item/sai-600va-870683190","https://es.wallapop.com/app/chat?itemId=x6qd14vneqjy"
"Barras cortina metálicas ","https://es.wallapop.com/item/barras-cortina-metalicas-870683160","https://es.wallapop.com/app/chat?itemId=9jd21n8m0d6k"
"Pista Ninco formula 1 y accesorios","https://es.wallapop.com/item/pista-ninco-formula-1-y-accesorios-870682872","https://es.wallapop.com/app/chat?itemId=e65gdp7r8mjo"
"generador","https://es.wallapop.com/item/generador-870682876","https://es.wallapop.com/app/chat?itemId=w67yn7xr4y6x"
"Bota dr martens ","https://es.wallapop.com/item/bota-dr-martens-870682867","https://es.wallapop.com/app/chat?itemId=vjrrmo4prwjk"
"Pala de pádel ","https://es.wallapop.com/item/pala-de-padel-870682838","https://es.wallapop.com/app/chat?itemId=4z412n0rglzy"
"Asador aluminio fundido a estrenar.","https://es.wallapop.com/item/asador-aluminio-fundido-a-estrenar-870682825","https://es.wallapop.com/app/chat?itemId=mzn87owevgzn"
"COCHE ELECTRICO INFANTIL FEVER","https://es.wallapop.com/item/coche-electrico-infantil-fever-870682820","https://es.wallapop.com/app/chat?itemId=wzy5gxyon2j5"
"moneda Española ","https://es.wallapop.com/item/moneda-espanola-870682939","https://es.wallapop.com/app/chat?itemId=36exmp8o8yzd"
"Mesa de escritorio ","https://es.wallapop.com/item/mesa-de-escritorio-870682941","https://es.wallapop.com/app/chat?itemId=wzvnd02k21jl"
"cadenas para hielo y nieve.","https://es.wallapop.com/item/cadenas-para-hielo-y-nieve-870682942","https://es.wallapop.com/app/chat?itemId=x6qd14vnv5jy"
"base cama y colchón ","https://es.wallapop.com/item/base-cama-y-colchon-870682886","https://es.wallapop.com/app/chat?itemId=4z412n0relzy"
