"Название товара","Ссылка на продавца","Ссылка на чат"
"Camiseta play station talla M","https://es.wallapop.com/item/camiseta-play-station-talla-m-872876134","https://es.wallapop.com/app/chat?itemId=8j3ekl7m77z9"
"Zapatillas La Esportiva Ultra Raptor GTX","https://es.wallapop.com/item/zapatillas-la-esportiva-ultra-raptor-gtx-872876057","https://es.wallapop.com/app/chat?itemId=xzorw1ylp4z9"
"Conjunto de stich casi nuevo","https://es.wallapop.com/item/conjunto-de-stich-casi-nuevo-872876466","https://es.wallapop.com/app/chat?itemId=x6qd1o5y2ejy"
"Vestido flamenca ","https://es.wallapop.com/item/vestido-flamenca-872876227","https://es.wallapop.com/app/chat?itemId=nz001lnmmezo"
"zapatos de mujer nuevos","https://es.wallapop.com/item/zapatos-de-mujer-nuevos-872876904","https://es.wallapop.com/app/chat?itemId=w67ynlmgx86x"
"tacones","https://es.wallapop.com/item/tacones-872876900","https://es.wallapop.com/app/chat?itemId=e65gdlx3q0jo"
"Sandalias de tacon","https://es.wallapop.com/item/sandalias-de-tacon-872876612","https://es.wallapop.com/app/chat?itemId=9jd21ro7pl6k"
"Zapatos Jack&Jones ","https://es.wallapop.com/item/zapatos-jack-jones-872875893","https://es.wallapop.com/app/chat?itemId=3zl1p7v4xqjx"
"zapatos marrones mujer a esteenar","https://es.wallapop.com/item/zapatos-marrones-mujer-a-esteenar-872875840","https://es.wallapop.com/app/chat?itemId=v6g23rd0k5ze"
"botines de mujer","https://es.wallapop.com/item/botines-de-mujer-872875797","https://es.wallapop.com/app/chat?itemId=mzn87xrgoyzn"
"Chaqueta de cuadros ","https://es.wallapop.com/item/chaqueta-de-cuadros-872875725","https://es.wallapop.com/app/chat?itemId=mzn87xrg2yzn"
