"Название товара","Ссылка на продавца","Ссылка на чат"
"Mesilla , madera con puesta de cristales ","https://es.wallapop.com/item/mesilla-madera-con-puesta-de-cristales-872794516","https://es.wallapop.com/app/chat?itemId=v6g23r52p2ze"
"T.V","https://es.wallapop.com/item/t-v-872794409","https://es.wallapop.com/app/chat?itemId=xzorw1mrl4z9"
"bebecar sport","https://es.wallapop.com/item/bebecar-sport-872795189","https://es.wallapop.com/app/chat?itemId=wzvnd5e4k4jl"
"historia de españa.  54 libros de historia ","https://es.wallapop.com/item/historia-de-espana-54-libros-de-historia-872794141","https://es.wallapop.com/app/chat?itemId=wzvnd5el5djl"
"Garmin epix 2 zafiro","https://es.wallapop.com/item/garmin-epix-2-zafiro-872794186","https://es.wallapop.com/app/chat?itemId=4z412l9g9rzy"
"Neceser","https://es.wallapop.com/item/neceser-872794659","https://es.wallapop.com/app/chat?itemId=0j23ol23kr6y"
"Movil Samsung ","https://es.wallapop.com/item/movil-872794638","https://es.wallapop.com/app/chat?itemId=4z412l91k8zy"
"LEGO-3 in 1 Creator","https://es.wallapop.com/item/lego-3-in-1-creator-872794631","https://es.wallapop.com/app/chat?itemId=p61yml3yex65"
"Zapatillas futbol multitacos.","https://es.wallapop.com/item/zapatillas-futbol-multitacos-872794469","https://es.wallapop.com/app/chat?itemId=3zl1p7w118jx"
"baby arsenal kit ","https://es.wallapop.com/item/baby-arsenal-kit-872794449","https://es.wallapop.com/app/chat?itemId=mzn87x18v0zn"
"Redmi A1 ","https://es.wallapop.com/item/redmi-a1-872794702","https://es.wallapop.com/app/chat?itemId=pzprxmorxl63"
"Pata de arranque ","https://es.wallapop.com/item/pata-de-arranque-872795056","https://es.wallapop.com/app/chat?itemId=qzmy0wxeyxzv"
"Análisis de audiencias y estrategia de visibilidad","https://es.wallapop.com/item/analisis-de-audiencias-y-estrategia-de-visibilidad-872794256","https://es.wallapop.com/app/chat?itemId=qzmy0wx35ozv"
"Cafetera ","https://es.wallapop.com/item/cafetera-872794385","https://es.wallapop.com/app/chat?itemId=pj950lp5d2ze"
"Altavoces ","https://es.wallapop.com/item/altavoces-872794379","https://es.wallapop.com/app/chat?itemId=p61yml3y9d65"
"Lámpara love ","https://es.wallapop.com/item/lampara-love-872794354","https://es.wallapop.com/app/chat?itemId=nzx0gpny3mz2"
"Placa adaptadora Patrol zd30 a BMW M57","https://es.wallapop.com/item/placa-adaptadora-patrol-zd30-a-bmw-m57-872794341","https://es.wallapop.com/app/chat?itemId=wzvnd5elw1jl"
"Estanteria 6 escritorio","https://es.wallapop.com/item/estanteria-6-escritorio-872794911","https://es.wallapop.com/app/chat?itemId=0j23ol230d6y"
"Auriculares con Micrófono. ","https://es.wallapop.com/item/auriculares-con-microfono-872794882","https://es.wallapop.com/app/chat?itemId=8j3eklde02z9"
"Jarrón La Cartuja de Sevilla ","https://es.wallapop.com/item/jarron-la-cartuja-de-sevilla-872794869","https://es.wallapop.com/app/chat?itemId=3zl1p7w1lqjx"
"Goyesca","https://es.wallapop.com/item/goyesca-872794019","https://es.wallapop.com/app/chat?itemId=vjrrm3291xjk"
"Cuidadora persona mayor o canguro","https://es.wallapop.com/item/cuidadora-persona-mayor-o-canguro-872794010","https://es.wallapop.com/app/chat?itemId=8j3ekldxryz9"
"Perchas acero pantalón/falda","https://es.wallapop.com/item/perchas-acero-pantalon-falda-872794748","https://es.wallapop.com/app/chat?itemId=e65gdlkg50jo"
"Boss Dr Groove dr-202","https://es.wallapop.com/item/boss-dr-groove-dr-202-872794732","https://es.wallapop.com/app/chat?itemId=qzmy0wxy8yzv"
"Mitos Balon de Oro Benzema","https://es.wallapop.com/item/mitos-balon-de-oro-benzema-872794717","https://es.wallapop.com/app/chat?itemId=wzvnd5en5djl"
"Televisor Samsung 32"" de salón negra ","https://es.wallapop.com/item/televisor-samsung-32-de-salon-negra-872794095","https://es.wallapop.com/app/chat?itemId=ejkkn079wqjx"
"Chaqueta Adidas ","https://es.wallapop.com/item/chaqueta-adidas-872794088","https://es.wallapop.com/app/chat?itemId=v6g23r51n7ze"
"mesa redonda extensible","https://es.wallapop.com/item/mesa-redonda-extensible-872794073","https://es.wallapop.com/app/chat?itemId=mzn87x1vpkzn"
"Smartwatch T500 plus serie 6","https://es.wallapop.com/item/smartwatch-t500-plus-serie-6-872793844","https://es.wallapop.com/app/chat?itemId=wzy5g0p7n5j5"
"botas ski","https://es.wallapop.com/item/botas-sky-872793836","https://es.wallapop.com/app/chat?itemId=9jd21r95xl6k"
"Andador ","https://es.wallapop.com/item/andador-872794764","https://es.wallapop.com/app/chat?itemId=v6g23r525nze"
"Laser bicolor JB Systems","https://es.wallapop.com/item/laser-bicolor-jb-systems-872794223","https://es.wallapop.com/app/chat?itemId=ejkkn07931jx"
"Iphone 7","https://es.wallapop.com/item/iphone-7-872794216","https://es.wallapop.com/app/chat?itemId=v6g23r51x5ze"
"read dead redemption 2","https://es.wallapop.com/item/read-dead-redemption-2-872794618","https://es.wallapop.com/app/chat?itemId=x6qd1o3dnnjy"
"nevera nueva","https://es.wallapop.com/item/nevera-nueva-872794614","https://es.wallapop.com/app/chat?itemId=4z412l91r8zy"
"Decoración rústico ","https://es.wallapop.com/item/decoracion-rustico-872794311","https://es.wallapop.com/app/chat?itemId=0j23ol2rpd6y"
"juego de mancuernas 20 kilos","https://es.wallapop.com/item/juego-de-mancuernas-20-kilos-872794288","https://es.wallapop.com/app/chat?itemId=v6g23r51l5ze"
