"Название товара","Ссылка на продавца","Ссылка на чат"
"Libro de romántica paranormal","https://es.wallapop.com/item/libro-de-romantica-paranormal-870529832","https://es.wallapop.com/app/chat?itemId=qzmy07lo1ozv"
"Cabecero y mesilla ","https://es.wallapop.com/item/cabecero-y-mesilla-870529823","https://es.wallapop.com/app/chat?itemId=ejkknpler1jx"
"zapatos ""nike"" ","https://es.wallapop.com/item/zapatos-nike-870529814","https://es.wallapop.com/app/chat?itemId=4z4120pnklzy"
"Peluche Tortuga Amigrumi","https://es.wallapop.com/item/peluche-tortuga-amigrumi-870530066","https://es.wallapop.com/app/chat?itemId=x6qd1v045yjy"
"wardrobe","https://es.wallapop.com/item/wardrobe-870530060","https://es.wallapop.com/app/chat?itemId=9jd218ln3l6k"
"fofucha","https://es.wallapop.com/item/fofucha-870530062","https://es.wallapop.com/app/chat?itemId=4z4120pn7wzy"
"Sudadera","https://es.wallapop.com/item/sudadera-870530049","https://es.wallapop.com/app/chat?itemId=mzn87w5oy0zn"
"REVOCADORAS TIGRE ","https://es.wallapop.com/item/revocadoras-tigre-870529119","https://es.wallapop.com/app/chat?itemId=vjrrm474e8jk"
"meble maquina de coser antigua","https://es.wallapop.com/item/meble-maquina-de-coser-antigua-870529117","https://es.wallapop.com/app/chat?itemId=wzvnd2m2gdjl"
"Reloj Huawei GT3","https://es.wallapop.com/item/reloj-huawei-gt3-870529110","https://es.wallapop.com/app/chat?itemId=8j3ekpnp88z9"
"lote de ropa","https://es.wallapop.com/item/lote-de-ropa-870529267","https://es.wallapop.com/app/chat?itemId=vjrrm474vwjk"
"Reloj cronografo Martyn Line","https://es.wallapop.com/item/reloj-cronografo-martyn-line-870529266","https://es.wallapop.com/app/chat?itemId=x6qd1v0v2ejy"
"Canapé ","https://es.wallapop.com/item/canape-870529263","https://es.wallapop.com/app/chat?itemId=36exm8l8gkzd"
"Abogados penalistas. Asistencia al detenido ","https://es.wallapop.com/item/abogados-penalistas-asistencia-al-detenido-870529255","https://es.wallapop.com/app/chat?itemId=p61ym5r51565"
"Goma con Forma de Lápiz Mars Rasor STAEDTLER","https://es.wallapop.com/item/goma-con-forma-de-lapiz-mars-rasor-staedtler-870529727","https://es.wallapop.com/app/chat?itemId=nz001rqwr7zo"
"Les urpes del diable","https://es.wallapop.com/item/les-urpes-del-diable-870529400","https://es.wallapop.com/app/chat?itemId=e65gd707opjo"
"Zapatillas de deporte Adidas","https://es.wallapop.com/item/zapatillas-de-deporte-adidas-870529399","https://es.wallapop.com/app/chat?itemId=nz001rqrkrzo"
"PATINETE OXELO ","https://es.wallapop.com/item/patinete-oxelo-870529389","https://es.wallapop.com/app/chat?itemId=wzvnd2m271jl"
"Protector para iPhone 11 Pro ","https://es.wallapop.com/item/protector-para-iphone-11-pro-870529314","https://es.wallapop.com/app/chat?itemId=4z4120p0lmzy"
"CHOLLO cabeceros de madera de pino","https://es.wallapop.com/item/chollo-cabeceros-de-madera-de-pino-870529317","https://es.wallapop.com/app/chat?itemId=wzvnd2m251jl"
"Read Dead Redemption II","https://es.wallapop.com/item/read-dead-redemption-ii-870529309","https://es.wallapop.com/app/chat?itemId=xzorwxnx1wz9"
"Mesa de Cristal + 6 sillas CONTRAREEMBOLSO","https://es.wallapop.com/item/mesa-de-cristal---6-sillas-contrareembolso-870529626","https://es.wallapop.com/app/chat?itemId=pzprxdpg1463"
"Somier con colchón de regalo, urge!","https://es.wallapop.com/item/somier-con-colchon-de-regalo-urge-870529593","https://es.wallapop.com/app/chat?itemId=3zl1p0lkgnjx"
"Alfombra","https://es.wallapop.com/item/alfombra-870529590","https://es.wallapop.com/app/chat?itemId=x6qd1v04yqjy"
"pala","https://es.wallapop.com/item/pala-870529579","https://es.wallapop.com/app/chat?itemId=p61ym5rkvg65"
"mis clásicos de siempre ","https://es.wallapop.com/item/mis-clasicos-de-siempre-870529566","https://es.wallapop.com/app/chat?itemId=x6qd1v04kqjy"
"Silla infantil Ikea INGOLF blanco ","https://es.wallapop.com/item/silla-infantil-ikea-ingolf-blanco-870529454","https://es.wallapop.com/app/chat?itemId=nzx0grkrkpz2"
"Grabado. Cuadro enmarcado","https://es.wallapop.com/item/grabado-cuadro-enmarcado-870529178","https://es.wallapop.com/app/chat?itemId=nzx0grkrq5z2"
"abrigo geographical norway","https://es.wallapop.com/item/abrigo-geographical-norway-870529180","https://es.wallapop.com/app/chat?itemId=qzmy07l7pyzv"
"Samsung A32 5G ","https://es.wallapop.com/item/samsung-a32-5g-870530150","https://es.wallapop.com/app/chat?itemId=pzprxdpwym63"
"Dispensador instantáneo de agua fría y caliente","https://es.wallapop.com/item/dispensador-instantaneo-de-agua-fria-y-caliente-870529677","https://es.wallapop.com/app/chat?itemId=qjwpg2o74kzo"
"Pantalón niño azul ","https://es.wallapop.com/item/pantalon-nino-azul-870529682","https://es.wallapop.com/app/chat?itemId=8j3ekpn58yz9"
"Gta 5 de Ps3","https://es.wallapop.com/item/gta-5-de-ps3-870529672","https://es.wallapop.com/app/chat?itemId=e65gd70p8kjo"
"Chaqueta North Face","https://es.wallapop.com/item/chaqueta-north-face-870529775","https://es.wallapop.com/app/chat?itemId=nz001rqwy7zo"
"falda free style","https://es.wallapop.com/item/falda-free-style-870529765","https://es.wallapop.com/app/chat?itemId=wzvnd2m0qdjl"
"Nike cortez hombre 42","https://es.wallapop.com/item/nike-cortez-hombre-42-870529216","https://es.wallapop.com/app/chat?itemId=v6g23olok5ze"
"Recibidor con espejo","https://es.wallapop.com/item/recibidor-con-espejo-870529215","https://es.wallapop.com/app/chat?itemId=36exm8l8okzd"
"Teclado Ajazz AK33","https://es.wallapop.com/item/teclado-ajazz-ak33-870529495","https://es.wallapop.com/app/chat?itemId=ejkknplpgpjx"
"Raquel ","https://es.wallapop.com/item/raquel-870529489","https://es.wallapop.com/app/chat?itemId=wzvnd2m2wrjl"
"Equipación infantil ","https://es.wallapop.com/item/equipacion-infantil-870529480","https://es.wallapop.com/app/chat?itemId=qzmy07l7rxzv"
"Zapatero ","https://es.wallapop.com/item/zapatero-870529861","https://es.wallapop.com/app/chat?itemId=pj950n1x00ze"
"Licorera de cristal con plata de ley ","https://es.wallapop.com/item/licorera-de-cristal-con-plata-de-ley-870529854","https://es.wallapop.com/app/chat?itemId=nzx0grkwgez2"
"palos y bolsa de golf","https://es.wallapop.com/item/palos-y-bolsa-de-golf-870529546","https://es.wallapop.com/app/chat?itemId=8z84p5xwvr63"
"Sony TV","https://es.wallapop.com/item/sony-tv-870529533","https://es.wallapop.com/app/chat?itemId=xzorwxnxe5z9"
"Tacones flamenca nuevas sin usar,n°23 ","https://es.wallapop.com/item/tacones-flamenca-nuevas-sin-usar-n23-870529524","https://es.wallapop.com/app/chat?itemId=e65gd70742jo"
"puede 500 pizas🧩","https://es.wallapop.com/item/puede-500-pizas-870530098","https://es.wallapop.com/app/chat?itemId=pzprxdpgv563"
"Mesa bajita Teca maziza","https://es.wallapop.com/item/mesa-bajita-teca-maziza-870530094","https://es.wallapop.com/app/chat?itemId=8z84p5xwy863"
"Mesa tele","https://es.wallapop.com/item/mesa-tele-870529999","https://es.wallapop.com/app/chat?itemId=nz001rqwerzo"
"Pack 2a guerra mundial","https://es.wallapop.com/item/pack-2a-guerra-mundial-870530206","https://es.wallapop.com/app/chat?itemId=nzx0grkqy1z2"
"Sofá cama","https://es.wallapop.com/item/sofa-cama-870530190","https://es.wallapop.com/app/chat?itemId=x6qd1v0x9qjy"
"Cuadro Carrera de caballo","https://es.wallapop.com/item/cuadro-carrera-de-caballo-870530184","https://es.wallapop.com/app/chat?itemId=9jd218le5d6k"
