"Название товара","Ссылка на продавца","Ссылка на чат"
"Nintendo 64","https://es.wallapop.com/item/nintendo-64-870691286","https://es.wallapop.com/app/chat?itemId=4z412nno5lzy"
"Plancha de Pelo en perfecto estado. ","https://es.wallapop.com/item/plancha-de-pelo-en-perfecto-estado-870691254","https://es.wallapop.com/app/chat?itemId=nzx0gwwd7ez2"
"Maquina de escribir","https://es.wallapop.com/item/maquina-de-escribir-870692427","https://es.wallapop.com/app/chat?itemId=nz001wwmevzo"
"Opel Corsa 2012","https://es.wallapop.com/item/opel-corsa-2012-870692396","https://es.wallapop.com/app/chat?itemId=e65gdppy10jo"
"Volswagen Golf 2.0 2005","https://es.wallapop.com/item/volswagen-golf-2-0-2005-870692397","https://es.wallapop.com/app/chat?itemId=mzn87oolkyzn"
"Scooter 50cc en perfecto estado ","https://es.wallapop.com/item/scooter-50cc-en-perfecto-estado-870692373","https://es.wallapop.com/app/chat?itemId=mzn87ool1yzn"
"Carrito bebé gemelar Mountain Buggy","https://es.wallapop.com/item/carrito-bebe-gemelar-mountain-buggy-870692481","https://es.wallapop.com/app/chat?itemId=xzorw33857z9"
"rulo ","https://es.wallapop.com/item/rulo-870693168","https://es.wallapop.com/app/chat?itemId=wzy5gxx5nej5"
"patinete skate flash 3 .0","https://es.wallapop.com/item/patinete-skate-flash-3-0-870693154","https://es.wallapop.com/app/chat?itemId=nzx0gww0lmz2"
"Galán de Noche Antiguo","https://es.wallapop.com/item/galan-de-noche-antiguo-870693149","https://es.wallapop.com/app/chat?itemId=mzn87oo8g2zn"
"calzado del corte ingles ","https://es.wallapop.com/item/calzado-del-corte-ingles-870691671","https://es.wallapop.com/app/chat?itemId=ejkkneexrqjx"
"Iphone 11","https://es.wallapop.com/item/iphone-11-870691643","https://es.wallapop.com/app/chat?itemId=vjrrmookpxjk"
"Cuadro pintado a mano.","https://es.wallapop.com/item/cuadro-pintado-a-mano-870692329","https://es.wallapop.com/app/chat?itemId=qjwpg77y8ezo"
"Mesa baja de salón ","https://es.wallapop.com/item/mesa-baja-de-salon-870692316","https://es.wallapop.com/app/chat?itemId=v6g23774rnze"
"Tv loewe","https://es.wallapop.com/item/tv-loewe-870692293","https://es.wallapop.com/app/chat?itemId=3zl1pkkgppjx"
"Tablet Lenovo","https://es.wallapop.com/item/tablet-lenovo-870693097","https://es.wallapop.com/app/chat?itemId=mzn87oov9gzn"
"muñeco antiguo","https://es.wallapop.com/item/muneco-antiguo-870693071","https://es.wallapop.com/app/chat?itemId=ejkknee9v1jx"
"Iphone 11 PRO de 64GB ","https://es.wallapop.com/item/iphone-11-pro-de-64gb-870693064","https://es.wallapop.com/app/chat?itemId=v6g2377195ze"
"Quit de reparación pinchazos, ","https://es.wallapop.com/item/quit-de-reparacion-pinchazos-870691081","https://es.wallapop.com/app/chat?itemId=xzorw33k0lz9"
"Camping Pod 2.4 x 3.0 m","https://es.wallapop.com/item/camping-pod-2-4-x-3-0-m-870691066","https://es.wallapop.com/app/chat?itemId=x6qd144lnnjy"
"2 cuadros espejo (Jack Daniel's - Smirnoff)","https://es.wallapop.com/item/2-cuadros-espejo-jack-daniel-s-smirnoff-870691064","https://es.wallapop.com/app/chat?itemId=v6g2377mk7ze"
"Vespa PX125 T5","https://es.wallapop.com/item/vespa-px125-t5-870691403","https://es.wallapop.com/app/chat?itemId=nz001wwg9dzo"
"SOFÁ CAMA CON CANAPÉ ","https://es.wallapop.com/item/sofa-cama-con-canape-870691379","https://es.wallapop.com/app/chat?itemId=p61ymkk9xd65"
"lámparas de salon","https://es.wallapop.com/item/lamparas-de-salon-870691378","https://es.wallapop.com/app/chat?itemId=nzx0gwwd3mz2"
"Consola ","https://es.wallapop.com/item/consola-870691371","https://es.wallapop.com/app/chat?itemId=ejkknee219jx"
"tablet Huawei","https://es.wallapop.com/item/tablet-huawei-870690982","https://es.wallapop.com/app/chat?itemId=8j3ek55v87z9"
"Ofrezco padrón en Barcelona ","https://es.wallapop.com/item/ofrezco-padron-en-barcelona-870690950","https://es.wallapop.com/app/chat?itemId=pzprxgg82m63"
"tabla de inversión ","https://es.wallapop.com/item/tabla-de-inversion-870690868","https://es.wallapop.com/app/chat?itemId=wzy5gxxen5j5"
"Poste de barbero luminoso y giratorio peluquería ","https://es.wallapop.com/item/poste-de-barbero-luminoso-y-giratorio-peluqueria-870690864","https://es.wallapop.com/app/chat?itemId=v6g2377m4mze"
"Mesa y cuatro sillas ","https://es.wallapop.com/item/mesa-y-cuatro-sillas-870691811","https://es.wallapop.com/app/chat?itemId=0j23o11w7e6y"
"Volkswagen Polo 2006","https://es.wallapop.com/item/volkswagen-polo-2006-870691759","https://es.wallapop.com/app/chat?itemId=0j23o11wdn6y"
"Arco Bodnik Slick Stick","https://es.wallapop.com/item/arco-bodnik-slick-stick-870692227","https://es.wallapop.com/app/chat?itemId=nz001wwm2ezo"
"Esterilizador","https://es.wallapop.com/item/esterilizador-870692195","https://es.wallapop.com/app/chat?itemId=ejkknee45rjx"
"Funda silla","https://es.wallapop.com/item/funda-silla-870692184","https://es.wallapop.com/app/chat?itemId=9jd21nn7ed6k"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-870692176","https://es.wallapop.com/app/chat?itemId=w67yn77d756x"
"Citroen C4 Picasso 2007","https://es.wallapop.com/item/citroen-c4-picasso-2007-870692178","https://es.wallapop.com/app/chat?itemId=nzx0gww5w7z2"
"Vestido Novia","https://es.wallapop.com/item/vestido-novia-870692618","https://es.wallapop.com/app/chat?itemId=x6qd14499yjy"
"Pesetas ","https://es.wallapop.com/item/pesetas-870692604","https://es.wallapop.com/app/chat?itemId=w67yn77gd96x"
"Bicicleta estática ","https://es.wallapop.com/item/bicicleta-estatica-870691958","https://es.wallapop.com/app/chat?itemId=8j3ek55m3lz9"
"DVD-VHS LG RC185","https://es.wallapop.com/item/dvd-vhs-lg-rc185-870692887","https://es.wallapop.com/app/chat?itemId=36exmppnr8zd"
