"Название товара","Ссылка на продавца","Ссылка на чат"
"Play Station 4","https://es.wallapop.com/item/play-station-4-871220159","https://es.wallapop.com/app/chat?itemId=0j23oq08mm6y"
"El Cuco De Cristal Javier Castillo ","https://es.wallapop.com/item/el-cuco-de-cristal-javier-castillo-871219943","https://es.wallapop.com/app/chat?itemId=vjrrm1ne3ljk"
"Tabla de surf","https://es.wallapop.com/item/tabla-de-surf-871218876","https://es.wallapop.com/app/chat?itemId=w67ynkmy296x"
"Se vende cama de hierro forjado","https://es.wallapop.com/item/se-vende-cama-de-hierro-forjado-871220084","https://es.wallapop.com/app/chat?itemId=9jd21eowll6k"
"canon EOS M200","https://es.wallapop.com/item/canon-eos-m200-871219142","https://es.wallapop.com/app/chat?itemId=x6qd1x5mmojy"
"Armario cama","https://es.wallapop.com/item/armario-cama-871220218","https://es.wallapop.com/app/chat?itemId=x6qd1x5vynjy"
"batería electrica","https://es.wallapop.com/item/bateria-electrica-871219349","https://es.wallapop.com/app/chat?itemId=mzn870r2x2zn"
"resident evil 4","https://es.wallapop.com/item/resident-evil-4-871219329","https://es.wallapop.com/app/chat?itemId=qjwpgqx4gqzo"
"Land Rover Discovery 2.5 TDI 1997 Diesel","https://es.wallapop.com/item/land-rover-discovery-2-5-tdi-1997-diesel-871219191","https://es.wallapop.com/app/chat?itemId=vjrrm1nq48jk"
"Bicicletas orbeas","https://es.wallapop.com/item/bicicletas-orbeas-871219273","https://es.wallapop.com/app/chat?itemId=mzn870r2pgzn"
"Juegos Antiguos PC","https://es.wallapop.com/item/juegos-antiguos-pc-871219464","https://es.wallapop.com/app/chat?itemId=v6g23edgymze"
"GasGas EC250 ","https://es.wallapop.com/item/gasgas-ec250-871219909","https://es.wallapop.com/app/chat?itemId=xzorw7ygwwz9"
"Baul de madera con relieves","https://es.wallapop.com/item/baul-de-madera-con-relieves-871219901","https://es.wallapop.com/app/chat?itemId=mzn870r372zn"
"Burro de ropa, perchero","https://es.wallapop.com/item/burro-de-ropa-perchero-871218918","https://es.wallapop.com/app/chat?itemId=x6qd1x5d0qjy"
"abrazos","https://es.wallapop.com/item/abrazos-871218915","https://es.wallapop.com/app/chat?itemId=36exme3xlnzd"
"Estación de barra de dominadas","https://es.wallapop.com/item/estacion-de-barra-de-dominadas-871220016","https://es.wallapop.com/app/chat?itemId=v6g23edpwmze"
