"Название товара","Ссылка на продавца","Ссылка на чат"
"Reparaciones electricas","https://es.wallapop.com/item/reparaciones-electricas-871175436","https://es.wallapop.com/app/chat?itemId=9jd21eyxn46k"
"Chipiona agenda abierta ","https://es.wallapop.com/item/chipiona-agenda-abierta-871174988","https://es.wallapop.com/app/chat?itemId=v6g23eym3lze"
"somier de 90*180 con patas ","https://es.wallapop.com/item/somier-de-90-180-con-patas-871174958","https://es.wallapop.com/app/chat?itemId=8j3ekrqvolz9"
"Letras M & A boda","https://es.wallapop.com/item/letras-m-a-boda-871174886","https://es.wallapop.com/app/chat?itemId=4z412q5oqlzy"
"Videograbadora Roadstar VCR-765 (VHS)","https://es.wallapop.com/item/videograbadora-roadstar-vcr-765-vhs-871174874","https://es.wallapop.com/app/chat?itemId=pzprxw08w963"
"Silla hoverboard SmartGyro sin estrenar","https://es.wallapop.com/item/silla-hoverboard-smartgyro-sin-estrenar-871175504","https://es.wallapop.com/app/chat?itemId=w67ynk03e76x"
"TV LG 49"" 4K ","https://es.wallapop.com/item/tv-lg-4k-871175227","https://es.wallapop.com/app/chat?itemId=nz001ye97ezo"
"BMW Serie 3 2004","https://es.wallapop.com/item/bmw-serie-3-2004-871175406","https://es.wallapop.com/app/chat?itemId=nzx0gq2lrez2"
"Cuna más colchón látex","https://es.wallapop.com/item/cuna-mas-colchon-latex-871175494","https://es.wallapop.com/app/chat?itemId=8z84p27qro63"
"Fiat Ducato Elnagh 47 D ","https://es.wallapop.com/item/fiat-ducato-elnagh-47-d-871174641","https://es.wallapop.com/app/chat?itemId=wzvndqpxxqjl"
"caña de pescar ","https://es.wallapop.com/item/cana-de-pescar-871174647","https://es.wallapop.com/app/chat?itemId=ejkkn5o11qjx"
"Terreno en venta","https://es.wallapop.com/item/terreno-en-venta-871174845","https://es.wallapop.com/app/chat?itemId=3zl1pnye0qjx"
"sillon OLARP","https://es.wallapop.com/item/sillon-olarp-871175294","https://es.wallapop.com/app/chat?itemId=8z84p27q1l63"
