"Название товара","Ссылка на продавца","Ссылка на чат"
"xiaomi mi tv p1e 65","https://es.wallapop.com/item/xiaomi-mi-tv-p1e-65-868497017","https://es.wallapop.com/app/chat?itemId=wzvndr7227jl"
"FOCUSRITE SCARLETT 2i2 3ª GENERACIÓN","https://es.wallapop.com/item/focusrite-scarlett-2i2-3-generacion-868499378","https://es.wallapop.com/app/chat?itemId=nzx0glx9m5z2"
"Chaleco de buceo Cressi, mujer talla M","https://es.wallapop.com/item/chaleco-de-buceo-cressi-mujer-talla-m-868499254","https://es.wallapop.com/app/chat?itemId=nzx0glx901z2"
"Patines ","https://es.wallapop.com/item/patines-868495809","https://es.wallapop.com/app/chat?itemId=xzorwl4227z9"
"nevera americana 290€ ","https://es.wallapop.com/item/nevera-americana-290-868495786","https://es.wallapop.com/app/chat?itemId=4z412yxe1rzy"
"Roner D","https://es.wallapop.com/item/roner-d-868499897","https://es.wallapop.com/app/chat?itemId=mzn87gkmwkzn"
"Vendo tablet","https://es.wallapop.com/item/vendo-tablet-868498536","https://es.wallapop.com/app/chat?itemId=9jd21x0egd6k"
"PALA TRACTOR TENIAS","https://es.wallapop.com/item/pala-tractor-tenias-868498502","https://es.wallapop.com/app/chat?itemId=pzprxyewnm63"
"PJ Mask ","https://es.wallapop.com/item/pj-mask-868498476","https://es.wallapop.com/app/chat?itemId=w67yn3okw96x"
"Casa en alquiler","https://es.wallapop.com/item/casa-en-alquiler-868498460","https://es.wallapop.com/app/chat?itemId=9jd21x0eyl6k"
"Peugeot 206","https://es.wallapop.com/item/peugeot-206-868496453","https://es.wallapop.com/app/chat?itemId=qjwpgewr74zo"
"Silla de ruedas Breezy premium.","https://es.wallapop.com/item/silla-de-ruedas-breezy-premium-868496924","https://es.wallapop.com/app/chat?itemId=e65gdv1730jo"
"Reloj hugo boss dorado","https://es.wallapop.com/item/reloj-hugo-boss-dorado-868497120","https://es.wallapop.com/app/chat?itemId=wzy5gl1yvej5"
"casco moto ","https://es.wallapop.com/item/casco-moto-868496150","https://es.wallapop.com/app/chat?itemId=pzprxye20m63"
"CAMA 160 X 200","https://es.wallapop.com/item/cama-160-x-200-868496129","https://es.wallapop.com/app/chat?itemId=qjwpgew40wzo"
"PLOTTER DE CORTE ROLAND GS-24","https://es.wallapop.com/item/plotter-de-corte-roland-gs-24-868496223","https://es.wallapop.com/app/chat?itemId=ejkknx38gqjx"
"Dyson Airwrap Complete Long 2022","https://es.wallapop.com/item/dyson-airwrap-complete-long-2022-868498733","https://es.wallapop.com/app/chat?itemId=xzorwl4dx2z9"
"Lampara antigua ","https://es.wallapop.com/item/lampara-antigua-868498688","https://es.wallapop.com/app/chat?itemId=v6g230xkg7ze"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-868498676","https://es.wallapop.com/app/chat?itemId=w67yn3oryw6x"
"Fular","https://es.wallapop.com/item/fular-868498068","https://es.wallapop.com/app/chat?itemId=wzy5gl1q7vj5"
"maquina de bordar","https://es.wallapop.com/item/maquina-de-bordar-868499734","https://es.wallapop.com/app/chat?itemId=8j3ekmwov7z9"
"Monedas de colección","https://es.wallapop.com/item/monedas-de-coleccion-868499700","https://es.wallapop.com/app/chat?itemId=e65gdv1e42jo"
"Jarras de cristal con tapa de corcho (280 Uds)","https://es.wallapop.com/item/jarras-de-cristal-con-tapa-de-corcho-280-uds-868499684","https://es.wallapop.com/app/chat?itemId=9jd21x0vol6k"
"Pestañas ","https://es.wallapop.com/item/pestanas-868499628","https://es.wallapop.com/app/chat?itemId=w67yn3oew96x"
"Jaula para pájaros ","https://es.wallapop.com/item/jaula-para-pajaros-868498216","https://es.wallapop.com/app/chat?itemId=v6g230xee5ze"
