"Название товара","Ссылка на продавца","Ссылка на чат"
"Cazadora Bomber Adidas XS","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2649503488-cazadora-bomber-adidas-xs","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649503488&receiver_id=130404448&ref_url=%2Fitems%2F2649503488%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130404448%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-bomber%252F2649503488-cazadora-bomber-adidas-xs%26source%3Dwantit%26subject%3Dwanted%253A%2BCazadora%2BBomber%2BAdidas%2BXS&source=wantit&subject=wanted%3A+Cazadora+Bomber+Adidas+XS"
"Cazadora negra pelo sin usar","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/vestes/vestes-matelassees-2596/2649503480-cazadora-negra-pelo-sin-usar","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649503480&receiver_id=61076592&ref_url=%2Fitems%2F2649503480%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D61076592%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fchaquetas%252Fchaquetas-acolchadas%252F2649503480-cazadora-negra-pelo-sin-usar%26source%3Dwantit%26subject%3Dwanted%253A%2BCazadora%2Bnegra%2Bpelo%2Bsin%2Busar&source=wantit&subject=wanted%3A+Cazadora+negra+pelo+sin+usar"
"Sudadera SikSilk","https://www.vinted.es/hommes/vetements/vetements-de-sport-and-accessoires/pulls-and-sweats/2649488926-sudadera-siksilk","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649488926&receiver_id=35070546&ref_url=%2Fitems%2F2649488926%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D35070546%26ref_url%3D%252Fhombre%252Fropa%252Fropa-y-accesorios-deportivos%252Fsudaderas-y-sueteres%252F2649488926-sudadera-siksilk%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2BSikSilk&source=wantit&subject=wanted%3A+Sudadera+SikSilk"
"Chaqueta pelo azul Zara","https://www.vinted.es/damen/kleidung/jacken-and-mantel/jacken/daunenjacken/2649488812-chaqueta-pelo-azul-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649488812&receiver_id=116042666&ref_url=%2Fitems%2F2649488812%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D116042666%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fchaquetas%252Fchaquetas-de-plumas%252F2649488812-chaqueta-pelo-azul-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bpelo%2Bazul%2BZara&source=wantit&subject=wanted%3A+Chaqueta+pelo+azul+Zara"
"Camiseta estampada ","https://www.vinted.es/hommes/vetements/hauts-and-tee-shirts/tee-shirts/t-shirts-imprimes/2649494611-camiseta-estampada","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649494611&receiver_id=30974136&ref_url=%2Fitems%2F2649494611%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D30974136%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-estampadas%252F2649494611-camiseta-estampada%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bestampada%2B&source=wantit&subject=wanted%3A+Camiseta+estampada+"
"Blazers de Zara","https://www.vinted.es/mulher/roupa/fatos-e-blazers/blazers/2649494570-blazers-de-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649494570&receiver_id=130577483&ref_url=%2Fitems%2F2649494570%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130577483%26ref_url%3D%252Fmujer%252Fropa%252Ftrajes-y-blazers%252Fblazers%252F2649494570-blazers-de-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BBlazers%2Bde%2BZara&source=wantit&subject=wanted%3A+Blazers+de+Zara"
"Guantes marrones","https://www.vinted.es/mujer/accesorios/guantes/2649499918-guantes-marrones","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649499918&receiver_id=130685054&ref_url=%2Fitems%2F2649499918%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130685054%26ref_url%3D%252Fmujer%252Faccesorios%252Fguantes%252F2649499918-guantes-marrones%26source%3Dwantit%26subject%3Dwanted%253A%2BGuantes%2Bmarrones&source=wantit&subject=wanted%3A+Guantes+marrones"
"Jersey lana Bershka ","https://www.vinted.es/hombre/ropa/jerseis-y-sudaderas/cuello-alto/2649499322-jersey-lana-bershka","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649499322&receiver_id=129834578&ref_url=%2Fitems%2F2649499322%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129834578%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fcuello-alto%252F2649499322-jersey-lana-bershka%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Blana%2BBershka%2B&source=wantit&subject=wanted%3A+Jersey+lana+Bershka+"
"Chaqueta Blauer","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/vestes/doudounes/2649499022-chaqueta-blauer","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649499022&receiver_id=83357828&ref_url=%2Fitems%2F2649499022%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D83357828%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-chaquetas%252Fchaquetas%252Fchaquetas-de-plumas%252F2649499022-chaqueta-blauer%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2BBlauer&source=wantit&subject=wanted%3A+Chaqueta+Blauer"
"Camiseta Ck ","https://www.vinted.es/hommes/vetements/hauts-and-tee-shirts/tee-shirts/t-shirts-unis/2649508738-camiseta-ck","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649508738&receiver_id=130706771&ref_url=%2Fitems%2F2649508738%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130706771%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-lisas%252F2649508738-camiseta-ck%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2BCk%2B&source=wantit&subject=wanted%3A+Camiseta+Ck+"
