"Название товара","Ссылка на продавца","Ссылка на чат"
"Sillas de comedor","https://es.wallapop.com/item/sillas-de-comedor-869991338","https://es.wallapop.com/app/chat?itemId=4z4128eq4vzy"
"empleo conserje , vigilante ","https://es.wallapop.com/item/empleo-conserje-vigilante-869990787","https://es.wallapop.com/app/chat?itemId=36exm51p4nzd"
"bomba y filtro de arena para piscina","https://es.wallapop.com/item/bomba-y-filtro-de-arena-para-piscina-869991202","https://es.wallapop.com/app/chat?itemId=pzprxk2ww563"
"Mueble comedor ","https://es.wallapop.com/item/mueble-comedor-869991058","https://es.wallapop.com/app/chat?itemId=8j3ek84rx2z9"
"mesa y sillas comedor","https://es.wallapop.com/item/mesa-y-sillas-comedor-869991059","https://es.wallapop.com/app/chat?itemId=0j23o84qre6y"
"Se vende REGGIE ROCKER BLACK","https://es.wallapop.com/item/se-vende-reggie-rocker-black-869990775","https://es.wallapop.com/app/chat?itemId=nz00184w33zo"
"Botas motocross","https://es.wallapop.com/item/botas-motocross-869990415","https://es.wallapop.com/app/chat?itemId=36exm51p9kzd"
"ELECTRICISTA 603672609","https://es.wallapop.com/item/electricista-603672609-869991147","https://es.wallapop.com/app/chat?itemId=ejkknm85p9jx"
"Busco Empleo ","https://es.wallapop.com/item/busco-empleo-869990672","https://es.wallapop.com/app/chat?itemId=e65gdq8pepjo"
"PS3","https://es.wallapop.com/item/ps3-869991016","https://es.wallapop.com/app/chat?itemId=v6g23pge05ze"
