"Название товара","Ссылка на продавца","Ссылка на чат"
"Bambas baloncesto ","https://es.wallapop.com/item/bambas-baloncesto-868452789","https://es.wallapop.com/app/chat?itemId=wzvndr5yv1jl"
"Pijamas y Zapatillas Nuevo ","https://es.wallapop.com/item/pijamas-y-zapatillas-nuevo-868453624","https://es.wallapop.com/app/chat?itemId=e65gdvl34kjo"
"traje de gitana","https://es.wallapop.com/item/traje-de-gitana-868452700","https://es.wallapop.com/app/chat?itemId=e65gdvly9gjo"
"Caja láminas malosi","https://es.wallapop.com/item/caja-laminas-malosi-868453194","https://es.wallapop.com/app/chat?itemId=8z84pqlgkd63"
"Vendo xiaomi NUEVA CON GARANTIA","https://es.wallapop.com/item/vendo-xiaomi-nueva-con-garantia-868451827","https://es.wallapop.com/app/chat?itemId=nz001gl9qezo"
"Mesa de comedor ","https://es.wallapop.com/item/mesa-de-comedor-868452383","https://es.wallapop.com/app/chat?itemId=0j23owlwvm6y"
"Casa en alquiler","https://es.wallapop.com/item/casa-en-alquiler-868452825","https://es.wallapop.com/app/chat?itemId=mzn87gxlx0zn"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-868452464","https://es.wallapop.com/app/chat?itemId=v6g230r087ze"
"Abrigo marrón bershka","https://es.wallapop.com/item/abrigo-marron-bershka-868453940","https://es.wallapop.com/app/chat?itemId=v6g230r2nlze"
"Máquina ""MOSER"" de cortar pelo. ","https://es.wallapop.com/item/maquina-moser-de-cortar-pelo-868453662","https://es.wallapop.com/app/chat?itemId=4z412yl1y8zy"
"WWE","https://es.wallapop.com/item/wwe-868453939","https://es.wallapop.com/app/chat?itemId=36exmdrxgyzd"
"redmi 9 A","https://es.wallapop.com/item/redmi-9-a-868453522","https://es.wallapop.com/app/chat?itemId=8z84pqlg7r63"
"IPHONE XR","https://es.wallapop.com/item/iphone-xr-868453758","https://es.wallapop.com/app/chat?itemId=8j3ekmle48z9"
"Riñonera fila ","https://es.wallapop.com/item/rinonera-fila-868453279","https://es.wallapop.com/app/chat?itemId=p61ymvl7q565"
"Funko Pop LADY SIF","https://es.wallapop.com/item/funko-pop-lady-sif-868453615","https://es.wallapop.com/app/chat?itemId=36exmdrnq8zd"
"Xiaomi redmi 9c ","https://es.wallapop.com/item/xiaomi-redmi-9c-868451920","https://es.wallapop.com/app/chat?itemId=wzy5gl0lepj5"
"vendo televisor grande ","https://es.wallapop.com/item/vendo-televisor-grande-868452138","https://es.wallapop.com/app/chat?itemId=4z412ylyqmzy"
"Impresora HP deskjet 3750","https://es.wallapop.com/item/impresora-hp-deskjet-3750-868453841","https://es.wallapop.com/app/chat?itemId=wzvndr5n07jl"
"TELEVISOR LCD PANASONIC TX-L39E6E","https://es.wallapop.com/item/televisor-lcd-panasonic-tx-l39e6e-868452816","https://es.wallapop.com/app/chat?itemId=v6g230r4rmze"
"Zapatillas New Balance 574","https://es.wallapop.com/item/zapatillas-new-balance-574-868452136","https://es.wallapop.com/app/chat?itemId=9jd21xrxe96k"
"Anorak ","https://es.wallapop.com/item/anorak-868452127","https://es.wallapop.com/app/chat?itemId=nz001glgyrzo"
"cerrajero económico! 681800956","https://es.wallapop.com/item/cerrajero-economico-681800956-868453925","https://es.wallapop.com/app/chat?itemId=mzn87gx8m2zn"
"Auriculares i7","https://es.wallapop.com/item/auriculares-i7-868453605","https://es.wallapop.com/app/chat?itemId=qjwpgendxkzo"
"vendo garrafas de aguaservice de 20 litros","https://es.wallapop.com/item/vendo-garrafas-de-aguaservice-de-20-litros-868451821","https://es.wallapop.com/app/chat?itemId=3zl1p47elpjx"
"Abrigo FCB nike","https://es.wallapop.com/item/abrigo-fcb-nike-868452771","https://es.wallapop.com/app/chat?itemId=ejkknx04w9jx"
"estética ","https://es.wallapop.com/item/estetica-868452722","https://es.wallapop.com/app/chat?itemId=8z84pql1r163"
"Envasadora al vacío ","https://es.wallapop.com/item/envasadora-al-vacio-868451719","https://es.wallapop.com/app/chat?itemId=vjrrmk3y24jk"
"BOTAS DE FÚTBOL 42","https://es.wallapop.com/item/botas-de-futbol-42-868453465","https://es.wallapop.com/app/chat?itemId=wzvndr5l7rjl"
"Zapatillas New Balance 574","https://es.wallapop.com/item/zapatillas-new-balance-574-868453919","https://es.wallapop.com/app/chat?itemId=vjrrmk3rxljk"
"conjunto de carros y artículos de bebe","https://es.wallapop.com/item/conjunto-de-carros-y-articulos-de-bebe-868452548","https://es.wallapop.com/app/chat?itemId=e65gdvlyy0jo"
"Calentador Electrico. ","https://es.wallapop.com/item/calentador-electrico-868452634","https://es.wallapop.com/app/chat?itemId=8j3ekmly82z9"
"Protector de pantalla xiaomi s1","https://es.wallapop.com/item/protector-de-pantalla-xiaomi-s1-868453507","https://es.wallapop.com/app/chat?itemId=p61ymvl7wg65"
"VENDO TAQUILLERO DE 32 CASILLAS, BUEN ESTADO. ","https://es.wallapop.com/item/vendo-taquillero-de-32-casillas-buen-estado-868453644","https://es.wallapop.com/app/chat?itemId=wzy5gl05evj5"
"servicio de cerrajería! 681800956","https://es.wallapop.com/item/servicio-de-cerrajeria-681800956-868452133","https://es.wallapop.com/app/chat?itemId=xzorwl1l7wz9"
"MacBook Pro (Retina 15 pulgadas)","https://es.wallapop.com/item/macbook-pro-retina-15-pulgadas-868452726","https://es.wallapop.com/app/chat?itemId=pzprxym95k63"
"mueble  salón  ","https://es.wallapop.com/item/mueble-salon-868452260","https://es.wallapop.com/app/chat?itemId=9jd21xrxrl6k"
"bici ","https://es.wallapop.com/item/bici-868452810","https://es.wallapop.com/app/chat?itemId=8j3ekmlyk1z9"
"Mesita de noche","https://es.wallapop.com/item/mesita-de-noche-868452628","https://es.wallapop.com/app/chat?itemId=w67yn3ldvy6x"
"smart tv xiaomi 32"" ","https://es.wallapop.com/item/smart-tv-xiaomi-32-868452129","https://es.wallapop.com/app/chat?itemId=qjwpgeneqqzo"
"Calculadora científica ","https://es.wallapop.com/item/calculadora-cientifica-868452713","https://es.wallapop.com/app/chat?itemId=pj950klyv2ze"
"mesa ","https://es.wallapop.com/item/mesa-868451904","https://es.wallapop.com/app/chat?itemId=w67yn3l3886x"
"vendo FIFA 2023 XBOX SERIES X ","https://es.wallapop.com/item/vendo-fifa-2023-xbox-series-x-868453593","https://es.wallapop.com/app/chat?itemId=3zl1p479vnjx"
"Zapatillas dr Adidas ","https://es.wallapop.com/item/zapatillas-dr-adidas-868453586","https://es.wallapop.com/app/chat?itemId=4z412ylgwvzy"
"Zarapatillas multas ( 41 )","https://es.wallapop.com/item/zarapatillas-multas-41-868453822","https://es.wallapop.com/app/chat?itemId=8z84pql45o63"
"Bicicleta Estática Spinning Kettler Racer","https://es.wallapop.com/item/bicicleta-estatica-spinning-kettler-racer-868453494","https://es.wallapop.com/app/chat?itemId=8z84pqlgd863"
"Anorak negro","https://es.wallapop.com/item/anorak-negro-868451809","https://es.wallapop.com/app/chat?itemId=xzorwl1knlz9"
"Mueble salón ","https://es.wallapop.com/item/mueble-salon-868453169","https://es.wallapop.com/app/chat?itemId=3zl1p47912jx"
"¡Phone XR","https://es.wallapop.com/item/phone-xr-868452665","https://es.wallapop.com/app/chat?itemId=wzvndr5y27jl"
"iPhone 11 64gb","https://es.wallapop.com/item/iphone-11-64gb-868453824","https://es.wallapop.com/app/chat?itemId=e65gdvlgpmjo"
"Redmi Note 9 ","https://es.wallapop.com/item/redmi-note-9-868453349","https://es.wallapop.com/app/chat?itemId=mzn87gxvm2zn"
"redmi en perfecto estado","https://es.wallapop.com/item/redmi-en-perfecto-estado-868452798","https://es.wallapop.com/app/chat?itemId=pzprxym9xk63"
