"Название товара","Ссылка на продавца","Ссылка на чат"
"VENDO SOFÁ ","https://es.wallapop.com/item/vendo-sofa-869484659","https://es.wallapop.com/app/chat?itemId=0j23o327me6y"
"trek top fuel 8","https://es.wallapop.com/item/trek-top-fuel-8-869484753","https://es.wallapop.com/app/chat?itemId=qjwpgp50dqzo"
"iPhone 13 128g","https://es.wallapop.com/item/iphone-13-869484643","https://es.wallapop.com/app/chat?itemId=vjrrmr25nwjk"
"Cuadro Ikea bjotskta: La creación de Adan","https://es.wallapop.com/item/cuadro-ikea-bjotskta-la-creacion-de-adan-869485142","https://es.wallapop.com/app/chat?itemId=x6qd1d3e7ojy"
"Vendo","https://es.wallapop.com/item/vendo-869484978","https://es.wallapop.com/app/chat?itemId=nzx0g0n7v7z2"
"bicicleta eleptica","https://es.wallapop.com/item/bicicleta-eleptica-869483941","https://es.wallapop.com/app/chat?itemId=wzvndnee7djl"
"Conjuntos Mayoral","https://es.wallapop.com/item/conjuntos-mayoral-869485426","https://es.wallapop.com/app/chat?itemId=pzprxro0d563"
"Isabel Marant","https://es.wallapop.com/item/isabel-marant-869485588","https://es.wallapop.com/app/chat?itemId=v6g2325yr2ze"
"Colchón Viscoelástico Viscoprix 105 x 200","https://es.wallapop.com/item/colchon-viscoelastico-viscoprix-105-x-200-869485220","https://es.wallapop.com/app/chat?itemId=wzy5g5pwm2j5"
"Citroen Xsara 2006","https://es.wallapop.com/item/citroen-xsara-2006-869484345","https://es.wallapop.com/app/chat?itemId=3zl1p1w2dnjx"
"Auxiliar control e información. cep","https://es.wallapop.com/item/auxiliar-control-e-informacion-cep-869485058","https://es.wallapop.com/app/chat?itemId=8j3eked1dyz9"
"Lampara de escritorio","https://es.wallapop.com/item/lampara-de-escritorio-869485473","https://es.wallapop.com/app/chat?itemId=mzn8781n00zn"
"iPhone XS 64gb","https://es.wallapop.com/item/iphone-xs-64gb-869485457","https://es.wallapop.com/app/chat?itemId=xzorwrmp34z9"
"Collar, gargantilla","https://es.wallapop.com/item/collar-gargantilla-869483858","https://es.wallapop.com/app/chat?itemId=8j3ekeddlyz9"
"2 zapatillas Airforce 1","https://es.wallapop.com/item/2-zapatillas-airforce-1-869484921","https://es.wallapop.com/app/chat?itemId=3zl1p1w3dnjx"
"Tabla de snowboard","https://es.wallapop.com/item/tabla-de-snowboard-869484914","https://es.wallapop.com/app/chat?itemId=4z41219mrvzy"
"Aparador HEMNES","https://es.wallapop.com/item/aparador-hemnes-869485104","https://es.wallapop.com/app/chat?itemId=w67yny52286x"
"Mueble recibidor","https://es.wallapop.com/item/mueble-recibidor-869485086","https://es.wallapop.com/app/chat?itemId=4z41219mx8zy"
"Cómoda blanca IKEA MALM ","https://es.wallapop.com/item/comoda-blanca-ikea-malm-869485637","https://es.wallapop.com/app/chat?itemId=pj9505pwpmze"
"Iphone 13 leather case ","https://es.wallapop.com/item/iphone-13-leather-case-869485559","https://es.wallapop.com/app/chat?itemId=0j23o32vkm6y"
"Bicicleta Gravel GV10 Full Carbono NUEVA","https://es.wallapop.com/item/bicicleta-gravel-gv10-full-carbono-nueva-869485556","https://es.wallapop.com/app/chat?itemId=qzmy0yx51lzv"
