"Название товара","Ссылка на продавца","Ссылка на чат"
"Sudadera Philipp Plein","https://es.wallapop.com/item/sudadera-philipp-plein-870747146","https://es.wallapop.com/app/chat?itemId=8z84pw9q7163"
"Swetter Zara ","https://es.wallapop.com/item/swetter-zara-870747759","https://es.wallapop.com/app/chat?itemId=0j23o1ky5d6y"
"Rocío López calle Don divorcio Daimiel Daimiel","https://es.wallapop.com/item/rocio-lopez-calle-don-divorcio-daimiel-daimiel-870747574","https://es.wallapop.com/app/chat?itemId=pzprxg393l63"
"Plancha Rowenta Steamforce 2750W","https://es.wallapop.com/item/plancha-rowenta-steamforce-2750w-870747189","https://es.wallapop.com/app/chat?itemId=wzvnd0vrm1jl"
"Pintura gris ","https://es.wallapop.com/item/pintura-gris-870747247","https://es.wallapop.com/app/chat?itemId=ejkknewx1pjx"
"Altavoces Sony ","https://es.wallapop.com/item/altavoces-sony-870747241","https://es.wallapop.com/app/chat?itemId=wzvnd0vrxrjl"
"Peugeot Partner 2006","https://es.wallapop.com/item/peugeot-partner-2006-870746720","https://es.wallapop.com/app/chat?itemId=wzy5gxvllxj5"
"Silla Gamer Infiniton Roja","https://es.wallapop.com/item/silla-gamer-infiniton-roja-870747399","https://es.wallapop.com/app/chat?itemId=nz001wxm43zo"
"La belle le parfum Jean Paul Gaultier","https://es.wallapop.com/item/la-belle-le-parfum-jean-paul-gaultier-870747393","https://es.wallapop.com/app/chat?itemId=3zl1pkxg8njx"
"GDH gold , plancha de pelo profesional sin usar","https://es.wallapop.com/item/gdh-gold-plancha-de-pelo-profesional-sin-usar-870747503","https://es.wallapop.com/app/chat?itemId=nz001wxmy7zo"
"Plancha + Rizador + Maletín + Complementos ","https://es.wallapop.com/item/plancha---rizador---maletin---complementos-870746792","https://es.wallapop.com/app/chat?itemId=wzy5gxvl5xj5"
"vendo movil","https://es.wallapop.com/item/vendo-movil-870746779","https://es.wallapop.com/app/chat?itemId=p61ymk1v7g65"
"Camiseta Calvin Klein","https://es.wallapop.com/item/camiseta-calvin-klein-870746767","https://es.wallapop.com/app/chat?itemId=vjrrmovk94jk"
"Botas de montar en moto","https://es.wallapop.com/item/botas-de-montar-en-moto-870746756","https://es.wallapop.com/app/chat?itemId=qzmy0o194lzv"
"Sofá 200cm con chaiselong","https://es.wallapop.com/item/sofa-200cm-con-chaiselong-870747692","https://es.wallapop.com/app/chat?itemId=wzy5gxvn12j5"
"calefactor","https://es.wallapop.com/item/calefactor-870747671","https://es.wallapop.com/app/chat?itemId=ejkknew471jx"
"Pantalón de campana negro ","https://es.wallapop.com/item/pantalon-de-campana-negro-870746844","https://es.wallapop.com/app/chat?itemId=wzy5gxvlrvj5"
"Orovida - Yael Guiladi","https://es.wallapop.com/item/orovida-yael-guiladi-870746840","https://es.wallapop.com/app/chat?itemId=v6g237n0p7ze"
"iPhone ","https://es.wallapop.com/item/iphone-870746646","https://es.wallapop.com/app/chat?itemId=8z84pw9vo863"
"BICI ROCKRIDER","https://es.wallapop.com/item/bici-rockrider-870746626","https://es.wallapop.com/app/chat?itemId=pzprxg38n563"
"Limpieza ","https://es.wallapop.com/item/limpieza-870747337","https://es.wallapop.com/app/chat?itemId=pj950xqygkze"
"Banco descalzador perchero x 2","https://es.wallapop.com/item/banco-descalzador-perchero-x-2-870747326","https://es.wallapop.com/app/chat?itemId=pzprxg399m63"
"Saco de boxeo","https://es.wallapop.com/item/saco-de-boxeo-870747748","https://es.wallapop.com/app/chat?itemId=e65gdp2y0gjo"
"Comedor","https://es.wallapop.com/item/comedor-870747741","https://es.wallapop.com/app/chat?itemId=wzvnd0vyo1jl"
"Vintage Smoking","https://es.wallapop.com/item/vintage-smoking-870747742","https://es.wallapop.com/app/chat?itemId=x6qd142y75jy"
"mini dron con camara","https://es.wallapop.com/item/mini-dron-con-camara-870747732","https://es.wallapop.com/app/chat?itemId=qzmy0o1451zv"
"FUNKO POP! STRANGER THINGS 1297. ELEVEN","https://es.wallapop.com/item/funko-pop-stranger-things-1297-eleven-870747010","https://es.wallapop.com/app/chat?itemId=8j3ek5omk2z9"
"Sofa chaise longue","https://es.wallapop.com/item/sofa-chaise-longue-870747007","https://es.wallapop.com/app/chat?itemId=p61ymk1vm565"
"cortacesped Bosch","https://es.wallapop.com/item/cortacesped-bosch-870747000","https://es.wallapop.com/app/chat?itemId=e65gdp2vdmjo"
"4 LLANTAS TOYOTA SIN ESTRENAR ","https://es.wallapop.com/item/4-llantas-toyota-sin-estrenar-870747295","https://es.wallapop.com/app/chat?itemId=ejkknew4xpjx"
"Mantilla blonda madrina","https://es.wallapop.com/item/mantilla-blonda-madrina-870747532","https://es.wallapop.com/app/chat?itemId=qzmy0o14nyzv"
"mesa de salón con ocho sillas","https://es.wallapop.com/item/mesa-de-salon-con-ocho-sillas-870747531","https://es.wallapop.com/app/chat?itemId=p61ymk1od765"
"ARNÉS+CORREA PARA PERROS","https://es.wallapop.com/item/arnes-correa-para-perros-870747505","https://es.wallapop.com/app/chat?itemId=qjwpg7vy1ezo"
"Rollo de papel pintado. ","https://es.wallapop.com/item/rollo-de-papel-pintado-870746933","https://es.wallapop.com/app/chat?itemId=xzorw3old2z9"
"desbrozadora con ruedas a gasolina","https://es.wallapop.com/item/desbrozadora-con-ruedas-a-gasolina-870746935","https://es.wallapop.com/app/chat?itemId=0j23o1kwgn6y"
"Cama nido 90 blanco y rosa ","https://es.wallapop.com/item/cama-nido-90-blanco-y-rosa-870746927","https://es.wallapop.com/app/chat?itemId=nz001wxgy7zo"
"silla para bicicleta ","https://es.wallapop.com/item/silla-para-bicicleta-870746914","https://es.wallapop.com/app/chat?itemId=4z412n3yqrzy"
"Sillón orejero ","https://es.wallapop.com/item/sillon-orejero-870746984","https://es.wallapop.com/app/chat?itemId=9jd21n4x4n6k"
