"Название товара","Ссылка на продавца","Ссылка на чат"
"motor Mercury 4 caballos 4 tiempo","https://es.wallapop.com/item/motor-mercury-4-caballos-4-tiempo-871694479","https://es.wallapop.com/app/chat?itemId=p61ymdkld565"
"Iveco Daily 2015","https://es.wallapop.com/item/iveco-daily-2015-871694313","https://es.wallapop.com/app/chat?itemId=pj950exl5vze"
"Vendo LG-K9 Nuevo","https://es.wallapop.com/item/vendo-lg-k9-nuevo-871693944","https://es.wallapop.com/app/chat?itemId=wzy5g9xggej5"
"Autoclave clase b","https://es.wallapop.com/item/autoclave-clase-b-871693939","https://es.wallapop.com/app/chat?itemId=36exmvpmgyzd"
"REGALO Lavadora Bosch 6kg ","https://es.wallapop.com/item/regalo-lavadora-bosch-6kg-871694153","https://es.wallapop.com/app/chat?itemId=qjwpg97gkwzo"
"empleo ","https://es.wallapop.com/item/empleo-871694209","https://es.wallapop.com/app/chat?itemId=xzorw031klz9"
"Scalextric ","https://es.wallapop.com/item/scalextric-871694899","https://es.wallapop.com/app/chat?itemId=nz001dw30ezo"
"Bancada plegable de tiro rapido","https://es.wallapop.com/item/bancada-plegable-de-tiro-rapido-871695002","https://es.wallapop.com/app/chat?itemId=pzprx7gqw963"
"Gomas patinete ","https://es.wallapop.com/item/gomas-patinete-871694765","https://es.wallapop.com/app/chat?itemId=wzvnd305x4jl"
"Converse de corazones","https://es.wallapop.com/item/converse-de-corazones-871694041","https://es.wallapop.com/app/chat?itemId=wzvnd30d7rjl"
"Mesa infantil","https://es.wallapop.com/item/mesa-infantil-871694028","https://es.wallapop.com/app/chat?itemId=w67yne7n596x"
"Pack 1. 5 telas patchwork","https://es.wallapop.com/item/pack-1-5-telas-patchwork-871694590","https://es.wallapop.com/app/chat?itemId=x6qd1w4o85jy"
"Mesa extensible vidrio blanco","https://es.wallapop.com/item/mesa-extensible-vidrio-blanco-871694434","https://es.wallapop.com/app/chat?itemId=8j3ekg5lr2z9"
"Cama de 150 cm","https://es.wallapop.com/item/cama-de-150-cm-871694429","https://es.wallapop.com/app/chat?itemId=qjwpg97nq4zo"
"Tele LG ","https://es.wallapop.com/item/tele-lg-871694402","https://es.wallapop.com/app/chat?itemId=pzprx7gmg963"
