"Название товара","Ссылка на продавца","Ссылка на чат"
"Sofa bed ","https://es.wallapop.com/item/sofa-bed-869012082","https://es.wallapop.com/app/chat?itemId=8j3ekx8ko1z9"
"Ruedas carretera ","https://es.wallapop.com/item/ruedas-carretera-869012084","https://es.wallapop.com/app/chat?itemId=9jd215w14l6k"
"HP prime ","https://es.wallapop.com/item/hp-prime-869012058","https://es.wallapop.com/app/chat?itemId=8j3ekx8kg1z9"
"Vestido Mango","https://es.wallapop.com/item/vestido-mango-869012009","https://es.wallapop.com/app/chat?itemId=xzorwvgw74z9"
"redmi 9A","https://es.wallapop.com/item/redmi-9a-869011977","https://es.wallapop.com/app/chat?itemId=qjwpgdrg7qzo"
"Portátil útil para repuesto (anda lenta)","https://es.wallapop.com/item/portatil-util-para-repuesto-anda-lenta-869011972","https://es.wallapop.com/app/chat?itemId=e65gd3qdpgjo"
"Citroen Xsara 2004","https://es.wallapop.com/item/citroen-xsara-2004-869011726","https://es.wallapop.com/app/chat?itemId=pzprx1k3nl63"
"Neumaticos de ocasion","https://es.wallapop.com/item/neumaticos-de-ocasion-869012126","https://es.wallapop.com/app/chat?itemId=pzprx1kxmm63"
"Xbox series S con cascos de xbox","https://es.wallapop.com/item/xbox-series-s-con-cascos-de-xbox-869012111","https://es.wallapop.com/app/chat?itemId=0j23or8oom6y"
"UÑAS ACRÍLICAS ","https://es.wallapop.com/item/unas-acrilicas-869012113","https://es.wallapop.com/app/chat?itemId=pj950g40lkze"
"TV LG Smart ","https://es.wallapop.com/item/tv-lg-smart-869012110","https://es.wallapop.com/app/chat?itemId=8j3ekx8kk7z9"
"PILOTO","https://es.wallapop.com/item/piloto-869011685","https://es.wallapop.com/app/chat?itemId=pj950g4q1mze"
"altavoz jbl js-bt 15","https://es.wallapop.com/item/altavoz-jbl-js-bt-15-869011660","https://es.wallapop.com/app/chat?itemId=9jd215w4y26k"
"Mueble modular separable de ikea ","https://es.wallapop.com/item/mueble-modular-separable-de-ikea-869011494","https://es.wallapop.com/app/chat?itemId=8z84pg899863"
"Baul de pino macizo","https://es.wallapop.com/item/baul-de-pino-macizo-869011814","https://es.wallapop.com/app/chat?itemId=4z412g82ylzy"
"MAC Mini M1 2020 16GB / 256GB + Docking","https://es.wallapop.com/item/mac-mini-m1-2020-16gb-256gb---docking-869011357","https://es.wallapop.com/app/chat?itemId=xzorwvgogwz9"
"Oculus quest 2 128Gb + Elite strap + cable link","https://es.wallapop.com/item/oculus-quest-2-128gb---elite-strap---cable-link-869011354","https://es.wallapop.com/app/chat?itemId=nzx0gyevemz2"
"Trajes caballero","https://es.wallapop.com/item/trajes-caballero-869011342","https://es.wallapop.com/app/chat?itemId=x6qd19q2m5jy"
"canapé nuevo azul y beige ","https://es.wallapop.com/item/canape-nuevo-azul-y-beige-869011337","https://es.wallapop.com/app/chat?itemId=pj950g4qm2ze"
"Juegos ps3","https://es.wallapop.com/item/juegos-ps3-869012027","https://es.wallapop.com/app/chat?itemId=nz001v812dzo"
"Ordenador portatil tactil ","https://es.wallapop.com/item/ordenador-portatil-tactil-869011332","https://es.wallapop.com/app/chat?itemId=qzmy03m1e1zv"
"carrito de muñecas ","https://es.wallapop.com/item/carrito-de-munecas-869011310","https://es.wallapop.com/app/chat?itemId=8j3ekx8oelz9"
"Bailarinas niña.","https://es.wallapop.com/item/bailarinas-nina-869011643","https://es.wallapop.com/app/chat?itemId=vjrrm9evgxjk"
"Chaleco airbag equitación spark 2","https://es.wallapop.com/item/chaleco-airbag-equitacion-spark-2-869011963","https://es.wallapop.com/app/chat?itemId=36exmn5m8yzd"
"Samsung Galaxy Z Flip4 ","https://es.wallapop.com/item/samsung-galaxy-z-flip4-869011954","https://es.wallapop.com/app/chat?itemId=nzx0gyegrmz2"
"Colchon","https://es.wallapop.com/item/colchon-869011947","https://es.wallapop.com/app/chat?itemId=ejkkn9mnp9jx"
"armario ","https://es.wallapop.com/item/armario-869011770","https://es.wallapop.com/app/chat?itemId=8z84pg89yd63"
"Juego de mesa jeiper.45vintaschas","https://es.wallapop.com/item/juego-de-mesa-jeiper-45vintaschas-869011767","https://es.wallapop.com/app/chat?itemId=vjrrm9evl8jk"
"Tienda de campaña arpenaz family 4.1","https://es.wallapop.com/item/tienda-de-campana-arpenaz-family-4-1-869011752","https://es.wallapop.com/app/chat?itemId=w67yngv9q86x"
"Reloj guess","https://es.wallapop.com/item/reloj-guess-869011480","https://es.wallapop.com/app/chat?itemId=qzmy03m1nxzv"
"Sofá de 2 plazas","https://es.wallapop.com/item/sofa-de-2-plazas-869011456","https://es.wallapop.com/app/chat?itemId=qzmy03m1vxzv"
"LG SMART TV 32""","https://es.wallapop.com/item/lg-smart-tv-32-869011445","https://es.wallapop.com/app/chat?itemId=3zl1p9mxd8jx"
"Bolso de hombro ","https://es.wallapop.com/item/bolso-de-hombro-869011131","https://es.wallapop.com/app/chat?itemId=p61ym78dn765"
"vendo top negro nuevo sin usar","https://es.wallapop.com/item/vendo-top-negro-nuevo-sin-usar-869011126","https://es.wallapop.com/app/chat?itemId=pzprx1k7pl63"
"Estufa parafina","https://es.wallapop.com/item/estufa-parafina-869011121","https://es.wallapop.com/app/chat?itemId=3zl1p9m5l2jx"
"la novia gitana","https://es.wallapop.com/item/la-novia-gitana-869011277","https://es.wallapop.com/app/chat?itemId=qjwpgdrvd4zo"
"iPhone 13 Pro Grafito + Protectores en Coruña ","https://es.wallapop.com/item/iphone-13-pro-grafito---protectores-en-coruna-869011271","https://es.wallapop.com/app/chat?itemId=ejkkn9mw41jx"
"se vende conjunto de sofás en buen estado","https://es.wallapop.com/item/se-vende-conjunto-de-sofas-en-buen-estado-869011904","https://es.wallapop.com/app/chat?itemId=w67yngvn476x"
"Botas de nieve Sorel","https://es.wallapop.com/item/botas-de-nieve-sorel-869011892","https://es.wallapop.com/app/chat?itemId=wzy5g7rg52j5"
"play 4","https://es.wallapop.com/item/play-4-869011896","https://es.wallapop.com/app/chat?itemId=e65gd3qd8mjo"
"Camiseta de doble tirantes morada niñ@s","https://es.wallapop.com/item/camiseta-de-doble-tirantes-morada-nin-s-869011386","https://es.wallapop.com/app/chat?itemId=4z412g830mzy"
"sillas alumino terraza","https://es.wallapop.com/item/sillas-alumino-terraza-869011389","https://es.wallapop.com/app/chat?itemId=wzvndlgv21jl"
"FUNKO POP The Arrow y Flash","https://es.wallapop.com/item/funko-pop-the-arrow-y-flash-869011083","https://es.wallapop.com/app/chat?itemId=0j23or8evr6y"
"4 cartas pokemon","https://es.wallapop.com/item/4-cartas-pokemon-869011090","https://es.wallapop.com/app/chat?itemId=x6qd19qw7njy"
"tv","https://es.wallapop.com/item/tv-869011073","https://es.wallapop.com/app/chat?itemId=mzn87v3pdkzn"
"Televisión ","https://es.wallapop.com/item/television-869011067","https://es.wallapop.com/app/chat?itemId=vjrrm9exgxjk"
"Tv Smart de 32 pulgadas","https://es.wallapop.com/item/tv-smart-de-32-pulgadas-869011050","https://es.wallapop.com/app/chat?itemId=pzprx1k7e463"
