"Название товара","Ссылка на продавца","Ссылка на чат"
"Funda para ciaomi 12T pro ","https://es.wallapop.com/item/funda-para-ciaomi-12t-pro-872133120","https://es.wallapop.com/app/chat?itemId=wzy5gvpxeej5"
"Mesa extendible ikea muy buen estado.","https://es.wallapop.com/item/mesa-extendible-ikea-muy-buen-estado-872133747","https://es.wallapop.com/app/chat?itemId=ejkknw7549jx"
"Estantería ","https://es.wallapop.com/item/estanteria-872133696","https://es.wallapop.com/app/chat?itemId=e65gd2k9mmjo"
"Cabeza de creeper","https://es.wallapop.com/item/cabeza-de-creeper-872132520","https://es.wallapop.com/app/chat?itemId=wzy5gvprdej5"
"VIDEOJUEGOS","https://es.wallapop.com/item/videojuegos-872132858","https://es.wallapop.com/app/chat?itemId=8j3ekodpkyz9"
"relog (Casio)","https://es.wallapop.com/item/relog-casio-872132835","https://es.wallapop.com/app/chat?itemId=0j23ok2nkr6y"
"pistola de impacto ","https://es.wallapop.com/item/pistola-de-impacto-872132456","https://es.wallapop.com/app/chat?itemId=qzmy01xmlozv"
"CAZADORA ANTE CHICO ","https://es.wallapop.com/item/cazadora-ante-chico-872133860","https://es.wallapop.com/app/chat?itemId=9jd2149ewl6k"
"freidora de aire cosori","https://es.wallapop.com/item/freidora-de-aire-cosori-872133918","https://es.wallapop.com/app/chat?itemId=x6qd123xxqjy"
"Mudanzas en Llica de Vall","https://es.wallapop.com/item/mudanzas-en-llica-de-vall-872133910","https://es.wallapop.com/app/chat?itemId=8j3ekodr57z9"
"Mueble Nuevo a estrenar","https://es.wallapop.com/item/mueble-nuevo-a-estrenar-872132914","https://es.wallapop.com/app/chat?itemId=4z4123904rzy"
"Cojín ","https://es.wallapop.com/item/cojin-872132900","https://es.wallapop.com/app/chat?itemId=e65gd2k7l0jo"
"Gorra negra y blanca - apenas utilizada","https://es.wallapop.com/item/gorra-negra-y-blanca-apenas-utilizada-872133684","https://es.wallapop.com/app/chat?itemId=9jd2149ng46k"
"hawollen","https://es.wallapop.com/item/hawollen-872132625","https://es.wallapop.com/app/chat?itemId=mzn87m1wv0zn"
"Abrigo de color gris","https://es.wallapop.com/item/abrigo-de-color-gris-872132621","https://es.wallapop.com/app/chat?itemId=3zl1pxw098jx"
"plancha vapor","https://es.wallapop.com/item/plancha-vapor-872132604","https://es.wallapop.com/app/chat?itemId=w67yn95xd96x"
"Controlador MIDI Arturia Keylab Essential 49","https://es.wallapop.com/item/controlador-midi-arturia-keylab-essential-49-872133200","https://es.wallapop.com/app/chat?itemId=e65gd2kp3pjo"
