"Название товара","Ссылка на продавца","Ссылка на чат"
"Rebel Master Tornado 140cc","https://es.wallapop.com/item/rebel-master-tornado-140cc-869753931","https://es.wallapop.com/app/chat?itemId=p61ym414d765"
"Orient Kamasu azul","https://es.wallapop.com/item/orient-kamasu-azul-869754127","https://es.wallapop.com/app/chat?itemId=nz0014x4erzo"
"Diccionario del verano ","https://es.wallapop.com/item/diccionario-del-verano-869754108","https://es.wallapop.com/app/chat?itemId=qzmy0e1ek1zv"
"Se vende cama con somier y cajón por 80€","https://es.wallapop.com/item/se-vende-cama-con-somier-y-cajon-por-80-869754092","https://es.wallapop.com/app/chat?itemId=wzy5g4v412j5"
"ESTUFA","https://es.wallapop.com/item/estufa-869753850","https://es.wallapop.com/app/chat?itemId=pzprx232d463"
"iPhone 12 Pro Max 128 GB","https://es.wallapop.com/item/iphone-12-pro-max-128-gb-869753830","https://es.wallapop.com/app/chat?itemId=nzx0g4v4e1z2"
"MOVIO REDMI 7 EN Color NEGRO ","https://es.wallapop.com/item/movio-redmi-7-en-color-negro-869753824","https://es.wallapop.com/app/chat?itemId=e65gd828qkjo"
"combers","https://es.wallapop.com/item/combers-869754003","https://es.wallapop.com/app/chat?itemId=nz0014x4lvzo"
"Vestido","https://es.wallapop.com/item/vestido-869753990","https://es.wallapop.com/app/chat?itemId=x6qd1m2m1ojy"
"Sofá y sillón chesterfield","https://es.wallapop.com/item/sofa-y-sillon-chesterfield-869753992","https://es.wallapop.com/app/chat?itemId=wzy5g4v4gpj5"
"Manta / Duvet ","https://es.wallapop.com/item/manta-duvet-869753957","https://es.wallapop.com/app/chat?itemId=xzorw2o2o2z9"
"Cinturon dolar","https://es.wallapop.com/item/cinturon-dolar-869753907","https://es.wallapop.com/app/chat?itemId=p61ym414e765"
"Fileteadora o Remalladora Máquina de coser","https://es.wallapop.com/item/fileteadora-o-remalladora-maquina-de-coser-869753910","https://es.wallapop.com/app/chat?itemId=8j3ek4o428z9"
"Ps4","https://es.wallapop.com/item/ps4-869753692","https://es.wallapop.com/app/chat?itemId=wzy5g4v4l5j5"
"pantalones vaqueros claros","https://es.wallapop.com/item/pantalones-vaqueros-claros-869753671","https://es.wallapop.com/app/chat?itemId=ejkkn8w82pjx"
"cama para colchon de 90x190.","https://es.wallapop.com/item/cama-para-colchon-de-90x190-869754155","https://es.wallapop.com/app/chat?itemId=p61ym414rd65"
"Venta de Muebles ","https://es.wallapop.com/item/venta-de-muebles-869753386","https://es.wallapop.com/app/chat?itemId=4z412e313rzy"
"cuadro","https://es.wallapop.com/item/cuadro-869753390","https://es.wallapop.com/app/chat?itemId=x6qd1m2d2ojy"
"Juego café porcelana turca Kütahya","https://es.wallapop.com/item/juego-cafe-porcelana-turca-kutahya-869753650","https://es.wallapop.com/app/chat?itemId=pzprx23rv563"
"Cargador magnetico iphone","https://es.wallapop.com/item/cargador-magnetico-iphone-869753639","https://es.wallapop.com/app/chat?itemId=36exm1gx3qzd"
"cuestionarios y supuestos prácticos ADAMS","https://es.wallapop.com/item/cuestionarios-y-supuestos-practicos-adams-869753785","https://es.wallapop.com/app/chat?itemId=pj950mqmmkze"
"Masajeador de pies","https://es.wallapop.com/item/masajeador-de-pies-869753762","https://es.wallapop.com/app/chat?itemId=4z412e3e1vzy"
