"Название товара","Ссылка на продавца","Ссылка на чат"
"tenda para festas 6x12 metros","https://es.wallapop.com/item/tenda-para-festas-6x12-metros-870920164","https://es.wallapop.com/app/chat?itemId=v6g23emr22ze"
"Ordenador portátil HP","https://es.wallapop.com/item/ordenador-portatil-hp-870920597","https://es.wallapop.com/app/chat?itemId=mzn8704xr2zn"
"Armario vestidor","https://es.wallapop.com/item/armario-vestidor-870920742","https://es.wallapop.com/app/chat?itemId=x6qd1xl8dqjy"
"Recibidor","https://es.wallapop.com/item/recibidor-870920515","https://es.wallapop.com/app/chat?itemId=36exme9r0yzd"
"PlayStation2 edición Sakura","https://es.wallapop.com/item/playstation2-edicion-sakura-870919859","https://es.wallapop.com/app/chat?itemId=0j23oq9ode6y"
"Botas ","https://es.wallapop.com/item/botas-870919846","https://es.wallapop.com/app/chat?itemId=8z84p2vplo63"
"Servicios de reformas y reparaciones del hogar","https://es.wallapop.com/item/servicios-de-reformas-y-reparaciones-del-hogar-870920347","https://es.wallapop.com/app/chat?itemId=ejkkn520ryjx"
"Jaula para pájaro(s) con accesorios","https://es.wallapop.com/item/jaula-para-pajaro-s-con-accesorios-870920330","https://es.wallapop.com/app/chat?itemId=nzx0gqdp95z2"
"Planchas de pelo Rowenta","https://es.wallapop.com/item/planchas-de-pelo-rowenta-870920684","https://es.wallapop.com/app/chat?itemId=9jd21edqxl6k"
"ALTAVOZ BLUETOOTH ","https://es.wallapop.com/item/altavoz-bluetooth-870920685","https://es.wallapop.com/app/chat?itemId=pj950vd7koze"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-870920681","https://es.wallapop.com/app/chat?itemId=xzorw7kql4z9"
"Galucho","https://es.wallapop.com/item/galucho-870920674","https://es.wallapop.com/app/chat?itemId=pzprxw8qy563"
"Juego de café ","https://es.wallapop.com/item/juego-de-cafe-870920859","https://es.wallapop.com/app/chat?itemId=0j23oq9dqr6y"
"Mesa de salon/txoko extensible","https://es.wallapop.com/item/mesa-de-salon-txoko-extensible-870920836","https://es.wallapop.com/app/chat?itemId=9jd21edqn26k"
"8.000 Bolas(19 sacos)  de plástico parque de bolas","https://es.wallapop.com/item/8-000-bolas-19-sacos-de-plastico-parque-de-bolas-870920816","https://es.wallapop.com/app/chat?itemId=v6g23emqo7ze"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-870920308","https://es.wallapop.com/app/chat?itemId=qzmy0pgwvyzv"
"Cama nido ","https://es.wallapop.com/item/cama-nido-870920005","https://es.wallapop.com/app/chat?itemId=qjwpgqlgkgzo"
"66 Poemes Imprescindibles. Poesía per A Joves: 2","https://es.wallapop.com/item/66-poemes-imprescindibles-poesia-per-a-joves-2-870920202","https://es.wallapop.com/app/chat?itemId=pzprxw8m2463"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-870920480","https://es.wallapop.com/app/chat?itemId=qzmy0pgwdozv"
"vestido novia nuevo","https://es.wallapop.com/item/vestido-novia-nuevo-870919697","https://es.wallapop.com/app/chat?itemId=mzn87047okzn"
