"Название товара","Ссылка на продавца","Ссылка на чат"
"Rowenta cepillo secador","https://es.wallapop.com/item/rowenta-cepillo-secador-873033840","https://es.wallapop.com/app/chat?itemId=v6g23qevwmze"
"cama con sommier ","https://es.wallapop.com/item/cama-con-sommier-873033994","https://es.wallapop.com/app/chat?itemId=8z84p029vr63"
"vestido noche","https://es.wallapop.com/item/vestido-noche-873034151","https://es.wallapop.com/app/chat?itemId=nz0013yx87zo"
"Divergente/ Insurgente ","https://es.wallapop.com/item/divergente-insurgente-873033617","https://es.wallapop.com/app/chat?itemId=wzvnd8q307jl"
"Ruedas vitara,samurai 50€ cada una ","https://es.wallapop.com/item/ruedas-vitara-samurai-50-cada-una-873034074","https://es.wallapop.com/app/chat?itemId=pzprxqw31463"
"liquidación total ","https://es.wallapop.com/item/liquidacion-total-873034067","https://es.wallapop.com/app/chat?itemId=vjrrm81v9xjk"
"lampara de  cristales","https://es.wallapop.com/item/lampara-de-cristales-873033536","https://es.wallapop.com/app/chat?itemId=9jd21qevkn6k"
"Sommier 1.20 x 1.80","https://es.wallapop.com/item/sommier-1-20-x-1-80-873033908","https://es.wallapop.com/app/chat?itemId=qzmy08pnllzv"
"Pb asrock 478 p4i65g","https://es.wallapop.com/item/pb-asrock-478-p4i65g-873033907","https://es.wallapop.com/app/chat?itemId=p61ym2qdrg65"
"Boti Boti Bob Esponja","https://es.wallapop.com/item/boti-boti-bob-esponja-873033894","https://es.wallapop.com/app/chat?itemId=8z84p02ex863"
"Botines","https://es.wallapop.com/item/botines-873034360","https://es.wallapop.com/app/chat?itemId=9jd21qe4q96k"
"Luces Led con sensor basic living ","https://es.wallapop.com/item/luces-led-con-sensor-basic-living-873034252","https://es.wallapop.com/app/chat?itemId=w67ynpk9ey6x"
"Libro religión católica bachillerato","https://es.wallapop.com/item/libro-religion-catolica-bachillerato-873033700","https://es.wallapop.com/app/chat?itemId=e65gd59e2gjo"
"Busco empleo .","https://es.wallapop.com/item/busco-empleo-873034236","https://es.wallapop.com/app/chat?itemId=9jd21qe4m46k"
"JUEGO DE BRANDY DARQUES LONGCHAMP","https://es.wallapop.com/item/juego-de-brandy-darques-longchamp-873034463","https://es.wallapop.com/app/chat?itemId=36exmkegyqzd"
"Nenuco -Happy School","https://es.wallapop.com/item/nenuco-happy-school-873033579","https://es.wallapop.com/app/chat?itemId=p61ym2qd5765"
"Hisense 75U9GQ  75"" nuevo","https://es.wallapop.com/item/hisense-75u9gq-75-nuevo-873033580","https://es.wallapop.com/app/chat?itemId=qzmy08pn7yzv"
"mueble aparador ","https://es.wallapop.com/item/mueble-aparador-873033571","https://es.wallapop.com/app/chat?itemId=ejkknq5rmyjx"
"banco de pesas","https://es.wallapop.com/item/banco-de-pesas-873033799","https://es.wallapop.com/app/chat?itemId=nz0013ydorzo"
"Botas de futbol 42,5","https://es.wallapop.com/item/botas-de-futbol-42-5-873033763","https://es.wallapop.com/app/chat?itemId=36exmkevryzd"
"Televisor/ monitor LG 23""","https://es.wallapop.com/item/televisor-monitor-lg-23-873034120","https://es.wallapop.com/app/chat?itemId=wzy5g8qv4pj5"
"Auriculares ","https://es.wallapop.com/item/auriculares-873034038","https://es.wallapop.com/app/chat?itemId=4z4124q3v8zy"
"vestido","https://es.wallapop.com/item/vestido-873034030","https://es.wallapop.com/app/chat?itemId=nzx0g8qvl1z2"
"ps4 pro 1tr","https://es.wallapop.com/item/ps4-pro-1tr-873034328","https://es.wallapop.com/app/chat?itemId=w67ynpk9l76x"
"Tapiflex+colchón 120x200","https://es.wallapop.com/item/tapiflex-colchon-120x200-873034315","https://es.wallapop.com/app/chat?itemId=36exmkegmyzd"
"Carro portamochilas Safta A ESTRENAR","https://es.wallapop.com/item/carro-portamochilas-safta-a-estrenar-873034307","https://es.wallapop.com/app/chat?itemId=p61ym2q1md65"
