"Название товара","Ссылка на продавца","Ссылка на чат"
"SAMSUNG Galaxy ","https://es.wallapop.com/item/samsung-galaxy-871653727","https://es.wallapop.com/app/chat?itemId=nz001d43przo"
"Tabla de surf Black&White 6'00'' 47 L","https://es.wallapop.com/item/tabla-de-surf-black-white-6-00-47-l-871654142","https://es.wallapop.com/app/chat?itemId=x6qd1wm3nojy"
"Patinete doble 3 ruedas","https://es.wallapop.com/item/patinete-doble-3-ruedas-871654032","https://es.wallapop.com/app/chat?itemId=qzmy0nexmgzv"
"Mampara de ducha perfil negro","https://es.wallapop.com/item/mampara-de-ducha-perfil-negro-871653346","https://es.wallapop.com/app/chat?itemId=8z84pek0qr63"
"Derbi senda 50cc ","https://es.wallapop.com/item/derbi-senda-50cc-871653465","https://es.wallapop.com/app/chat?itemId=wzvnd348gqjl"
"Volkswagen Golf 2005","https://es.wallapop.com/item/volkswagen-golf-2005-871653299","https://es.wallapop.com/app/chat?itemId=nz001d4l7dzo"
"Air force one nuevas ","https://es.wallapop.com/item/air-force-one-nuevas-871653868","https://es.wallapop.com/app/chat?itemId=wzy5g948d5j5"
"Cómic del Rubius Virtual Hero II ","https://es.wallapop.com/item/comic-del-rubius-virtual-hero-ii-871653588","https://es.wallapop.com/app/chat?itemId=v6g23vgqvnze"
"Bernabeu loco","https://es.wallapop.com/item/bernabeu-loco-871653430","https://es.wallapop.com/app/chat?itemId=nzx0g94801z2"
"Se vende o cambia bicicleta Scott","https://es.wallapop.com/item/se-vende-o-cambia-bicicleta-scott-871653414","https://es.wallapop.com/app/chat?itemId=4z412ke418zy"
"iRobot Roomba 676","https://es.wallapop.com/item/irobot-roomba-676-871653395","https://es.wallapop.com/app/chat?itemId=ejkknr8q9rjx"
"RAYBAN JUSTIN CLASIC","https://es.wallapop.com/item/rayban-justin-clasic-871653749","https://es.wallapop.com/app/chat?itemId=mzn87p2qd2zn"
