"Название товара","Ссылка на продавца","Ссылка на чат"
"Sudadera verde ","https://es.wallapop.com/item/sudadera-verde-872789060","https://es.wallapop.com/app/chat?itemId=9jd21rqppl6k"
"Conjunto mallas y top Pink soda talla 38-40","https://es.wallapop.com/item/conjunto-mallas-y-top-pink-soda-talla-38-40-872789008","https://es.wallapop.com/app/chat?itemId=qzmy0w8kxxzv"
"fiesta ","https://es.wallapop.com/item/fiesta-872788687","https://es.wallapop.com/app/chat?itemId=36exmrk0n8zd"
"Bolso ","https://es.wallapop.com/item/bolso-872788641","https://es.wallapop.com/app/chat?itemId=wzvnd58prqjl"
"Zapatos de cuero Sir Tosacana","https://es.wallapop.com/item/zapatos-de-cuero-sir-tosacana-872789285","https://es.wallapop.com/app/chat?itemId=pj950l7w5mze"
"reloj lotus ","https://es.wallapop.com/item/reloj-lotus-872789204","https://es.wallapop.com/app/chat?itemId=w67ynlp08w6x"
"ZAPATOS TACON ALTO MARYPAZ ","https://es.wallapop.com/item/zapatos-tacon-alto-marypaz-872788555","https://es.wallapop.com/app/chat?itemId=p61yml20ng65"
"Chaqueta Ami","https://es.wallapop.com/item/chaqueta-ami-872788399","https://es.wallapop.com/app/chat?itemId=nz001l3p3rzo"
"Jordan 1 Orange and Yellow ","https://es.wallapop.com/item/jordan-1-orange-and-yellow-872789488","https://es.wallapop.com/app/chat?itemId=v6g23rqyn5ze"
"Bolsos piel ","https://es.wallapop.com/item/bolsos-piel-872789467","https://es.wallapop.com/app/chat?itemId=vjrrm38wxwjk"
"Mochila del CHE","https://es.wallapop.com/item/mochila-del-che-872788843","https://es.wallapop.com/app/chat?itemId=vjrrm38g1wjk"
"chaquetón Superdry","https://es.wallapop.com/item/chaqueton-superdry-872788793","https://es.wallapop.com/app/chat?itemId=3zl1p7r302jx"
