"Название товара","Ссылка на продавца","Ссылка на чат"
"Moises","https://es.wallapop.com/item/moises-871191792","https://es.wallapop.com/app/chat?itemId=wzy5gq24wej5"
"cocina dos fuegos modular","https://es.wallapop.com/item/cocina-dos-fuegos-modular-871190277","https://es.wallapop.com/app/chat?itemId=qjwpgqodykzo"
"Sillón con puf. 3 y 2","https://es.wallapop.com/item/sillon-con-puf-3-y-2-871190228","https://es.wallapop.com/app/chat?itemId=w67ynkwg8w6x"
"cuchillos","https://es.wallapop.com/item/cuchillos-871190196","https://es.wallapop.com/app/chat?itemId=e65gd90y42jo"
"Rtx 4090 oferta","https://es.wallapop.com/item/rtx-4090-oferta-871191230","https://es.wallapop.com/app/chat?itemId=nzx0gqk07pz2"
"Samsung S23 ultra","https://es.wallapop.com/item/samsung-s23-ultra-871191197","https://es.wallapop.com/app/chat?itemId=mzn87058k2zn"
"Ordenador De Sobremesa","https://es.wallapop.com/item/ordenador-de-sobremesa-871189830","https://es.wallapop.com/app/chat?itemId=nzx0gqk5wez2"
"Root, juego de mesa","https://es.wallapop.com/item/root-juego-de-mesa-871191023","https://es.wallapop.com/app/chat?itemId=ejkkn5lk51jx"
"Nevera pequeña ","https://es.wallapop.com/item/nevera-pequena-871191627","https://es.wallapop.com/app/chat?itemId=nz001yq4dvzo"
"hago masajes relajante , limpieza ","https://es.wallapop.com/item/hago-masajes-relajante-limpieza-871191553","https://es.wallapop.com/app/chat?itemId=qjwpgqo47ezo"
"Fiat Doblò 2006","https://es.wallapop.com/item/fiat-doblo-2006-871190865","https://es.wallapop.com/app/chat?itemId=wzvndqmnlqjl"
"Nido maxicoxi","https://es.wallapop.com/item/nido-maxicoxi-871190837","https://es.wallapop.com/app/chat?itemId=pj950v15ymze"
"Kawasaki Z125","https://es.wallapop.com/item/kawasaki-z125-871190803","https://es.wallapop.com/app/chat?itemId=nz001yq09ezo"
"crucifijo de broce","https://es.wallapop.com/item/crucifijo-de-broce-871190760","https://es.wallapop.com/app/chat?itemId=9jd21el5gd6k"
"Copa champagne ","https://es.wallapop.com/item/copa-champagne-871191696","https://es.wallapop.com/app/chat?itemId=e65gd908lmjo"
"Radio KMM-BT206","https://es.wallapop.com/item/radio-kmm-bt206-871191660","https://es.wallapop.com/app/chat?itemId=9jd21elk446k"
"Se vende casa en Almayate,(TORRE DEL MAR)","https://es.wallapop.com/item/se-vende-casa-en-almayate-torre-del-mar-871191643","https://es.wallapop.com/app/chat?itemId=vjrrm17qxwjk"
"Lavadora carga frontal 8kg ","https://es.wallapop.com/item/lavadora-carga-frontal-8kg-871190990","https://es.wallapop.com/app/chat?itemId=x6qd1x0d4ojy"
"redmi 10 c","https://es.wallapop.com/item/redmi-10-c-871190932","https://es.wallapop.com/app/chat?itemId=qzmy0plymyzv"
"Mudanzas Jordi +++-_ mudanzas Baratas ","https://es.wallapop.com/item/mudanzas-jordi-----_-mudanzas-baratas-871190664","https://es.wallapop.com/app/chat?itemId=v6g23el1ymze"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-871190575","https://es.wallapop.com/app/chat?itemId=nz001yqv3rzo"
"Silla de niños para el coche","https://es.wallapop.com/item/silla-de-ninos-para-el-coche-871190546","https://es.wallapop.com/app/chat?itemId=8z84p2xgl163"
"  se vende reloj","https://es.wallapop.com/item/se-vende-reloj-871190497","https://es.wallapop.com/app/chat?itemId=mzn8705vmgzn"
"Citroen Xsara 2005","https://es.wallapop.com/item/citroen-xsara-2005-871190489","https://es.wallapop.com/app/chat?itemId=wzvndqml37jl"
"botas fútbol adidas f30","https://es.wallapop.com/item/botas-futbol-f30-messi-871190176","https://es.wallapop.com/app/chat?itemId=w67ynkwdm56x"
"sofa nuevo","https://es.wallapop.com/item/sofa-nuevo-871191421","https://es.wallapop.com/app/chat?itemId=3zl1pnl8gpjx"
"se vende batería 🔋 grande ","https://es.wallapop.com/item/se-vende-bateria-grande-871191404","https://es.wallapop.com/app/chat?itemId=w67ynkw43w6x"
"TAQUILLON ESTILO FRANCES ","https://es.wallapop.com/item/taquillon-estilo-frances-871191351","https://es.wallapop.com/app/chat?itemId=nz001yq073zo"
"Batería PEARL EXPORT SERIES ","https://es.wallapop.com/item/bateria-pearl-export-series-871190740","https://es.wallapop.com/app/chat?itemId=v6g23el1d2ze"
"calzado","https://es.wallapop.com/item/calzado-871190686","https://es.wallapop.com/app/chat?itemId=4z412qpg5wzy"
"vestido comunión","https://es.wallapop.com/item/vestido-comunion-871190676","https://es.wallapop.com/app/chat?itemId=w67ynkwg096x"
"Manolos impresionantes . No envios","https://es.wallapop.com/item/manolos-impresionantes-no-envios-871191537","https://es.wallapop.com/app/chat?itemId=pj950v1mnvze"
"Baterias de camion ","https://es.wallapop.com/item/baterias-de-camion-871191525","https://es.wallapop.com/app/chat?itemId=mzn870523yzn"
