"Название товара","Ссылка на продавца","Ссылка на чат"
"Ford Fiesta 2007","https://es.wallapop.com/item/ford-fiesta-2007-871032495","https://es.wallapop.com/app/chat?itemId=ejkkn5e3kqjx"
"mueble-estantería libros infantil","https://es.wallapop.com/item/mueble-estanteria-libros-infantil-871031880","https://es.wallapop.com/app/chat?itemId=qzmy0pox3gzv"
"Frigorífico combi. ASPES ideal. Congelador.","https://es.wallapop.com/item/frigorifico-combi-aspes-ideal-congelador-871032382","https://es.wallapop.com/app/chat?itemId=8j3ekr5d37z9"
"Taller Yoga en Parejas","https://es.wallapop.com/item/taller-yoga-en-parejas-871032373","https://es.wallapop.com/app/chat?itemId=mzn870o197zn"
"teclado hyper x alloy 60%","https://es.wallapop.com/item/teclado-hyper-x-alloy-60-871032668","https://es.wallapop.com/app/chat?itemId=wzy5gqx192j5"
"vendo bolso ","https://es.wallapop.com/item/vendo-bolso-871032664","https://es.wallapop.com/app/chat?itemId=v6g23e7xv5ze"
"Chándal lacoste ","https://es.wallapop.com/item/chandal-lacoste-871032653","https://es.wallapop.com/app/chat?itemId=qjwpgq7w94zo"
"Cristiano Ronaldo Mundial Qatar","https://es.wallapop.com/item/cristiano-ronaldo-mundial-qatar-871032660","https://es.wallapop.com/app/chat?itemId=9jd21en0v46k"
"Apple Pencil ","https://es.wallapop.com/item/apple-pencil-871032646","https://es.wallapop.com/app/chat?itemId=8z84p2w3ro63"
"Sillón colgante blanco ","https://es.wallapop.com/item/sillon-colgante-blanco-871031971","https://es.wallapop.com/app/chat?itemId=ejkkn5e7myjx"
"Mesa escritorio 73x50","https://es.wallapop.com/item/mesa-escritorio-73x50-871031964","https://es.wallapop.com/app/chat?itemId=v6g23e75pnze"
"Fifa 23 PS4","https://es.wallapop.com/item/fifa-23-ps4-871031958","https://es.wallapop.com/app/chat?itemId=8j3ekr5d88z9"
"Cabecero de tela","https://es.wallapop.com/item/cabecero-de-tela-871031949","https://es.wallapop.com/app/chat?itemId=mzn870o12yzn"
"Altavoces del Home cinema","https://es.wallapop.com/item/altavoces-del-home-cinema-871031942","https://es.wallapop.com/app/chat?itemId=x6qd1x43mojy"
"mesa de mezclas Pioneer ","https://es.wallapop.com/item/mesa-de-mezclas-pioneer-871032247","https://es.wallapop.com/app/chat?itemId=ejkkn5e7opjx"
"AIR JORDAN LOW BLACK WHITE GREY","https://es.wallapop.com/item/air-jordan-low-black-white-grey-871032246","https://es.wallapop.com/app/chat?itemId=8z84p2wnd863"
"Nike AF1 Pixel ","https://es.wallapop.com/item/nike-af1-pixel-871032237","https://es.wallapop.com/app/chat?itemId=pj950vxp2oze"
"Assassin's creed","https://es.wallapop.com/item/assassin-s-creed-871032354","https://es.wallapop.com/app/chat?itemId=nzx0gqwn17z2"
"Zapatilla Gaener","https://es.wallapop.com/item/zapatilla-gaener-871032330","https://es.wallapop.com/app/chat?itemId=nzx0gqwno7z2"
"silla salvaescaleras ","https://es.wallapop.com/item/silla-salvaescaleras-871032820","https://es.wallapop.com/app/chat?itemId=wzy5gqx1w5j5"
"Detective","https://es.wallapop.com/item/detective-871032823","https://es.wallapop.com/app/chat?itemId=ejkkn5e3opjx"
"cabezal y piezera cama , en buen estado ","https://es.wallapop.com/item/cabezal-y-piezera-cama-en-buen-estado-871032701","https://es.wallapop.com/app/chat?itemId=mzn870ok72zn"
"SOFÁ","https://es.wallapop.com/item/sofa-871032700","https://es.wallapop.com/app/chat?itemId=e65gd9p1dgjo"
"Sillita ","https://es.wallapop.com/item/sillita-871032692","https://es.wallapop.com/app/chat?itemId=wzy5gqx1v2j5"
"The Boy in the Dress","https://es.wallapop.com/item/the-boy-in-the-dress-871033075","https://es.wallapop.com/app/chat?itemId=nz001ywk0ezo"
"Pantalla con bordado de Oso","https://es.wallapop.com/item/pantalla-con-bordado-de-oso-871032868","https://es.wallapop.com/app/chat?itemId=wzy5gqx125j5"
