"Название товара","Ссылка на продавца","Ссылка на чат"
"Zapatillas negras a estrenas","https://es.wallapop.com/item/zapatillas-negras-a-estrenas-871326072","https://es.wallapop.com/app/chat?itemId=e65gdr8xwmjo"
"Yeezy Boost 350 Black Non Reflective Size 8 41 1/3","https://es.wallapop.com/item/yeezy-boost-350-black-non-reflective-size-8-41-1-3-871326595","https://es.wallapop.com/app/chat?itemId=ejkknd81oyjx"
"AGUJAS PARA TATUAR","https://es.wallapop.com/item/agujas-para-tatuar-871326797","https://es.wallapop.com/app/chat?itemId=mzn87e34v2zn"
"Air forcé 1 colaboración san valentin ","https://es.wallapop.com/item/air-force-1-colaboracion-san-valentin-871326101","https://es.wallapop.com/app/chat?itemId=mzn87e2rr2zn"
"Esterilizador de microondas ","https://es.wallapop.com/item/esterilizador-de-microondas-871326156","https://es.wallapop.com/app/chat?itemId=qzmy0ve2g1zv"
"Zapatillas Nike Ebermod Mid","https://es.wallapop.com/item/zapatillas-nike-ebermod-mid-871326132","https://es.wallapop.com/app/chat?itemId=qzmy0veq21zv"
"SSANYONG RODIUS 2.7 XDI CON TECHO SOLAR 2007","https://es.wallapop.com/item/ssanyong-rodius-2-7-xdi-con-techo-solar-2007-871326993","https://es.wallapop.com/app/chat?itemId=3zl1pdme5njx"
"Rc armma kraton blx","https://es.wallapop.com/item/rc-armma-kraton-blx-871326975","https://es.wallapop.com/app/chat?itemId=nz00128923zo"
"Xiaomi Mi TV PSeries 55 pulgadas ","https://es.wallapop.com/item/xiaomi-mi-tv-pseries-55-pulgadas-871327067","https://es.wallapop.com/app/chat?itemId=vjrrmpey3xjk"
"Motor aerox preparado ","https://es.wallapop.com/item/motor-aerox-preparado-871326169","https://es.wallapop.com/app/chat?itemId=3zl1pd8o44jx"
"Mando Xbox","https://es.wallapop.com/item/mando-xbox-871326879","https://es.wallapop.com/app/chat?itemId=p61yme898265"
"LIBROS DE GRADO DE UNED CURSO 22/23","https://es.wallapop.com/item/libros-de-grado-de-uned-curso-22-23-871326626","https://es.wallapop.com/app/chat?itemId=pzprx52vp963"
"Redmi   Note 9s  blanco ","https://es.wallapop.com/item/redmi-note-9s-blanco-871326619","https://es.wallapop.com/app/chat?itemId=vjrrmpqlwwjk"
"Plancha eléctrica ","https://es.wallapop.com/item/plancha-electrica-871327026","https://es.wallapop.com/app/chat?itemId=pzprx5k83463"
